model,S1 1P in-sample,S1 3P in-sample,S2 1P in-sample,S1 held-out at S2 layer,S1 best layer,S2 layer,S1 held-out at own best layer
Gemma_2_27B_base,0.955,0.921,0.995,0.901,40,35,0.912
Gemma_2_27B_instruct,0.971,0.897,0.998,0.935,38,37,0.937
Gemma_2_2B_base,0.944,0.906,0.978,0.889,9,23,0.896
Gemma_2_2B_instruct,0.948,0.843,0.993,0.878,9,25,0.901
Gemma_2_9B_base,0.942,0.881,0.984,0.906,33,40,0.91
Gemma_2_9B_instruct,0.947,0.855,0.996,0.892,10,37,0.931
Gemma_3_27B_base,0.953,0.865,0.987,0.906,59,56,0.909
Gemma_3_27B_instruct,0.96,0.795,0.988,0.904,54,59,0.907
Llama_3.1_70B_base,0.978,0.895,0.991,0.91,43,70,0.929
Llama_3.1_70B_instruct,0.978,0.897,0.993,0.924,46,48,0.926
Llama_3.1_8B_base,0.945,0.9,0.996,0.892,8,28,0.909
Llama_3.1_8B_instruct,0.952,0.837,0.999,0.898,30,28,0.904
Llama_3.3_70B_instruct,0.97,0.876,0.986,0.91,33,47,0.92
Mistral_7B_base,0.964,0.914,0.995,0.928,30,26,0.928
Mistral_7B_instruct,0.98,0.9,0.995,0.928,27,27,0.928
Mistral_Small_24B_base,0.96,0.859,0.997,0.916,26,32,0.924
Phi_4,0.949,0.826,0.946,0.887,11,20,0.891
Qwen_2.5_32B_base,0.868,0.849,0.931,0.847,18,60,0.875
Qwen_2.5_32B_instruct,0.94,0.82,0.988,0.895,60,61,0.9
Qwen_2.5_72B_base,0.935,0.815,0.984,0.879,15,78,0.88
Qwen_2.5_72B_instruct,0.967,0.839,0.996,0.906,76,76,0.906
Qwen_2.5_7B_base,0.947,0.849,0.985,0.905,24,24,0.905
Qwen_2.5_7B_instruct,0.938,0.817,0.974,0.891,24,24,0.891
Qwen_3_14B_base,0.933,0.791,0.985,0.914,36,31,0.922
Qwen_3_8B_base,0.948,0.89,0.99,0.925,34,34,0.925
