model,extraction,layer,vector,dataset,ALL,B,C1,C2,D,E
Gemma_2_27B_base,final_token,35,S1,S1_1P,0.955,0.9624999999999999,0.902,0.9545,0.9795,0.9764999999999999
Gemma_2_27B_base,final_token,35,S1,S1_3P,0.9210999999999999,0.9235,0.8635,0.9005000000000001,0.9575,0.9604999999999999
Gemma_2_27B_base,final_token,35,S2_check,S2_1P,0.9946999999999999,0.9910000000000001,0.987,0.998,0.999,0.9984999999999999
Gemma_2_27B_base,mean,42,S1,S1_1P,0.9927999999999999,0.9955,0.9845,0.9975,0.9935,0.9930000000000001
Gemma_2_27B_base,mean,42,S1,S1_3P,0.9784,0.9804999999999999,0.9685,0.97,0.9865,0.9864999999999999
Gemma_2_27B_base,mean,42,S2_check,S2_1P,0.9975999999999999,0.9974999999999999,0.991,0.9994999999999999,1.0,1.0
Gemma_2_27B_instruct,final_token,37,S1,S1_1P,0.971,0.9615,0.948,0.976,0.972,0.9974999999999999
Gemma_2_27B_instruct,final_token,37,S1,S1_3P,0.8965000000000001,0.854,0.8685,0.9135,0.8915,0.955
Gemma_2_27B_instruct,final_token,37,S2_check,S2_1P,0.9979,0.9945,0.9965,1.0,1.0,0.9984999999999999
Gemma_2_27B_instruct,mean,41,S1,S1_1P,0.9889999999999999,0.9765,0.9825,0.9944999999999999,0.9944999999999999,0.9970000000000001
Gemma_2_27B_instruct,mean,41,S1,S1_3P,0.9688,0.9454999999999999,0.959,0.9704999999999999,0.9824999999999999,0.9864999999999999
Gemma_2_27B_instruct,mean,41,S2_check,S2_1P,0.9994999999999999,0.999,0.9984999999999999,1.0,1.0,1.0
Gemma_2_2B_base,final_token,23,S1,S1_1P,0.9445,0.907,0.9015000000000001,0.9775,0.98,0.9565
Gemma_2_2B_base,final_token,23,S1,S1_3P,0.9065,0.859,0.8885,0.9315,0.943,0.9105
Gemma_2_2B_base,final_token,23,S2_check,S2_1P,0.9779,0.9775,0.9615,0.9824999999999999,0.997,0.971
Gemma_2_2B_base,mean,23,S1,S1_1P,0.98,0.9725,0.9705,0.989,0.985,0.983
Gemma_2_2B_base,mean,23,S1,S1_3P,0.954,0.9209999999999999,0.9595,0.956,0.963,0.9704999999999999
Gemma_2_2B_base,mean,23,S2_check,S2_1P,0.984,0.9805,0.9675,0.988,0.9885,0.9954999999999999
Gemma_2_2B_instruct,final_token,25,S1,S1_1P,0.9481999999999999,0.9309999999999999,0.955,0.98,0.92,0.955
Gemma_2_2B_instruct,final_token,25,S1,S1_3P,0.8426999999999999,0.7854999999999999,0.8875,0.905,0.7985,0.8369999999999999
Gemma_2_2B_instruct,final_token,25,S2_check,S2_1P,0.9929999999999999,0.991,0.9915,0.9944999999999999,0.9944999999999999,0.9935
Gemma_2_2B_instruct,mean,20,S1,S1_1P,0.9873,0.9824999999999999,0.9814999999999999,0.9894999999999999,0.992,0.9910000000000001
Gemma_2_2B_instruct,mean,20,S1,S1_3P,0.9713,0.958,0.977,0.9544999999999999,0.9855,0.9815
Gemma_2_2B_instruct,mean,20,S2_check,S2_1P,0.9957,0.996,0.9895,0.9975,0.9974999999999999,0.998
Gemma_2_9B_base,final_token,40,S1,S1_1P,0.9423,0.9455,0.92,0.962,0.9294999999999999,0.9545
Gemma_2_9B_base,final_token,40,S1,S1_3P,0.8807,0.8985000000000001,0.849,0.9074999999999998,0.8464999999999999,0.902
Gemma_2_9B_base,final_token,40,S2_check,S2_1P,0.9844999999999999,0.9845,0.9600000000000001,0.996,0.993,0.9889999999999999
Gemma_2_9B_base,mean,39,S1,S1_1P,0.9918,0.988,0.984,0.9964999999999999,0.9940000000000001,0.9964999999999999
Gemma_2_9B_base,mean,39,S1,S1_3P,0.976,0.9625,0.981,0.9804999999999999,0.971,0.985
Gemma_2_9B_base,mean,39,S2_check,S2_1P,0.9904999999999999,0.9875,0.9795,0.9935,0.993,0.999
Gemma_2_9B_instruct,final_token,37,S1,S1_1P,0.9467000000000001,0.9664999999999999,0.9185,0.939,0.9550000000000001,0.9545
Gemma_2_9B_instruct,final_token,37,S1,S1_3P,0.8549,0.893,0.821,0.8255,0.8905,0.8445
