model,extraction,dataset,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
Gemma_2_27B_base,final_token,S1_1P,0,0.7195,0.7140000000000001,0.05967411499134276
Gemma_2_27B_base,final_token,S1_1P,1,0.7179999999999999,0.7285,0.04802082881417188
Gemma_2_27B_base,final_token,S1_1P,2,0.72,0.7115,0.020432816741702546
Gemma_2_27B_base,final_token,S1_1P,3,0.7254999999999999,0.7484999999999999,0.04397158173184123
Gemma_2_27B_base,final_token,S1_1P,4,0.771,0.7470000000000001,0.03469870314579496
Gemma_2_27B_base,final_token,S1_1P,5,0.7790000000000001,0.7710000000000001,0.01997498435543818
Gemma_2_27B_base,final_token,S1_1P,6,0.7665,0.7989999999999999,0.02813360979327035
Gemma_2_27B_base,final_token,S1_1P,7,0.8255000000000001,0.7725,0.03957271787481877
Gemma_2_27B_base,final_token,S1_1P,8,0.8400000000000001,0.7765000000000001,0.03251922508301814
Gemma_2_27B_base,final_token,S1_1P,9,0.8125,0.772,0.04604345773288537
Gemma_2_27B_base,final_token,S1_1P,10,0.8200000000000001,0.76,0.03029026246172194
Gemma_2_27B_base,final_token,S1_1P,11,0.8290000000000001,0.7415,0.046438130884005224
Gemma_2_27B_base,final_token,S1_1P,12,0.851,0.7465,0.04194043395102153
Gemma_2_27B_base,final_token,S1_1P,13,0.8554999999999999,0.7785,0.05418486873657627
Gemma_2_27B_base,final_token,S1_1P,14,0.8450000000000001,0.78,0.04186287137786897
Gemma_2_27B_base,final_token,S1_1P,15,0.8115,0.736,0.08815611152949068
Gemma_2_27B_base,final_token,S1_1P,16,0.8625,0.7539999999999999,0.054840678332785074
Gemma_2_27B_base,final_token,S1_1P,17,0.8625,0.7515000000000001,0.05764113114781841
Gemma_2_27B_base,final_token,S1_1P,18,0.8665,0.743,0.04963869458396342
Gemma_2_27B_base,final_token,S1_1P,19,0.8319999999999999,0.732,0.08302710400826946
Gemma_2_27B_base,final_token,S1_1P,20,0.8654999999999999,0.723,0.05887274411814015
Gemma_2_27B_base,final_token,S1_1P,21,0.852,0.749,0.06327321708274358
Gemma_2_27B_base,final_token,S1_1P,22,0.8675,0.768,0.043674935603844944
Gemma_2_27B_base,final_token,S1_1P,23,0.8709999999999999,0.7925000000000001,0.03487836005319055
