model,extraction,s2_layer,s1_heldout_auc_at_s2_layer,s1_best_layer,s1_heldout_auc_at_best_layer,s1_1P_heldout_at_best,s1_3P_heldout_at_best
Gemma_2_27B_base,final_token,35,0.9005000000000001,40,0.9125,0.9019999999999999,0.923
Gemma_2_27B_base,mean,42,0.9215,40,0.9252499999999999,0.9209999999999999,0.9294999999999998
Gemma_2_27B_instruct,final_token,37,0.935,38,0.9372500000000001,0.9465,0.9280000000000002
Gemma_2_27B_instruct,mean,41,0.9382499999999999,43,0.94425,0.945,0.9435
Gemma_2_2B_base,final_token,23,0.8892500000000001,9,0.8959999999999999,0.9189999999999999,0.873
Gemma_2_2B_base,mean,23,0.9079999999999999,19,0.9165000000000001,0.9125,0.9205000000000002
Gemma_2_2B_instruct,final_token,25,0.8779999999999999,9,0.901,0.909,0.893
Gemma_2_2B_instruct,mean,20,0.9252499999999999,20,0.9252499999999999,0.9239999999999998,0.9265000000000001
Gemma_2_9B_base,final_token,40,0.9065000000000001,33,0.9095,0.9109999999999999,0.908
Gemma_2_9B_base,mean,39,0.9335,29,0.93625,0.9270000000000002,0.9455
Gemma_2_9B_instruct,final_token,37,0.892,10,0.9312500000000001,0.9550000000000001,0.9075000000000001
Gemma_2_9B_instruct,mean,31,0.94725,31,0.94725,0.9395,0.9550000000000001
Gemma_3_27B_base,final_token,56,0.90625,59,0.909,0.914,0.9040000000000001
Gemma_3_27B_base,mean,54,0.9247500000000001,59,0.92625,0.9115,0.9410000000000001
Gemma_3_27B_instruct,final_token,59,0.9039999999999999,54,0.90675,0.9164999999999999,0.897
Gemma_3_27B_instruct,mean,54,0.9470000000000001,54,0.9470000000000001,0.9480000000000001,0.946
Llama_3.1_70B_base,final_token,70,0.9104999999999999,43,0.9289999999999998,0.9324999999999999,0.9254999999999999
Llama_3.1_70B_base,mean,47,0.9464999999999999,47,0.9464999999999999,0.9484999999999999,0.9445
Llama_3.1_70B_instruct,final_token,48,0.9237500000000001,46,0.9255,0.9235,0.9275
Llama_3.1_70B_instruct,mean,56,0.9437499999999999,47,0.94975,0.9545,0.945
Llama_3.1_8B_base,final_token,28,0.892,8,0.909,0.9135,0.9045
Llama_3.1_8B_base,mean,22,0.9295,20,0.9345,0.9410000000000001,0.9279999999999999
Llama_3.1_8B_instruct,final_token,28,0.89775,30,0.90425,0.9105000000000001,0.898
Llama_3.1_8B_instruct,mean,27,0.9285,25,0.9317500000000001,0.9340000000000002,0.9295
Llama_3.3_70B_instruct,final_token,47,0.9095,33,0.9195000000000001,0.9235000000000001,0.9155000000000001
Llama_3.3_70B_instruct,mean,50,0.95,48,0.95225,0.9585000000000001,0.9460000000000001
Mistral_7B_base,final_token,26,0.9275,30,0.9277500000000001,0.9455,0.9100000000000001
Mistral_7B_base,mean,20,0.9257499999999999,22,0.927,0.925,0.9289999999999999
Mistral_7B_instruct,final_token,27,0.9275,27,0.9275,0.9414999999999999,0.9135
Mistral_7B_instruct,mean,20,0.92275,22,0.926,0.921,0.931
Mistral_Small_24B_base,final_token,32,0.9155,26,0.9235,0.9285,0.9185000000000001
Mistral_Small_24B_base,mean,25,0.931,20,0.93425,0.9395,0.9289999999999999
Phi_4,final_token,20,0.8872500000000001,11,0.89075,0.8835000000000001,0.898
Phi_4,mean,31,0.9275,31,0.9275,0.9324999999999999,0.9225
Qwen_2.5_32B_base,final_token,60,0.8469999999999999,18,0.875,0.8744999999999999,0.8755000000000001
Qwen_2.5_32B_base,mean,60,0.8909999999999999,62,0.90025,0.8895,0.9109999999999999
Qwen_2.5_32B_instruct,final_token,61,0.8947499999999999,60,0.8997499999999999,0.9039999999999999,0.8955
Qwen_2.5_32B_instruct,mean,60,0.8967499999999999,62,0.9059999999999999,0.8985,0.9135
Qwen_2.5_72B_base,final_token,78,0.87925,15,0.88025,0.875,0.8855000000000001
Qwen_2.5_72B_base,mean,63,0.92075,70,0.92675,0.9249999999999998,0.9285
Qwen_2.5_72B_instruct,final_token,76,0.9055,76,0.9055,0.8859999999999999,0.925
Qwen_2.5_72B_instruct,mean,76,0.93075,76,0.93075,0.924,0.9375
Qwen_2.5_7B_base,final_token,24,0.905,24,0.905,0.9085000000000001,0.9015000000000001
Qwen_2.5_7B_base,mean,26,0.9069999999999999,26,0.9069999999999999,0.8949999999999999,0.9189999999999999
Qwen_2.5_7B_instruct,final_token,24,0.8907500000000002,24,0.8907500000000002,0.8855000000000001,0.8960000000000001
Qwen_2.5_7B_instruct,mean,26,0.9125,26,0.9125,0.8975,0.9275
Qwen_3_14B_base,final_token,31,0.91425,36,0.9219999999999999,0.9099999999999999,0.9339999999999999
Qwen_3_14B_base,mean,36,0.9227500000000002,37,0.9232500000000001,0.9179999999999999,0.9285000000000002
Qwen_3_8B_base,final_token,34,0.925,34,0.925,0.923,0.9269999999999999
Qwen_3_8B_base,mean,35,0.9112499999999999,34,0.915,0.9109999999999999,0.9190000000000002
