dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,final_token,0,0.7799999999999999,0.6435000000000001,0.09155599379614637
S2_1P,final_token,1,0.8240000000000001,0.6465,0.05662596577542855
S2_1P,final_token,2,0.8019999999999999,0.6735,0.07178788198575027
S2_1P,final_token,3,0.8469999999999999,0.7375,0.05434611301647989
S2_1P,final_token,4,0.8635000000000002,0.7945,0.03618010503025104
S2_1P,final_token,5,0.86,0.826,0.036469165057620934
S2_1P,final_token,6,0.8685,0.8400000000000001,0.03669468626381754
S2_1P,final_token,7,0.893,0.837,0.025169425897306454
S2_1P,final_token,8,0.9065000000000001,0.851,0.02883574171059243
S2_1P,final_token,9,0.9029999999999999,0.8514999999999999,0.03536947836765477
S2_1P,final_token,10,0.8844999999999998,0.8545,0.0323032506104262
S2_1P,final_token,11,0.8995000000000001,0.873,0.02595187854472193
S2_1P,final_token,12,0.9305,0.882,0.024566236993076505
S2_1P,final_token,13,0.8855000000000001,0.8789999999999999,0.024413111231467378
S2_1P,final_token,14,0.9185000000000001,0.8985,0.02267156809750926
S2_1P,final_token,15,0.8594999999999999,0.8720000000000001,0.015604486534327205
S2_1P,final_token,16,0.9164999999999999,0.9004999999999999,0.04285440467443225
S2_1P,final_token,17,0.9179999999999999,0.9175000000000001,0.028521921393903294
S2_1P,final_token,18,0.9135,0.9200000000000002,0.025524498036200487
S2_1P,final_token,19,0.9040000000000001,0.9035,0.02989983277545211
S2_1P,final_token,20,0.9049999999999999,0.8925000000000001,0.02765863337187866
S2_1P,final_token,21,0.881,0.8969999999999999,0.0350570962859162
S2_1P,final_token,22,0.924,0.9055,0.031168894751017372
S2_1P,final_token,23,0.9570000000000001,0.9179999999999999,0.028478061731796317
S2_1P,final_token,24,0.96,0.9195,0.027156951228000565
S2_1P,final_token,25,0.9639999999999999,0.9184999999999999,0.02411431110357499
S2_1P,final_token,26,0.9605,0.9244999999999999,0.02925747767665559
S2_1P,final_token,27,0.9654999999999999,0.9254999999999999,0.01996246477767715
S2_1P,final_token,28,0.9700000000000001,0.9135000000000002,0.017175564037317674
S2_1P,final_token,29,0.9870000000000001,0.9229999999999998,0.017131841699011805
S2_1P,final_token,30,0.9890000000000001,0.9199999999999999,0.016477257053284074
S2_1P,final_token,31,0.99,0.9204999999999999,0.014577379737113242
S2_1P,final_token,32,0.9904999999999999,0.9215,0.014525839046333942
