dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,final_token,0,0.8125,0.8009999999999999,0.04424364361125792
S2_1P,final_token,1,0.8380000000000001,0.8225,0.030878795313289034
S2_1P,final_token,2,0.8525,0.813,0.04486089611231589
S2_1P,final_token,3,0.8275,0.8095000000000001,0.028679260799399975
S2_1P,final_token,4,0.8415000000000001,0.817,0.025029982021567674
S2_1P,final_token,5,0.8855000000000001,0.8495000000000001,0.024259018941416393
S2_1P,final_token,6,0.8765000000000001,0.8495000000000001,0.024829418035870247
S2_1P,final_token,7,0.9099999999999999,0.8560000000000001,0.04497221364353775
S2_1P,final_token,8,0.9055,0.8645000000000002,0.04145479465634823
S2_1P,final_token,9,0.9195,0.885,0.03776241517699841
S2_1P,final_token,10,0.9209999999999999,0.8825,0.0373363094051889
S2_1P,final_token,11,0.9120000000000001,0.8845000000000001,0.04331281565541545
S2_1P,final_token,12,0.9125,0.8805,0.04083503397819082
S2_1P,final_token,13,0.915,0.907,0.030862598724021983
S2_1P,final_token,14,0.9025000000000001,0.8915000000000001,0.028939592256975583
S2_1P,final_token,15,0.9135,0.889,0.027955321496988723
S2_1P,final_token,16,0.9574999999999999,0.93,0.0193649167310371
S2_1P,final_token,17,0.923,0.9155000000000001,0.03310589071449369
S2_1P,final_token,18,0.9395,0.908,0.02590366769397723
S2_1P,final_token,19,0.9585000000000001,0.9029999999999999,0.033970575502926044
S2_1P,final_token,20,0.9484999999999999,0.89,0.03303785707336353
S2_1P,final_token,21,0.9504999999999999,0.8895000000000002,0.03388952640566106
S2_1P,final_token,22,0.9655000000000001,0.8960000000000001,0.02726719640887197
S2_1P,final_token,23,0.966,0.8935000000000001,0.027459060435491952
S2_1P,final_token,24,0.966,0.8965,0.02353720459187962
S2_1P,final_token,25,0.9685,0.8895,0.021130546609115435
S2_3P,final_token,0,0.8004999999999999,0.793,0.05213923666491481
S2_3P,final_token,1,0.868,0.8244999999999999,0.03938273733503042
S2_3P,final_token,2,0.851,0.8164999999999999,0.03910242959203431
S2_3P,final_token,3,0.8564999999999999,0.8154999999999999,0.0476340214552582
S2_3P,final_token,4,0.866,0.842,0.05721887800367991
S2_3P,final_token,5,0.8940000000000001,0.8480000000000001,0.0448497491631782
S2_3P,final_token,6,0.867,0.8475000000000001,0.05082814181140211
S2_3P,final_token,7,0.8925000000000001,0.8370000000000001,0.05447476479985943
S2_3P,final_token,8,0.8885,0.8210000000000001,0.05573598478541485
S2_3P,final_token,9,0.9039999999999999,0.8235000000000001,0.050759235612841964
S2_3P,final_token,10,0.9010000000000001,0.821,0.041551173268633494
S2_3P,final_token,11,0.897,0.827,0.04414181690868651
S2_3P,final_token,12,0.9019999999999999,0.8275,0.031160872901765772
S2_3P,final_token,13,0.9134999999999998,0.836,0.030805843601498677
S2_3P,final_token,14,0.9085000000000001,0.821,0.03284813541131367
S2_3P,final_token,15,0.9164999999999999,0.82,0.02857446412445911
S2_3P,final_token,16,0.9424999999999999,0.844,0.03228776858192591
S2_3P,final_token,17,0.9289999999999999,0.8425,0.022505554869853787
S2_3P,final_token,18,0.9470000000000001,0.8539999999999999,0.020760539492026716
S2_3P,final_token,19,0.9595,0.8414999999999999,0.017846568297574784
S2_3P,final_token,20,0.9625,0.8445,0.019811612756158944
S2_3P,final_token,21,0.9629999999999999,0.8455,0.022934689882359426
S2_3P,final_token,22,0.9675,0.8675,0.017464249196572957
S2_3P,final_token,23,0.9685,0.8644999999999999,0.013838352503098039
S2_3P,final_token,24,0.966,0.869,0.017720045146669326
S2_3P,final_token,25,0.9655000000000001,0.8779999999999999,0.027358728040608928
S2_1P,mean,0,0.866,0.8,0.04462622547336932
S2_1P,mean,1,0.8835,0.8240000000000001,0.04649193478443333
S2_1P,mean,2,0.8889999999999999,0.825,0.03579804463933751
S2_1P,mean,3,0.9004999999999999,0.8164999999999999,0.04193447269252353
S2_1P,mean,4,0.9035,0.8230000000000001,0.03783516882478526
S2_1P,mean,5,0.9040000000000001,0.8205,0.03116889475101741
S2_1P,mean,6,0.9145,0.836,0.026239283526803856
S2_1P,mean,7,0.9490000000000001,0.8699999999999999,0.023162469643800955
S2_1P,mean,8,0.944,0.8835000000000001,0.024423349483639636
S2_1P,mean,9,0.9404999999999999,0.8719999999999999,0.024103941586387893
S2_1P,mean,10,0.9395,0.8734999999999999,0.02288012237729515
S2_1P,mean,11,0.9355,0.8785000000000001,0.028783675929248513
S2_1P,mean,12,0.9339999999999999,0.884,0.027820855486487123
S2_1P,mean,13,0.9365,0.8875,0.03203903868720162
S2_1P,mean,14,0.9380000000000001,0.8895,0.03325657829663179
S2_1P,mean,15,0.9404999999999999,0.8850000000000001,0.03359315406448167
S2_1P,mean,16,0.952,0.9045,0.028169132042006523
S2_1P,mean,17,0.9470000000000001,0.9019999999999999,0.030224162519414857
S2_1P,mean,18,0.9515,0.9114999999999999,0.030846393630374353
S2_1P,mean,19,0.9475,0.9215,0.035916569992135966
S2_1P,mean,20,0.9514999999999999,0.9235,0.02892230972795917
S2_1P,mean,21,0.9440000000000002,0.925,0.03104834939252007
S2_1P,mean,22,0.9535,0.9369999999999999,0.028835741710592402
S2_1P,mean,23,0.9524999999999999,0.9365,0.03033150177620619
S2_1P,mean,24,0.951,0.9335000000000001,0.030683871985132498
S2_1P,mean,25,0.9424999999999999,0.9440000000000002,0.02329162939770423
S2_3P,mean,0,0.8705,0.821,0.05228288438867925
S2_3P,mean,1,0.898,0.849,0.036414282912066255
S2_3P,mean,2,0.8865000000000001,0.825,0.040853396431631016
S2_3P,mean,3,0.9005000000000001,0.825,0.04087786687193937
S2_3P,mean,4,0.9040000000000001,0.8229999999999998,0.03826225293941799
S2_3P,mean,5,0.9039999999999999,0.8205,0.03855515529731403
S2_3P,mean,6,0.9135,0.841,0.03064310689208911
S2_3P,mean,7,0.9390000000000001,0.8595,0.02610555496441322
S2_3P,mean,8,0.9339999999999999,0.8724999999999999,0.021771541057077216
S2_3P,mean,9,0.9339999999999999,0.8644999999999999,0.025179356624028364
S2_3P,mean,10,0.9305,0.8620000000000001,0.02394786002965609
S2_3P,mean,11,0.9265000000000001,0.8585,0.02472852603775644
S2_3P,mean,12,0.9175000000000001,0.8664999999999999,0.03346640106136302
S2_3P,mean,13,0.9235,0.8634999999999999,0.0325806691152898
S2_3P,mean,14,0.9235000000000001,0.8625,0.035658098659350844
S2_3P,mean,15,0.9215,0.859,0.03487836005319056
S2_3P,mean,16,0.9335000000000001,0.8775000000000001,0.027865749586185522
S2_3P,mean,17,0.9380000000000001,0.8765000000000001,0.02260530911091463
S2_3P,mean,18,0.9375,0.889,0.026410225292488532
S2_3P,mean,19,0.945,0.8959999999999999,0.01930025906561878
S2_3P,mean,20,0.9414999999999999,0.9005000000000001,0.021828879952943105
S2_3P,mean,21,0.9329999999999998,0.9029999999999999,0.022934689882359426
S2_3P,mean,22,0.9425000000000001,0.9164999999999999,0.025932604959779882
S2_3P,mean,23,0.9455000000000002,0.9195,0.02476893215300165
S2_3P,mean,24,0.9440000000000002,0.9179999999999999,0.023484037131634765
S2_3P,mean,25,0.9369999999999999,0.9254999999999999,0.02221485989152306
