dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,final_token,0,0.8085000000000001,0.8150000000000001,0.0386522961801754
S2_1P,final_token,1,0.836,0.82,0.024829418035870313
S2_1P,final_token,2,0.865,0.7895000000000001,0.047381430961928574
S2_1P,final_token,3,0.8644999999999999,0.8005000000000001,0.06195562928419013
S2_1P,final_token,4,0.8705,0.821,0.049532817404221996
S2_1P,final_token,5,0.867,0.836,0.03729611239794304
S2_1P,final_token,6,0.8779999999999999,0.8424999999999999,0.03429285639896452
S2_1P,final_token,7,0.8825,0.8385,0.04233792626003311
S2_1P,final_token,8,0.8880000000000001,0.8615,0.03903203812254746
S2_1P,final_token,9,0.8985,0.884,0.0316069612585582
S2_1P,final_token,10,0.909,0.8835000000000001,0.023537204591879628
S2_1P,final_token,11,0.915,0.8875,0.025298221281347007
S2_1P,final_token,12,0.9155000000000001,0.8865000000000001,0.01653783540854124
S2_1P,final_token,13,0.9205,0.884,0.021931712199461294
S2_1P,final_token,14,0.9190000000000002,0.881,0.036796738985948194
S2_1P,final_token,15,0.916,0.8755000000000001,0.03894226495724151
S2_1P,final_token,16,0.9085000000000001,0.876,0.04559605246071199
S2_1P,final_token,17,0.9145,0.8714999999999999,0.03329414362917297
S2_1P,final_token,18,0.9105000000000001,0.867,0.040663251222694916
S2_1P,final_token,19,0.9115,0.869,0.03060228749619868
S2_1P,final_token,20,0.907,0.8664999999999999,0.041091361622608735
S2_1P,final_token,21,0.9179999999999999,0.866,0.036925600875273495
S2_1P,final_token,22,0.9189999999999999,0.8725000000000002,0.03156738823532916
S2_1P,final_token,23,0.9205,0.866,0.02675817632051928
S2_1P,final_token,24,0.9254999999999999,0.874,0.02860943900183992
S2_1P,final_token,25,0.924,0.8695,0.027865749586185543
S2_1P,final_token,26,0.9265000000000001,0.8714999999999999,0.029857997253667213
S2_1P,final_token,27,0.9299999999999999,0.8615,0.029790938219532447
S2_1P,final_token,28,0.9225000000000001,0.8629999999999999,0.02687936011143124
S2_1P,final_token,29,0.9185000000000001,0.8585,0.02390606617576381
S2_1P,final_token,30,0.9174999999999999,0.8640000000000001,0.030618621784789708
S2_1P,final_token,31,0.9190000000000002,0.8699999999999999,0.024728526037756483
S2_1P,final_token,32,0.9165000000000001,0.8734999999999999,0.02194310825749165
S2_1P,final_token,33,0.9180000000000001,0.8774999999999998,0.012589678312014152
S2_1P,final_token,34,0.9244999999999999,0.8870000000000001,0.013171939872319478
S2_1P,final_token,35,0.9265000000000001,0.8965,0.01200000000000001
S2_1P,final_token,36,0.9274999999999999,0.8919999999999998,0.013322912594474247
S2_1P,final_token,37,0.9414999999999999,0.9014999999999999,0.009823441352194227
S2_1P,final_token,38,0.9564999999999999,0.9120000000000001,0.011247221879201965
S2_1P,final_token,39,0.9649999999999999,0.9145,0.012747548783981965
S2_1P,final_token,40,0.9665000000000001,0.9164999999999999,0.011467344941179713
S2_1P,final_token,41,0.9715,0.9155,0.013190905958272903
S2_1P,final_token,42,0.9734999999999999,0.9145,0.015459624833740297
S2_1P,final_token,43,0.9785,0.9285,0.013190905958272922
S2_1P,final_token,44,0.9790000000000001,0.9189999999999999,0.013285330255586439
S2_1P,final_token,45,0.9795,0.9209999999999999,0.013729530217745962
S2_1P,final_token,46,0.9814999999999999,0.9190000000000002,0.010440306508910556
S2_1P,final_token,47,0.9870000000000001,0.9289999999999999,0.009669539802906867
S2_1P,final_token,48,0.9884999999999999,0.925,0.009027735042633886
S2_1P,final_token,49,0.9869999999999999,0.9269999999999999,0.009924716620639623
S2_1P,final_token,50,0.9880000000000001,0.9295,0.008276472678623444
S2_1P,final_token,51,0.9875,0.925,0.009082951062292477
S2_1P,final_token,52,0.9865,0.9215,0.009565563234854496
S2_1P,final_token,53,0.9865,0.9199999999999999,0.010074720839804931
S2_1P,final_token,54,0.9870000000000001,0.923,0.009669539802906857
S2_1P,final_token,55,0.9870000000000001,0.9279999999999999,0.009669539802906857
S2_1P,final_token,56,0.9855,0.9164999999999999,0.010416333327999811
S2_1P,final_token,57,0.985,0.9174999999999999,0.009746794344808933
S2_1P,final_token,58,0.985,0.9184999999999999,0.010606601717798198
S2_1P,final_token,59,0.985,0.9195,0.009746794344808933
S2_1P,final_token,60,0.986,0.9179999999999999,0.009949874371066193
S2_1P,final_token,61,0.986,0.9195,0.010319883720275131
S2_1P,final_token,62,0.9865,0.9199999999999999,0.009949874371066193
S2_1P,final_token,63,0.9869999999999999,0.9195,0.009669539802906855
S2_1P,final_token,64,0.9870000000000001,0.9215,0.009669539802906857
S2_1P,final_token,65,0.9869999999999999,0.921,0.010295630140986983
S2_1P,final_token,66,0.9875,0.921,0.00961769203083567
S2_1P,final_token,67,0.9880000000000001,0.921,0.009669539802906855
S2_1P,final_token,68,0.9879999999999999,0.921,0.009273618495495682
S2_1P,final_token,69,0.9894999999999999,0.9199999999999999,0.009797958971132741
S2_1P,final_token,70,0.9879999999999999,0.9205,0.009137833441248565
S2_1P,final_token,71,0.9884999999999999,0.9175000000000001,0.00830662386291806
S2_1P,final_token,72,0.9870000000000001,0.9195,0.008276472678623392
S2_1P,final_token,73,0.9870000000000001,0.9189999999999999,0.009924716620639581
S2_1P,final_token,74,0.9864999999999998,0.9189999999999999,0.009165151389911674
S2_1P,final_token,75,0.9884999999999999,0.9195,0.00830662386291804
S2_1P,final_token,76,0.9880000000000001,0.9189999999999999,0.008573214099741098
S2_1P,final_token,77,0.9869999999999999,0.9189999999999999,0.00871779788708136
S2_1P,final_token,78,0.9844999999999999,0.914,0.011113055385446428
S2_1P,final_token,79,0.9675,0.9119999999999999,0.01254990039801111
S2_3P,final_token,0,0.7555,0.7635,0.051220113236891615
S2_3P,final_token,1,0.8095000000000001,0.7775000000000001,0.0239478600296561
S2_3P,final_token,2,0.851,0.758,0.04394883388669148
S2_3P,final_token,3,0.8695,0.7845000000000001,0.04115215668710448
S2_3P,final_token,4,0.8725000000000002,0.8154999999999999,0.03711468711979128
S2_3P,final_token,5,0.8755000000000001,0.8305,0.03291656118126559
S2_3P,final_token,6,0.8685,0.829,0.04320300915445584
S2_3P,final_token,7,0.8725000000000002,0.8335000000000001,0.04065095324835566
S2_3P,final_token,8,0.8985000000000001,0.8444999999999998,0.025475478405713993
S2_3P,final_token,9,0.9095000000000001,0.8495000000000001,0.03359315406448162
S2_3P,final_token,10,0.922,0.8535,0.02758622844826747
S2_3P,final_token,11,0.9145,0.8425,0.02735872804060886
S2_3P,final_token,12,0.9195,0.836,0.024052026941611366
S2_3P,final_token,13,0.9145,0.8425,0.024155744658362344
S2_3P,final_token,14,0.9189999999999999,0.8400000000000001,0.02228227995515717
S2_3P,final_token,15,0.9225,0.8325000000000001,0.02815137652051852
S2_3P,final_token,16,0.9235,0.8274999999999999,0.03466266002487402
S2_3P,final_token,17,0.9189999999999999,0.8225000000000001,0.03534119409414457
S2_3P,final_token,18,0.9049999999999999,0.818,0.04277849927241487
S2_3P,final_token,19,0.9175000000000001,0.8195,0.042895221179054456
S2_3P,final_token,20,0.9175000000000001,0.8159999999999998,0.042778499272414845
S2_3P,final_token,21,0.9215,0.813,0.049056090345644184
S2_3P,final_token,22,0.9295,0.827,0.03944616584663205
S2_3P,final_token,23,0.932,0.8350000000000002,0.03333166662499795
S2_3P,final_token,24,0.9305,0.8355,0.03253459696999486
S2_3P,final_token,25,0.9275,0.8379999999999999,0.0315039680040467
S2_3P,final_token,26,0.9315,0.842,0.03211697370550347
S2_3P,final_token,27,0.9395,0.8394999999999999,0.030757112998459367
S2_3P,final_token,28,0.943,0.8469999999999999,0.02959729717389752
S2_3P,final_token,29,0.9385,0.8394999999999999,0.03128897569432403
S2_3P,final_token,30,0.9400000000000001,0.842,0.0373496987939662
