dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,final_token,0,0.8215,0.7835,0.05695612346359257
S2_1P,final_token,1,0.8405000000000001,0.7985000000000001,0.047233462714478126
S2_1P,final_token,2,0.8535,0.8089999999999999,0.02943637205907003
S2_1P,final_token,3,0.8795,0.8335000000000001,0.04861584103972692
S2_1P,final_token,4,0.9105000000000001,0.859,0.028346075566116784
S2_1P,final_token,5,0.9015000000000001,0.8710000000000001,0.02648584527629802
S2_1P,final_token,6,0.892,0.8769999999999998,0.032802438933713436
S2_1P,final_token,7,0.9059999999999999,0.8895,0.02337733945512191
S2_1P,final_token,8,0.9129999999999999,0.8895,0.028080242164197945
S2_1P,final_token,9,0.9030000000000001,0.898,0.033852621759621504
S2_1P,final_token,10,0.905,0.8915000000000001,0.03687817782917155
S2_1P,final_token,11,0.914,0.8895,0.040360872141221166
S2_1P,final_token,12,0.9200000000000002,0.906,0.03350373113550193
S2_1P,final_token,13,0.9209999999999999,0.9259999999999999,0.028310775333784108
S2_1P,final_token,14,0.932,0.9369999999999999,0.028783675929248475
S2_1P,final_token,15,0.9435,0.9380000000000001,0.025913317039699908
S2_1P,final_token,16,0.9545,0.9375,0.018867962264113216
S2_1P,final_token,17,0.9744999999999999,0.9380000000000001,0.017277152543171005
S2_1P,final_token,18,0.968,0.933,0.01698528775146301
S2_1P,final_token,19,0.9695,0.9215,0.018668154702594447
S2_1P,final_token,20,0.9850000000000001,0.9369999999999999,0.008944271909999161
S2_1P,final_token,21,0.9894999999999999,0.9279999999999999,0.01615549442140351
S2_1P,final_token,22,0.9935,0.9334999999999999,0.009433981132056608
S2_1P,final_token,23,0.9955,0.9269999999999999,0.007810249675906658
S2_1P,final_token,24,0.9964999999999999,0.9205,0.0058309518948452595
S2_1P,final_token,25,0.9955,0.9125,0.007810249675906658
S2_1P,final_token,26,0.9949999999999999,0.9165000000000001,0.007745966692414841
S2_1P,final_token,27,0.9945,0.9095000000000001,0.007483314773547885
S2_1P,final_token,28,0.9949999999999999,0.906,0.008803408430829487
S2_1P,final_token,29,0.993,0.9085000000000001,0.007968688725254606
S2_1P,final_token,30,0.993,0.9025000000000001,0.007968688725254594
S2_1P,final_token,31,0.9765,0.8724999999999999,0.018207141456033086
S2_3P,final_token,0,0.8055,0.7765,0.046567155807500205
S2_3P,final_token,1,0.833,0.7729999999999999,0.04029267923581153
S2_3P,final_token,2,0.8465,0.8104999999999999,0.04600543446159374
S2_3P,final_token,3,0.851,0.8260000000000002,0.06264183905346335
S2_3P,final_token,4,0.897,0.8435,0.036993242626187806
S2_3P,final_token,5,0.8975,0.8380000000000001,0.03024896692450832
S2_3P,final_token,6,0.8854999999999998,0.8404999999999999,0.0437435709561988
S2_3P,final_token,7,0.909,0.8554999999999999,0.033301651610693456
S2_3P,final_token,8,0.9109999999999999,0.8564999999999999,0.049638694583963465
S2_3P,final_token,9,0.9135,0.8600000000000001,0.03172538415843066
S2_3P,final_token,10,0.9119999999999999,0.8375,0.039635842365212774
S2_3P,final_token,11,0.9189999999999999,0.8275,0.04605974381170612
S2_3P,final_token,12,0.917,0.836,0.038157568056677825
S2_3P,final_token,13,0.9185000000000001,0.8344999999999999,0.041309805131469694
S2_3P,final_token,14,0.9229999999999998,0.835,0.032916561181265576
S2_3P,final_token,15,0.9275,0.8265,0.029706901555025905
S2_3P,final_token,16,0.9395,0.8290000000000001,0.03414674215792776
S2_3P,final_token,17,0.9264999999999999,0.8320000000000001,0.03072458299147446
S2_3P,final_token,18,0.9345000000000001,0.828,0.03388952640566111
S2_3P,final_token,19,0.9404999999999999,0.8225,0.025514701644346167
S2_3P,final_token,20,0.9545,0.8365,0.016232683080747892
S2_3P,final_token,21,0.9525,0.8434999999999999,0.01760681686165902
S2_3P,final_token,22,0.9530000000000001,0.8545,0.025268557536986553
S2_3P,final_token,23,0.9525,0.8559999999999999,0.026315394733881538
S2_3P,final_token,24,0.9585000000000001,0.8615,0.024879710609249473
S2_3P,final_token,25,0.9650000000000001,0.8664999999999999,0.023822258499143156
S2_3P,final_token,26,0.9644999999999999,0.8665,0.024361855430159698
S2_3P,final_token,27,0.9705,0.8690000000000001,0.023843238035132722
S2_3P,final_token,28,0.9720000000000001,0.865,0.02158703314492286
