dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,final_token,0,0.8425,0.834,0.0537819672380994
S2_1P,final_token,1,0.8675,0.8109999999999999,0.05125914552545725
S2_1P,final_token,2,0.8835000000000001,0.8225,0.042237424163885755
S2_1P,final_token,3,0.8765000000000001,0.828,0.05857900647843045
S2_1P,final_token,4,0.8760000000000001,0.8264999999999999,0.022338307903688678
S2_1P,final_token,5,0.9195,0.8550000000000001,0.025563646062328454
S2_1P,final_token,6,0.933,0.8695,0.03238054971738437
S2_1P,final_token,7,0.9325000000000001,0.883,0.0349642674740942
S2_1P,final_token,8,0.942,0.885,0.032070235421649114
S2_1P,final_token,9,0.9470000000000001,0.893,0.026523574419749688
S2_1P,final_token,10,0.9355,0.893,0.03063494736408079
S2_1P,final_token,11,0.9335000000000001,0.8975000000000002,0.03809855640309747
S2_1P,final_token,12,0.9349999999999999,0.9029999999999999,0.03102418411497716
S2_1P,final_token,13,0.9334999999999999,0.908,0.03466266002487399
S2_1P,final_token,14,0.944,0.9155,0.03509273429073317
S2_1P,final_token,15,0.9490000000000001,0.9115,0.03035621847332106
S2_1P,final_token,16,0.9705,0.933,0.024103941586387886
S2_1P,final_token,17,0.9629999999999999,0.9335000000000001,0.017204650534085247
S2_1P,final_token,18,0.9695,0.932,0.012489995996796762
S2_1P,final_token,19,0.9715,0.9305,0.014370107863199923
S2_1P,final_token,20,0.984,0.9390000000000001,0.013928388277184112
S2_1P,final_token,21,0.984,0.9405000000000001,0.014543039572248968
S2_1P,final_token,22,0.983,0.9324999999999999,0.014089002803605342
S2_1P,final_token,23,0.986,0.9349999999999999,0.012509996003196792
S2_1P,final_token,24,0.9879999999999999,0.9275,0.010885770528538589
S2_1P,final_token,25,0.9885000000000002,0.9235000000000001,0.010198039027185538
S2_1P,final_token,26,0.9890000000000001,0.924,0.010793516572461435
S2_1P,final_token,27,0.9890000000000001,0.916,0.010793516572461435
S2_1P,final_token,28,0.9890000000000001,0.9094999999999999,0.01079351657246147
S2_1P,final_token,29,0.9884999999999999,0.9085000000000001,0.011247221879202
S2_1P,final_token,30,0.9865,0.9014999999999999,0.011247221879202005
S2_1P,final_token,31,0.985,0.8924999999999998,0.012942179105544745
S2_3P,final_token,0,0.8015000000000001,0.8019999999999999,0.039642149285829584
S2_3P,final_token,1,0.8334999999999999,0.805,0.035552777669262306
S2_3P,final_token,2,0.8594999999999999,0.8375,0.02799107000455684
S2_3P,final_token,3,0.861,0.833,0.04302905994790028
S2_3P,final_token,4,0.8889999999999999,0.8375,0.03318885355055221
S2_3P,final_token,5,0.9015000000000001,0.8545,0.02610555496441322
S2_3P,final_token,6,0.9115,0.8480000000000001,0.043203009154455865
S2_3P,final_token,7,0.933,0.845,0.026429150572804972
S2_3P,final_token,8,0.9335000000000001,0.8480000000000001,0.037202150475476516
S2_3P,final_token,9,0.9425000000000001,0.85,0.02999999999999998
S2_3P,final_token,10,0.9289999999999999,0.8405000000000001,0.031088583113419613
S2_3P,final_token,11,0.9225,0.833,0.03714835124201346
S2_3P,final_token,12,0.9255000000000001,0.8310000000000001,0.02726719640887196
S2_3P,final_token,13,0.921,0.8295,0.03466266002487406
S2_3P,final_token,14,0.9235000000000001,0.827,0.037235735523821756
S2_3P,final_token,15,0.9209999999999999,0.8265,0.03527038417709682
S2_3P,final_token,16,0.9265000000000001,0.844,0.05370288632839025
S2_3P,final_token,17,0.9135000000000002,0.8485000000000001,0.04755523104769862
S2_3P,final_token,18,0.917,0.841,0.043629118716747
S2_3P,final_token,19,0.9135,0.8394999999999999,0.03783516882478528
S2_3P,final_token,20,0.9390000000000001,0.845,0.026296387584609386
S2_3P,final_token,21,0.9375,0.829,0.02770379035439013
S2_3P,final_token,22,0.9390000000000001,0.8345,0.02557342370508883
S2_3P,final_token,23,0.9349999999999999,0.8465,0.03134485603731498
S2_3P,final_token,24,0.9385,0.8290000000000001,0.028133609793270377
S2_3P,final_token,25,0.9434999999999999,0.8525,0.02552449803620043
S2_3P,final_token,26,0.9465,0.852,0.023323807579381173
S2_3P,final_token,27,0.9404999999999999,0.8495000000000001,0.0266176633084123
S2_3P,final_token,28,0.9395,0.844,0.0373296129098602
S2_3P,final_token,29,0.943,0.8585,0.03644859393721519
S2_3P,final_token,30,0.9425000000000001,0.8574999999999999,0.03801315561749643
S2_3P,final_token,31,0.9469999999999998,0.8594999999999999,0.04084727653100018
S2_1P,mean,0,0.8390000000000001,0.7585,0.045951060923552105
S2_1P,mean,1,0.833,0.7575,0.04026164427839483
S2_1P,mean,2,0.8334999999999999,0.76,0.03624913792078377
S2_1P,mean,3,0.869,0.7735000000000001,0.029941609843159675
S2_1P,mean,4,0.8739999999999999,0.7985,0.03184336665618129
S2_1P,mean,5,0.891,0.8125,0.02003746490951387
S2_1P,mean,6,0.8975,0.8210000000000001,0.017248188310660325
S2_1P,mean,7,0.901,0.845,0.016852299546352697
S2_1P,mean,8,0.908,0.8595,0.017776388834631188
S2_1P,mean,9,0.9030000000000001,0.8684999999999998,0.01298075498574717
S2_1P,mean,10,0.8975000000000002,0.8720000000000001,0.018234582528810453
S2_1P,mean,11,0.8915000000000001,0.8719999999999999,0.014456832294800942
S2_1P,mean,12,0.8975000000000002,0.8785000000000001,0.020493901531919195
S2_1P,mean,13,0.8975000000000002,0.8779999999999999,0.01695582495781315
S2_1P,mean,14,0.8995,0.8825,0.011113055385446453
S2_1P,mean,15,0.9025000000000001,0.8880000000000001,0.013693063937629178
S2_1P,mean,16,0.9495000000000001,0.8945000000000001,0.02204540768504862
S2_1P,mean,17,0.9520000000000002,0.8965,0.021177818584547415
S2_1P,mean,18,0.96,0.8955,0.019235384061671357
S2_1P,mean,19,0.9630000000000001,0.9004999999999999,0.021988633427296015
S2_1P,mean,20,0.9640000000000001,0.9075,0.02839894364232588
S2_1P,mean,21,0.9615,0.9105000000000001,0.03116889475101742
S2_1P,mean,22,0.9550000000000001,0.9099999999999999,0.03405877273185281
S2_1P,mean,23,0.952,0.9115,0.038321012512719445
S2_1P,mean,24,0.9564999999999999,0.9149999999999998,0.034007352146263915
S2_1P,mean,25,0.9605,0.9145,0.031200961523645418
S2_1P,mean,26,0.9574999999999999,0.9145,0.03510697936308393
S2_1P,mean,27,0.9550000000000001,0.9105000000000001,0.03402205167240802
S2_1P,mean,28,0.9495000000000001,0.9120000000000001,0.035192328709535585
S2_1P,mean,29,0.9475,0.9139999999999999,0.03286335345030991
S2_1P,mean,30,0.9435,0.9175000000000001,0.029732137494637018
S2_1P,mean,31,0.9355,0.9035,0.02476893215300168
S2_3P,mean,0,0.8390000000000001,0.7190000000000001,0.039642149285829625
S2_3P,mean,1,0.8235000000000001,0.72,0.047973951265243966
S2_3P,mean,2,0.8165000000000001,0.727,0.050635955604688615
S2_3P,mean,3,0.8550000000000001,0.7299999999999999,0.044412835982404905
S2_3P,mean,4,0.8524999999999998,0.7554999999999998,0.0449165893629514
S2_3P,mean,5,0.8780000000000001,0.7665000000000001,0.03268791825736232
S2_3P,mean,6,0.8779999999999999,0.782,0.030553232234904422
S2_3P,mean,7,0.8870000000000001,0.8059999999999998,0.03026549190084313
S2_3P,mean,8,0.89,0.8215,0.03130495168499706
S2_3P,mean,9,0.8775000000000001,0.8264999999999999,0.0309030742807249
S2_3P,mean,10,0.8644999999999999,0.8275,0.02717535648340238
S2_3P,mean,11,0.858,0.8395000000000001,0.027083205127901695
