dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,final_token,0,0.8355,0.8355,0.05199519208542267
S2_1P,final_token,1,0.8465,0.8150000000000001,0.051783201909499595
S2_1P,final_token,2,0.866,0.8205,0.038392707640904945
S2_1P,final_token,3,0.883,0.8355,0.036857834987964244
S2_1P,final_token,4,0.8889999999999999,0.8514999999999999,0.03614553914385567
S2_1P,final_token,5,0.9244999999999999,0.8734999999999999,0.015842979517754832
S2_1P,final_token,6,0.9235,0.884,0.026343879744638938
S2_1P,final_token,7,0.9245000000000001,0.8895,0.02772183255125823
S2_1P,final_token,8,0.9295,0.8925000000000001,0.03183551475946321
S2_1P,final_token,9,0.9295,0.899,0.03739652390263027
S2_1P,final_token,10,0.9390000000000001,0.9019999999999999,0.032580669115289784
S2_1P,final_token,11,0.9410000000000001,0.9055000000000002,0.0285744641244591
S2_1P,final_token,12,0.938,0.9110000000000001,0.027676705006196047
S2_1P,final_token,13,0.9355,0.916,0.03071644510681531
S2_1P,final_token,14,0.9404999999999999,0.9305,0.030716445106815347
S2_1P,final_token,15,0.944,0.9265000000000001,0.026953663943887093
S2_1P,final_token,16,0.961,0.93,0.02522895162308571
S2_1P,final_token,17,0.9605,0.9279999999999999,0.024052026941611362
S2_1P,final_token,18,0.9650000000000001,0.9200000000000002,0.022192341021172138
S2_1P,final_token,19,0.9635,0.9174999999999999,0.02467792535850613
S2_1P,final_token,20,0.984,0.9225000000000001,0.014882876066137205
S2_1P,final_token,21,0.9870000000000001,0.933,0.013729530217746012
S2_1P,final_token,22,0.9824999999999999,0.9219999999999999,0.017606816861658985
S2_1P,final_token,23,0.9825000000000002,0.9205,0.014747881203752615
S2_1P,final_token,24,0.9884999999999999,0.9179999999999999,0.011247221879201985
S2_1P,final_token,25,0.9890000000000001,0.9139999999999999,0.009695359714832666
S2_1P,final_token,26,0.9894999999999999,0.9135,0.008717797887081333
S2_1P,final_token,27,0.9884999999999999,0.8985000000000001,0.009433981132056617
S2_1P,final_token,28,0.9890000000000001,0.8965,0.01007472083980494
S2_1P,final_token,29,0.9875,0.892,0.012041594578792296
S2_1P,final_token,30,0.9855,0.8875,0.011000000000000012
S2_1P,final_token,31,0.9844999999999999,0.8870000000000001,0.012980754985747162
S2_3P,final_token,0,0.8315000000000001,0.804,0.04651881339845204
S2_3P,final_token,1,0.8184999999999999,0.8109999999999999,0.023695991222145545
S2_3P,final_token,2,0.8505,0.827,0.03739652390263032
S2_3P,final_token,3,0.8785000000000001,0.8305,0.047449973656473195
S2_3P,final_token,4,0.9035,0.8414999999999999,0.03756993478833841
S2_3P,final_token,5,0.9120000000000001,0.8630000000000001,0.02546566315649368
S2_3P,final_token,6,0.917,0.8695,0.02277059507347139
S2_3P,final_token,7,0.9200000000000002,0.8605,0.02018662923818634
S2_3P,final_token,8,0.9225000000000001,0.8695,0.025248762345905208
S2_3P,final_token,9,0.9179999999999999,0.859,0.0383536178215302
S2_3P,final_token,10,0.9274999999999999,0.8545,0.03507135583350036
S2_3P,final_token,11,0.9254999999999999,0.8585,0.035263295365010904
S2_3P,final_token,12,0.9195,0.8629999999999999,0.03665378561622249
S2_3P,final_token,13,0.924,0.865,0.035867812868921864
S2_3P,final_token,14,0.9164999999999999,0.8664999999999999,0.04320300915445589
S2_3P,final_token,15,0.916,0.8634999999999999,0.04197022754286662
S2_3P,final_token,16,0.931,0.8685,0.042237424163885755
S2_3P,final_token,17,0.9355,0.8695,0.04001249804748512
S2_3P,final_token,18,0.9385,0.8695,0.037336309405188915
S2_3P,final_token,19,0.9404999999999999,0.8654999999999999,0.03661966684720112
S2_3P,final_token,20,0.9570000000000001,0.867,0.03336914742692716
