dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,final_token,0,0.8185,0.8219999999999998,0.04465422712353223
S2_1P,final_token,1,0.834,0.8094999999999999,0.03897435053981019
S2_1P,final_token,2,0.8619999999999999,0.829,0.041815069054110136
S2_1P,final_token,3,0.851,0.8360000000000001,0.021424285285628526
S2_1P,final_token,4,0.8484999999999999,0.8355,0.02401041440708591
S2_1P,final_token,5,0.883,0.8545,0.02878367592924851
S2_1P,final_token,6,0.8815000000000002,0.8625,0.031328900395641096
S2_1P,final_token,7,0.8955,0.883,0.03199218654609277
S2_1P,final_token,8,0.906,0.8934999999999998,0.039198214245039296
S2_1P,final_token,9,0.9039999999999999,0.8869999999999999,0.03397057550292608
S2_1P,final_token,10,0.9099999999999999,0.8925000000000001,0.033391615714128034
S2_1P,final_token,11,0.8875,0.8785000000000001,0.03339161571412802
S2_1P,final_token,12,0.885,0.8720000000000001,0.024899799195977446
S2_1P,final_token,13,0.9015000000000001,0.8719999999999999,0.022226110770892853
S2_1P,final_token,14,0.8989999999999998,0.8755000000000001,0.031008063467427318
S2_1P,final_token,15,0.9049999999999999,0.8695,0.029916550603303147
S2_1P,final_token,16,0.917,0.883,0.014949916387726102
S2_1P,final_token,17,0.9265000000000001,0.8939999999999999,0.01699999999999999
S2_1P,final_token,18,0.9309999999999998,0.9004999999999999,0.014106735979665915
S2_1P,final_token,19,0.9414999999999999,0.9225,0.016703293088490067
S2_1P,final_token,20,0.951,0.9289999999999999,0.012308533625091192
S2_1P,final_token,21,0.9570000000000001,0.9365,0.0172046505340853
S2_1P,final_token,22,0.9650000000000001,0.9385000000000001,0.017029386365926425
S2_1P,final_token,23,0.9655000000000001,0.9375,0.01391042774324357
S2_1P,final_token,24,0.9690000000000001,0.9365,0.012103718436910223
S2_1P,final_token,25,0.9784999999999998,0.9400000000000001,0.013656500283747671
S2_1P,final_token,26,0.9789999999999999,0.937,0.014713938969562168
S2_1P,final_token,27,0.9789999999999999,0.932,0.016015617378046965
S2_1P,final_token,28,0.9785,0.931,0.014370107863199892
S2_1P,final_token,29,0.982,0.9279999999999999,0.012083045973594587
S2_1P,final_token,30,0.983,0.916,0.013171939872319488
S2_1P,final_token,31,0.984,0.914,0.012409673645990868
S2_1P,final_token,32,0.9844999999999999,0.9135,0.012980754985747167
S2_1P,final_token,33,0.984,0.9059999999999999,0.013564659966250526
S2_1P,final_token,34,0.9855,0.9045,0.014177446878757816
S2_1P,final_token,35,0.983,0.8985000000000001,0.010535653752852769
S2_1P,final_token,36,0.985,0.8899999999999999,0.011937336386313342
S2_1P,final_token,37,0.9814999999999999,0.8895,0.009823441352194288
S2_1P,final_token,38,0.9789999999999999,0.8785000000000001,0.012409673645990878
S2_1P,final_token,39,0.968,0.8815,0.019962464777677134
S2_3P,final_token,0,0.7825000000000001,0.8065,0.052938643730265654
S2_3P,final_token,1,0.835,0.7895,0.04491658936295138
S2_3P,final_token,2,0.882,0.8210000000000001,0.024310491562286443
S2_3P,final_token,3,0.8585,0.8394999999999999,0.027046256672597017
S2_3P,final_token,4,0.8465,0.8255000000000001,0.05129814811472244
S2_3P,final_token,5,0.8815,0.8400000000000001,0.03669468626381755
S2_3P,final_token,6,0.8895,0.8469999999999999,0.03377869150810907
S2_3P,final_token,7,0.916,0.8540000000000001,0.017435595774162677
S2_3P,final_token,8,0.9145,0.8595,0.020880613017821074
S2_3P,final_token,9,0.9095000000000001,0.8585,0.02834607556611673
S2_3P,final_token,10,0.9189999999999999,0.8510000000000002,0.01834393632784414
S2_3P,final_token,11,0.916,0.8539999999999999,0.022056745000112763
S2_3P,final_token,12,0.9109999999999999,0.8515,0.02294558781116754
S2_3P,final_token,13,0.9205,0.8445,0.021529050141610984
S2_3P,final_token,14,0.9255000000000001,0.8505,0.023895606290696994
S2_3P,final_token,15,0.9179999999999999,0.8474999999999999,0.02642915057280504
S2_3P,final_token,16,0.9265000000000001,0.8515,0.021598611066455137
S2_3P,final_token,17,0.9355,0.8699999999999999,0.0287836759292485
S2_3P,final_token,18,0.9269999999999999,0.857,0.04217226576791909
S2_3P,final_token,19,0.9410000000000001,0.8675,0.03541186241925151
S2_3P,final_token,20,0.9540000000000001,0.8889999999999999,0.027276363393971714
S2_3P,final_token,21,0.9470000000000001,0.889,0.023259406699225986
S2_3P,final_token,22,0.9475,0.8885,0.025932604959779875
S2_3P,final_token,23,0.9480000000000001,0.89,0.02599999999999998
S2_3P,final_token,24,0.9555,0.882,0.022383029285599338
S2_3P,final_token,25,0.9695,0.8845000000000001,0.025758493744782524
S2_3P,final_token,26,0.967,0.8825,0.03151983502494899
S2_3P,final_token,27,0.9545,0.8855000000000001,0.032840523747345994
S2_3P,final_token,28,0.9549999999999998,0.8825,0.0333541601603158
S2_3P,final_token,29,0.9574999999999999,0.882,0.03181980515339461
S2_3P,final_token,30,0.9565000000000001,0.8719999999999999,0.031008063467427294
S2_3P,final_token,31,0.9635,0.876,0.030805843601498725
S2_3P,final_token,32,0.966,0.8779999999999999,0.029223278392404906
S2_3P,final_token,33,0.9640000000000001,0.873,0.029008619408720564
S2_3P,final_token,34,0.9635,0.873,0.028133609793270408
S2_3P,final_token,35,0.9650000000000001,0.876,0.025298221281347053
S2_3P,final_token,36,0.9650000000000001,0.867,0.02598076211353316
S2_3P,final_token,37,0.9684999999999999,0.873,0.025179356624028336
S2_3P,final_token,38,0.968,0.8664999999999999,0.025709920264364892
S2_3P,final_token,39,0.9755,0.8724999999999999,0.018193405398660233
S2_1P,mean,0,0.865,0.7615000000000001,0.04174326292948364
S2_1P,mean,1,0.8715000000000002,0.7929999999999999,0.056625965775428506
S2_1P,mean,2,0.8649999999999999,0.755,0.035601966237835764
S2_1P,mean,3,0.8535,0.7635,0.042
S2_1P,mean,4,0.8695,0.7675000000000001,0.041934472692523525
S2_1P,mean,5,0.8969999999999999,0.7895000000000001,0.03575611835756222
S2_1P,mean,6,0.9,0.8025,0.03482097069296029
S2_1P,mean,7,0.901,0.8254999999999999,0.034300145772285004
S2_1P,mean,8,0.9015000000000001,0.8309999999999998,0.03534119409414458
S2_1P,mean,9,0.9125,0.8379999999999999,0.020554804791094502
S2_1P,mean,10,0.9365,0.8404999999999999,0.03084639363037435
S2_1P,mean,11,0.9365,0.851,0.019723082923316038
S2_1P,mean,12,0.9225,0.8465,0.019493588689617945
S2_1P,mean,13,0.931,0.857,0.017720045146669382
S2_1P,mean,14,0.9324999999999999,0.8545,0.019429359227725436
S2_1P,mean,15,0.9309999999999998,0.8574999999999999,0.01692631087981074
S2_1P,mean,16,0.9425000000000001,0.8634999999999999,0.015811388300841885
S2_1P,mean,17,0.9495000000000001,0.8815,0.022327113561766126
S2_1P,mean,18,0.9525,0.885,0.026504716561397124
S2_1P,mean,19,0.9540000000000001,0.8875,0.023748684174075847
S2_1P,mean,20,0.9654999999999999,0.891,0.0211778185845474
S2_1P,mean,21,0.9625,0.8945000000000001,0.025592967784139452
S2_1P,mean,22,0.959,0.8935000000000001,0.024879710609249445
S2_1P,mean,23,0.958,0.8935000000000001,0.026143832924802757
S2_1P,mean,24,0.9605,0.897,0.024052026941611356
S2_1P,mean,25,0.9705,0.9030000000000001,0.028169132042006557
S2_1P,mean,26,0.9685,0.9030000000000001,0.027046256672597066
