dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,final_token,0,0.7614999999999998,0.751,0.030765240125830335
S2_1P,final_token,1,0.8465000000000001,0.8145,0.06197983543056567
S2_1P,final_token,2,0.8495000000000001,0.8085000000000001,0.040724685388594535
S2_1P,final_token,3,0.8530000000000001,0.8219999999999998,0.03128098463923413
S2_1P,final_token,4,0.865,0.8355,0.02043281674170254
S2_1P,final_token,5,0.8550000000000001,0.8474999999999999,0.025641762809916153
S2_1P,final_token,6,0.8574999999999999,0.8615,0.034749100707788146
S2_1P,final_token,7,0.866,0.8705,0.03430014577228498
S2_1P,final_token,8,0.9004999999999999,0.882,0.03706076092041283
S2_1P,final_token,9,0.8995,0.8805,0.044564559910314376
S2_1P,final_token,10,0.875,0.8799999999999999,0.04901530373260987
S2_1P,final_token,11,0.8815,0.8855000000000001,0.059824744044584106
S2_1P,final_token,12,0.8734999999999999,0.8685,0.055556277773083425
S2_1P,final_token,13,0.8865000000000001,0.8620000000000001,0.04786961457960572
S2_1P,final_token,14,0.8885,0.858,0.041611296543126355
S2_1P,final_token,15,0.8875,0.8505,0.027018512172212614
S2_1P,final_token,16,0.9024999999999999,0.8554999999999999,0.039654760117796686
S2_1P,final_token,17,0.9040000000000001,0.85,0.03537654590261744
S2_1P,final_token,18,0.9059999999999999,0.8545,0.026057628441590767
S2_1P,final_token,19,0.9205,0.858,0.02363260459619292
S2_1P,final_token,20,0.9315,0.861,0.02672077843177476
S2_1P,final_token,21,0.9315000000000001,0.858,0.024166091947189137
S2_1P,final_token,22,0.9215,0.8559999999999999,0.025079872407968905
S2_1P,final_token,23,0.9185000000000001,0.851,0.02822233158334018
S2_1P,final_token,24,0.9164999999999999,0.8394999999999999,0.031048349392520092
S2_1P,final_token,25,0.9265000000000001,0.8445,0.034842502780368684
S2_1P,final_token,26,0.922,0.8415000000000001,0.03799342048302576
S2_1P,final_token,27,0.9264999999999999,0.8385,0.037101212918178306
S2_1P,final_token,28,0.925,0.8375,0.034532593299664044
S2_1P,final_token,29,0.9265000000000001,0.8365,0.03995622604801408
S2_1P,final_token,30,0.9299999999999999,0.852,0.0457984715902179
S2_1P,final_token,31,0.9364999999999999,0.8545,0.04627634384866634
S2_1P,final_token,32,0.937,0.8515,0.04651343891823094
S2_1P,final_token,33,0.9389999999999998,0.8514999999999999,0.05098038838612354
S2_1P,final_token,34,0.9359999999999999,0.85,0.043634848458542805
S2_1P,final_token,35,0.9434999999999999,0.8474999999999999,0.03842525211368167
S2_1P,final_token,36,0.945,0.843,0.04123105625617661
S2_1P,final_token,37,0.938,0.8400000000000001,0.04567274898667694
S2_1P,final_token,38,0.9145,0.8175000000000001,0.051802509591717616
S2_1P,final_token,39,0.9125,0.8125,0.052368883891104626
S2_3P,final_token,0,0.7630000000000001,0.7365,0.010535653752852758
S2_3P,final_token,1,0.8049999999999999,0.8375,0.06633249580710801
S2_3P,final_token,2,0.8380000000000001,0.8205000000000002,0.038839412971876916
S2_3P,final_token,3,0.8675,0.8324999999999999,0.03588175023601831
S2_3P,final_token,4,0.8709999999999999,0.8414999999999999,0.03382306905057555
S2_3P,final_token,5,0.8774999999999998,0.8484999999999999,0.03201562118716424
S2_3P,final_token,6,0.8949999999999999,0.8554999999999999,0.03033150177620619
S2_3P,final_token,7,0.8945000000000001,0.8640000000000001,0.028169132042006554
S2_3P,final_token,8,0.9004999999999999,0.8695,0.02912902332725903
S2_3P,final_token,9,0.8995,0.8615,0.03454706934024944
S2_3P,final_token,10,0.9019999999999999,0.861,0.04139444407163841
S2_3P,final_token,11,0.9019999999999999,0.8714999999999999,0.04861584103972698
S2_3P,final_token,12,0.892,0.867,0.04651343891823095
S2_3P,final_token,13,0.8870000000000001,0.8525,0.0409084343381655
S2_3P,final_token,14,0.8845000000000001,0.8345,0.04202380277890135
S2_3P,final_token,15,0.8764999999999998,0.8265,0.048130032204435506
S2_3P,final_token,16,0.877,0.818,0.053558379363083795
S2_3P,final_token,17,0.8719999999999999,0.8159999999999998,0.043971581731841285
S2_3P,final_token,18,0.8965,0.8165000000000001,0.0398308925333089
S2_3P,final_token,19,0.9190000000000002,0.8154999999999999,0.04170131892398613
S2_3P,final_token,20,0.924,0.8105,0.048026034606242496
S2_3P,final_token,21,0.9065000000000001,0.7985,0.04343385776096799
S2_3P,final_token,22,0.907,0.781,0.04281938813201325
S2_3P,final_token,23,0.9040000000000001,0.7735000000000001,0.04279602785306131
S2_3P,final_token,24,0.9065,0.7785,0.049436828377233046
S2_3P,final_token,25,0.8975,0.784,0.067841727572343
S2_3P,final_token,26,0.8945000000000001,0.7805,0.06910861017268397
S2_3P,final_token,27,0.8865000000000001,0.785,0.06923871749245503
S2_3P,final_token,28,0.883,0.7775000000000001,0.07147377141301553
S2_3P,final_token,29,0.8625,0.779,0.05659063526768364
S2_3P,final_token,30,0.8870000000000001,0.7945,0.06498846051415588
S2_3P,final_token,31,0.8640000000000001,0.7945000000000001,0.05425863986500215
S2_3P,final_token,32,0.8620000000000001,0.789,0.052282884388679285
S2_3P,final_token,33,0.8594999999999999,0.7939999999999999,0.051826634079399796
S2_3P,final_token,34,0.861,0.7905,0.05192783453986892
S2_3P,final_token,35,0.8605,0.7905,0.054644304369256984
S2_3P,final_token,36,0.8629999999999999,0.789,0.055009090157900245
S2_3P,final_token,37,0.861,0.7895000000000001,0.05372615750265414
S2_3P,final_token,38,0.8915,0.7164999999999999,0.046276343848666364
S2_3P,final_token,39,0.892,0.7055,0.042643874120440795
S2_1P,mean,0,0.8714999999999999,0.8125,0.03699999999999994
S2_1P,mean,1,0.8154999999999999,0.7195,0.06251799740874625
S2_1P,mean,2,0.817,0.7,0.11286496356265746
S2_1P,mean,3,0.8499999999999999,0.713,0.054152562266249225
S2_1P,mean,4,0.8745,0.7499999999999999,0.036857834987964196
S2_1P,mean,5,0.8800000000000001,0.767,0.03546124645299428
S2_1P,mean,6,0.8789999999999999,0.794,0.029521178838251023
S2_1P,mean,7,0.8955,0.799,0.024052026941611383
S2_1P,mean,8,0.9025000000000001,0.7895,0.024899799195977505
S2_1P,mean,9,0.913,0.8105,0.02887040006650409
S2_1P,mean,10,0.9109999999999999,0.8205,0.026391286440793266
S2_1P,mean,11,0.9190000000000002,0.8355,0.0243207730140306
S2_1P,mean,12,0.9199999999999999,0.8295,0.02770379035439014
S2_1P,mean,13,0.9204999999999999,0.8430000000000002,0.029300170647967225
S2_1P,mean,14,0.9205,0.849,0.02843413441622587
S2_1P,mean,15,0.9249999999999998,0.8535,0.02774887385102323
S2_1P,mean,16,0.9165000000000001,0.8535,0.02709243436828817
S2_1P,mean,17,0.9185000000000001,0.8535,0.02522895162308574
S2_1P,mean,18,0.9109999999999999,0.8564999999999999,0.02686075203712657
S2_1P,mean,19,0.9285000000000002,0.8585,0.026485845276298027
S2_1P,mean,20,0.952,0.8605,0.027449954462621613
S2_1P,mean,21,0.958,0.8644999999999999,0.02689795531262553
S2_1P,mean,22,0.96,0.8654999999999999,0.025049950099750685
S2_1P,mean,23,0.9620000000000001,0.8690000000000001,0.029385370509830193
S2_1P,mean,24,0.968,0.875,0.02415574465836234
S2_1P,mean,25,0.9705,0.876,0.027404379212089457
S2_1P,mean,26,0.9705,0.8785000000000001,0.02599999999999997
S2_1P,mean,27,0.9724999999999999,0.8734999999999999,0.030124740662784092
S2_1P,mean,28,0.9710000000000001,0.8695,0.029941609843159713
S2_1P,mean,29,0.9715,0.8615,0.028748913022930107
S2_1P,mean,30,0.9744999999999999,0.86,0.025758493744782517
S2_1P,mean,31,0.9785,0.8640000000000001,0.023484037131634782
S2_1P,mean,32,0.977,0.8549999999999999,0.02320560277174458
S2_1P,mean,33,0.976,0.8525,0.024114311103575006
S2_1P,mean,34,0.977,0.8549999999999999,0.02556364606232844
S2_1P,mean,35,0.9765,0.8525,0.02482941803587024
S2_1P,mean,36,0.9744999999999999,0.8470000000000001,0.024361855430159653
S2_1P,mean,37,0.974,0.836,0.026057628441590763
S2_1P,mean,38,0.9644999999999999,0.8195,0.024566236993076453
S2_1P,mean,39,0.9655000000000001,0.7899999999999999,0.02187464285422733
S2_3P,mean,0,0.8584999999999999,0.8175000000000001,0.03303785707336358
S2_3P,mean,1,0.8160000000000001,0.6939999999999998,0.09247432075987369
S2_3P,mean,2,0.8029999999999999,0.655,0.13392535234226563
S2_3P,mean,3,0.851,0.7155,0.07994685734911665
S2_3P,mean,4,0.876,0.7445,0.05384236250388716
S2_3P,mean,5,0.8879999999999999,0.7609999999999999,0.04305229378325855
S2_3P,mean,6,0.8930000000000001,0.774,0.03005827673037825
S2_3P,mean,7,0.899,0.7789999999999999,0.03887801435258751
S2_3P,mean,8,0.9004999999999999,0.7715000000000001,0.03838619543533847
S2_3P,mean,9,0.9109999999999999,0.7915,0.035517601270356115
S2_3P,mean,10,0.916,0.8009999999999999,0.03386000590667403
S2_3P,mean,11,0.9205,0.8079999999999998,0.030878795313289024
S2_3P,mean,12,0.9269999999999999,0.8084999999999999,0.02699073915253153
S2_3P,mean,13,0.9239999999999998,0.8145,0.032426840734181915
S2_3P,mean,14,0.9244999999999999,0.82,0.034256386265921285
S2_3P,mean,15,0.9285,0.8200000000000001,0.028792360097775936
S2_3P,mean,16,0.9229999999999998,0.8230000000000001,0.03087879531328902
S2_3P,mean,17,0.9295,0.825,0.03030676492138341
S2_3P,mean,18,0.9334999999999999,0.8230000000000001,0.030066592756745798
S2_3P,mean,19,0.9215,0.8265,0.03367491648096549
S2_3P,mean,20,0.9339999999999999,0.8254999999999999,0.03315116890850152
S2_3P,mean,21,0.9505000000000001,0.82,0.02105943968865272
S2_3P,mean,22,0.9535,0.8299999999999998,0.010198039027185543
S2_3P,mean,23,0.9465,0.836,0.01383835250309807
S2_3P,mean,24,0.9489999999999998,0.8554999999999999,0.018275666882497064
S2_3P,mean,25,0.9534999999999998,0.8545,0.01874833325925264
S2_3P,mean,26,0.9535,0.858,0.020037464909513896
