dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,final_token,0,0.8295000000000001,0.8504999999999999,0.029342801502242402
S2_1P,final_token,1,0.8175000000000001,0.8314999999999999,0.016507574019219134
S2_1P,final_token,2,0.8274999999999999,0.8234999999999999,0.02219234102117218
S2_1P,final_token,3,0.8734999999999999,0.8300000000000001,0.02385372088375313
S2_1P,final_token,4,0.8535,0.8130000000000001,0.026248809496813342
S2_1P,final_token,5,0.8545,0.8240000000000001,0.022660538387249303
S2_1P,final_token,6,0.8545,0.828,0.02938537050983021
S2_1P,final_token,7,0.8620000000000001,0.82,0.02521904042583698
S2_1P,final_token,8,0.8560000000000001,0.8094999999999999,0.029857997253667227
S2_1P,final_token,9,0.8550000000000001,0.7969999999999999,0.02945335295004629
S2_1P,final_token,10,0.851,0.7925000000000001,0.026580067720004014
S2_1P,final_token,11,0.861,0.8109999999999999,0.032272279126209905
S2_1P,final_token,12,0.8719999999999999,0.8205,0.03465544690232696
S2_1P,final_token,13,0.8825,0.8379999999999999,0.03228776858192587
S2_1P,final_token,14,0.8855000000000001,0.85,0.03606937759374289
S2_1P,final_token,15,0.891,0.859,0.03614553914385563
S2_1P,final_token,16,0.8934999999999998,0.8575000000000002,0.03878143885933062
S2_1P,final_token,17,0.8915000000000001,0.865,0.039956226048014104
S2_1P,final_token,18,0.893,0.8715000000000002,0.040230585379782906
S2_1P,final_token,19,0.881,0.8640000000000001,0.04900510177522336
S2_1P,final_token,20,0.8800000000000001,0.8625,0.05366563145999497
S2_1P,final_token,21,0.8860000000000001,0.8619999999999999,0.050955863254389125
S2_1P,final_token,22,0.8755,0.8514999999999999,0.05725818718751059
S2_1P,final_token,23,0.8705,0.8445,0.060526853544521836
S2_1P,final_token,24,0.869,0.8505,0.054945427471264616
S2_1P,final_token,25,0.8640000000000001,0.8470000000000001,0.05613822227324268
S2_1P,final_token,26,0.873,0.844,0.053065996645686404
S2_1P,final_token,27,0.875,0.8455,0.04987484335815001
S2_1P,final_token,28,0.875,0.8480000000000001,0.04628714724413248
S2_1P,final_token,29,0.8755000000000001,0.841,0.04311032358959976
S2_1P,final_token,30,0.8815000000000002,0.8719999999999999,0.04377784827969509
S2_1P,final_token,31,0.8795,0.8709999999999999,0.04368638231760555
S2_1P,final_token,32,0.8799999999999999,0.8744999999999999,0.048114446894877656
S2_1P,final_token,33,0.8775000000000001,0.8685,0.050769085081376016
S2_1P,final_token,34,0.8870000000000001,0.875,0.03985599076675925
S2_1P,final_token,35,0.8859999999999999,0.8640000000000001,0.03878143885933066
S2_1P,final_token,36,0.8869999999999999,0.8634999999999999,0.038353617821530225
S2_1P,final_token,37,0.8800000000000001,0.842,0.0468508271004899
S2_1P,final_token,38,0.8865000000000001,0.8484999999999999,0.04471017781221633
S2_1P,final_token,39,0.8905,0.8480000000000001,0.04084727653100018
S2_1P,final_token,40,0.9075,0.8469999999999999,0.04767074574621212
S2_1P,final_token,41,0.9099999999999999,0.8465,0.05022449601539068
S2_1P,final_token,42,0.9120000000000001,0.8480000000000001,0.04912738543826653
S2_1P,final_token,43,0.9105000000000001,0.8474999999999999,0.04683481610938596
S2_1P,final_token,44,0.916,0.8425,0.05105389309347531
S2_1P,final_token,45,0.9120000000000001,0.842,0.04820269701998014
S2_1P,final_token,46,0.9075,0.8524999999999998,0.03908324449172562
S2_1P,final_token,47,0.908,0.8550000000000001,0.04357177985806867
S2_1P,final_token,48,0.9155,0.859,0.04537069538810263
S2_1P,final_token,49,0.915,0.853,0.037181984885156394
S2_1P,final_token,50,0.9164999999999999,0.857,0.03776903493604251
S2_1P,final_token,51,0.9094999999999999,0.8564999999999999,0.034146742157927734
S2_1P,final_token,52,0.9045,0.8535,0.036311155310730626
S2_1P,final_token,53,0.905,0.8504999999999999,0.03895510236156497
S2_1P,final_token,54,0.907,0.8620000000000001,0.03838619543533846
S2_1P,final_token,55,0.9109999999999999,0.8394999999999999,0.04173128322973067
S2_1P,final_token,56,0.9094999999999999,0.8344999999999999,0.03561600763701625
S2_1P,final_token,57,0.9040000000000001,0.8344999999999999,0.04394883388669141
