dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,final_token,0,0.8310000000000001,0.849,0.027230497608380217
S2_1P,final_token,1,0.8184999999999999,0.829,0.017578395831246953
S2_1P,final_token,2,0.8300000000000001,0.829,0.011291589790636209
S2_1P,final_token,3,0.873,0.836,0.024259018941416435
S2_1P,final_token,4,0.8550000000000001,0.818,0.027018512172212607
S2_1P,final_token,5,0.8554999999999999,0.8234999999999999,0.024155744658362326
S2_1P,final_token,6,0.8484999999999999,0.827,0.03035621847332108
S2_1P,final_token,7,0.8530000000000001,0.825,0.02526855753698655
S2_1P,final_token,8,0.8574999999999999,0.8215000000000001,0.01830300521772317
S2_1P,final_token,9,0.861,0.818,0.02395829710142191
S2_1P,final_token,10,0.86,0.8210000000000001,0.027294688127912355
S2_1P,final_token,11,0.86,0.8225,0.025396850198400562
S2_1P,final_token,12,0.8734999999999999,0.833,0.027322152184628506
S2_1P,final_token,13,0.884,0.8480000000000001,0.029941609843159765
S2_1P,final_token,14,0.8879999999999999,0.858,0.033704599092705415
S2_1P,final_token,15,0.8949999999999999,0.867,0.033837848631377315
S2_1P,final_token,16,0.9010000000000001,0.8779999999999999,0.029816103031751105
S2_1P,final_token,17,0.9055,0.875,0.03385262175962153
S2_1P,final_token,18,0.9040000000000001,0.8695,0.03790118731649445
S2_1P,final_token,19,0.9029999999999999,0.861,0.03610401639707139
S2_1P,final_token,20,0.9005000000000001,0.8620000000000001,0.037094473981982796
S2_1P,final_token,21,0.9029999999999999,0.8649999999999999,0.03672192805395712
S2_1P,final_token,22,0.8915000000000001,0.859,0.05068530358989671
S2_1P,final_token,23,0.893,0.858,0.05082814181140206
S2_1P,final_token,24,0.8805,0.8554999999999999,0.04828043081829323
S2_1P,final_token,25,0.8765000000000001,0.8605,0.04792181131802095
S2_1P,final_token,26,0.8925000000000001,0.8614999999999998,0.041922547632509195
S2_1P,final_token,27,0.8885000000000002,0.8700000000000001,0.03948417404479926
S2_1P,final_token,28,0.885,0.8734999999999999,0.04052776825831892
S2_1P,final_token,29,0.8880000000000001,0.883,0.03603470549345448
S2_1P,final_token,30,0.8939999999999999,0.892,0.036076308015094906
S2_1P,final_token,31,0.8915000000000001,0.8975000000000002,0.03586781286892192
S2_1P,final_token,32,0.8945000000000001,0.9025000000000001,0.033741665637605986
S2_1P,final_token,33,0.8975,0.9014999999999999,0.0405277682583189
S2_1P,final_token,34,0.899,0.9025000000000001,0.04036087214122112
S2_1P,final_token,35,0.8935000000000001,0.907,0.035867812868921906
S2_1P,final_token,36,0.898,0.9055,0.03403674485023504
S2_1P,final_token,37,0.9019999999999999,0.9065,0.0351923287095355
S2_1P,final_token,38,0.9075,0.909,0.03251922508301821
S2_1P,final_token,39,0.914,0.9095000000000001,0.0317647603485372
S2_1P,final_token,40,0.9190000000000002,0.9084999999999999,0.03590264614203249
S2_1P,final_token,41,0.914,0.9125,0.03932556420447135
S2_1P,final_token,42,0.915,0.9120000000000001,0.03946517452134221
S2_1P,final_token,43,0.9155000000000001,0.917,0.042349734355719384
S2_1P,final_token,44,0.9125,0.913,0.04435651023243374
S2_1P,final_token,45,0.9099999999999999,0.9094999999999999,0.04159326868617088
S2_1P,final_token,46,0.924,0.9199999999999999,0.03068387198513252
S2_1P,final_token,47,0.9325000000000001,0.916,0.03413209633175201
S2_1P,final_token,48,0.932,0.9175000000000001,0.03144041984452501
S2_1P,final_token,49,0.9355,0.9155000000000001,0.028390139133156828
S2_1P,final_token,50,0.9339999999999999,0.9199999999999999,0.03068387198513252
S2_1P,final_token,51,0.933,0.9269999999999999,0.03191394679446587
S2_1P,final_token,52,0.9404999999999999,0.9225,0.02614383292480271
S2_1P,final_token,53,0.9305,0.9244999999999999,0.028653097563788813
S2_1P,final_token,54,0.9360000000000002,0.9275,0.023801260470823822
S2_1P,final_token,55,0.9295,0.9269999999999999,0.02930017064796724
S2_1P,final_token,56,0.9279999999999999,0.9275,0.026758176320519304
S2_1P,final_token,57,0.9275,0.925,0.032210246816812844
S2_1P,final_token,58,0.9209999999999999,0.9244999999999999,0.036455452267116384
S2_1P,final_token,59,0.93,0.9289999999999999,0.038890872965260115
S2_1P,final_token,60,0.9365,0.9274999999999999,0.038294908277733256
S2_1P,final_token,61,0.9369999999999999,0.923,0.040292679235811556
S2_1P,final_token,62,0.9375,0.9205,0.04650268809434565
S2_1P,final_token,63,0.9334999999999999,0.9189999999999999,0.04146082488325574
S2_1P,final_token,64,0.95,0.9225,0.039147158262126745
S2_1P,final_token,65,0.9559999999999998,0.9225,0.031248999983999486
S2_1P,final_token,66,0.9535,0.9214999999999998,0.03261901286060017
S2_1P,final_token,67,0.958,0.9200000000000002,0.031835514759463154
S2_1P,final_token,68,0.9559999999999998,0.9189999999999999,0.034878360053190526
S2_1P,final_token,69,0.9584999999999999,0.9155,0.031606961258558226
S2_1P,final_token,70,0.9710000000000001,0.9215,0.02804460732476031
S2_1P,final_token,71,0.9724999999999999,0.9195,0.02382225849914316
S2_1P,final_token,72,0.9750000000000002,0.9174999999999999,0.023505318547086294
S2_1P,final_token,73,0.9800000000000001,0.925,0.020736441353327695
S2_1P,final_token,74,0.9800000000000001,0.9269999999999999,0.019748417658131505
S2_1P,final_token,75,0.9860000000000001,0.929,0.014628738838327805
