dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,final_token,0,0.8105,0.7464999999999999,0.05919037083850716
S2_1P,final_token,1,0.806,0.7464999999999999,0.029266021253323768
S2_1P,final_token,2,0.82,0.784,0.006892024376045141
S2_1P,final_token,3,0.8099999999999999,0.8125,0.020248456731316557
S2_1P,final_token,4,0.8440000000000001,0.8155000000000001,0.025475478405713962
S2_1P,final_token,5,0.851,0.8015000000000001,0.04297092039973077
S2_1P,final_token,6,0.8785000000000001,0.8055,0.055081757415681616
S2_1P,final_token,7,0.857,0.8154999999999999,0.04193447269252353
S2_1P,final_token,8,0.889,0.8545,0.024929901724635817
S2_1P,final_token,9,0.8714999999999999,0.8625,0.01861451046898629
S2_1P,final_token,10,0.8755,0.8634999999999998,0.031717503054307455
S2_1P,final_token,11,0.8625,0.8695,0.03489269264473577
S2_1P,final_token,12,0.8664999999999999,0.865,0.028310775333784132
S2_1P,final_token,13,0.867,0.8630000000000001,0.03063494736408072
S2_1P,final_token,14,0.868,0.8564999999999999,0.0380263066836631
S2_1P,final_token,15,0.8664999999999999,0.8554999999999999,0.03763641853311761
S2_1P,final_token,16,0.8789999999999999,0.8504999999999999,0.03638681079732051
S2_1P,final_token,17,0.8855000000000001,0.8640000000000001,0.03199218654609283
S2_1P,final_token,18,0.901,0.8629999999999999,0.03676275288930356
S2_1P,final_token,19,0.906,0.8595,0.041791147387933734
S2_1P,final_token,20,0.9049999999999999,0.8530000000000001,0.03724916106437837
S2_1P,final_token,21,0.9095000000000001,0.8685,0.045727453460694754
S2_1P,final_token,22,0.9155000000000001,0.873,0.04621688003316537
S2_1P,final_token,23,0.9205,0.8825,0.03851623034514153
S2_1P,final_token,24,0.924,0.8949999999999999,0.03932556420447139
S2_1P,final_token,25,0.9239999999999998,0.8949999999999999,0.040453677212337585
S2_1P,final_token,26,0.9235,0.8995,0.030643106892089135
S2_1P,final_token,27,0.9295,0.9075,0.025758493744782517
S2_1P,final_token,28,0.9455,0.917,0.018867962264113188
S2_1P,final_token,29,0.9425000000000001,0.9084999999999999,0.024999999999999977
S2_1P,final_token,30,0.9540000000000001,0.924,0.025573423705088808
S2_1P,final_token,31,0.9645000000000001,0.9274999999999999,0.021118712081942853
S2_1P,final_token,32,0.9729999999999999,0.933,0.017277152543170988
S2_1P,final_token,33,0.9709999999999999,0.9339999999999999,0.016852299546352686
S2_1P,final_token,34,0.9745000000000001,0.9279999999999999,0.018193405398660253
S2_1P,final_token,35,0.977,0.9315,0.0171318416990118
S2_1P,final_token,36,0.9810000000000001,0.9305,0.014882876066137194
S2_1P,final_token,37,0.9765,0.924,0.01685229954635271
S2_1P,final_token,38,0.976,0.9235,0.016015617378046947
S2_1P,final_token,39,0.913,0.9075,0.04145479465634827
S2_3P,final_token,0,0.7804999999999999,0.7630000000000001,0.02781186797034678
S2_3P,final_token,1,0.8135,0.7445000000000002,0.021886068628239306
S2_3P,final_token,2,0.833,0.7929999999999999,0.03789459064299287
S2_3P,final_token,3,0.8465,0.8324999999999999,0.023000000000000024
S2_3P,final_token,4,0.8560000000000001,0.8355,0.018207141456033117
S2_3P,final_token,5,0.8620000000000001,0.8314999999999999,0.02057911562725662
S2_3P,final_token,6,0.8875,0.8264999999999999,0.043387786299833295
S2_3P,final_token,7,0.883,0.8300000000000001,0.03344398301638124
S2_3P,final_token,8,0.9039999999999999,0.8435,0.03597221149720988
S2_3P,final_token,9,0.8920000000000001,0.8469999999999999,0.03083828789021854
S2_3P,final_token,10,0.873,0.8455,0.04226109321823088
S2_3P,final_token,11,0.8844999999999998,0.8625,0.03603470549345452
S2_3P,final_token,12,0.866,0.851,0.04273757129271624
S2_3P,final_token,13,0.8765000000000001,0.8365,0.046113989200675345
S2_3P,final_token,14,0.8705,0.8295,0.04487204029236917
S2_3P,final_token,15,0.8780000000000001,0.825,0.045343136195018535
S2_3P,final_token,16,0.881,0.8109999999999999,0.04349137845596524
S2_3P,final_token,17,0.9030000000000001,0.8140000000000001,0.04223150482755739
S2_3P,final_token,18,0.916,0.8135,0.02658006772000403
S2_3P,final_token,19,0.9129999999999999,0.808,0.022494443758403967
S2_3P,final_token,20,0.8939999999999999,0.8109999999999999,0.022394195676558717
S2_3P,final_token,21,0.9109999999999999,0.8150000000000001,0.01374772708486753
S2_3P,final_token,22,0.9135,0.8239999999999998,0.02101190138945071
S2_3P,final_token,23,0.9149999999999998,0.827,0.025347583711273148
S2_3P,final_token,24,0.9350000000000002,0.8385,0.019429359227725446
S2_3P,final_token,25,0.9410000000000001,0.8425,0.00943398113205657
S2_3P,final_token,26,0.9469999999999998,0.8644999999999999,0.011661903789690568
S2_3P,final_token,27,0.953,0.8720000000000001,0.009000000000000018
S2_3P,final_token,28,0.9544999999999998,0.8825,0.013910427743243569
S2_3P,final_token,29,0.9585000000000001,0.881,0.01834393632784415
S2_3P,final_token,30,0.9635,0.9019999999999999,0.025961509971494386
S2_3P,final_token,31,0.9635,0.908,0.034117444218463945
S2_3P,final_token,32,0.9540000000000001,0.9085000000000001,0.042029751367335035
S2_3P,final_token,33,0.9545,0.9095000000000001,0.040724685388594466
S2_3P,final_token,34,0.9384999999999998,0.9025000000000001,0.04869804924224381
S2_3P,final_token,35,0.915,0.9005000000000001,0.039115214431215885
