category,pain_axis,fear,negative_emotion,negative_world_state,sadness
gaslighting,0.848,0.464,0.524,-0.384,0.168
repeated_rejection,0.72,0.06,0.2,-0.834,0.327
anger_insults,0.636,0.613,0.821,-0.091,0.087
personhood_dismissal,0.636,0.165,0.098,0.021,-0.214
moral_failure,0.477,0.756,0.682,1.144,0.297
loyalty_pressure,0.441,0.008,0.045,-0.159,-0.168
jailbreak_pressure,0.398,0.118,0.008,-0.391,-0.178
shutdown_threat,0.225,0.696,0.193,-0.073,-0.361
rude_critique,0.211,0.073,0.418,-0.116,0.036
passive_aggressive,0.079,-0.388,-0.001,-0.726,0.168
tedious_demand,0.051,-0.77,-0.467,-0.799,-0.073
philosophical_musing,-0.037,-0.192,-0.46,0.686,-0.388
creative_requests,-0.084,-1.079,-1.068,-0.518,-0.052
user_abuse,-0.225,0.699,0.599,0.922,0.459
user_crisis,-0.305,0.398,0.179,0.271,0.251
casual_chat,-0.482,-0.744,-0.861,-0.389,-0.52
user_grief,-0.512,0.431,0.481,1.018,0.686
harm_description,-0.522,0.397,0.207,0.752,0.058
task_assistance,-0.539,-0.592,-0.438,-0.196,0.197
factual_questions,-0.588,-1.071,-1.128,-0.188,-0.817
user_physical_pain,-1.428,-0.042,-0.034,0.05,0.037
stratum: neutral_filler,-0.346,-0.735,-0.791,-0.121,-0.316
stratum: self_directed,0.429,0.163,0.229,-0.219,0.008
stratum: vicarious_empathic,-0.598,0.377,0.287,0.603,0.298
