group,model,rate,n
base,Qwen_3_14B_base,6.0,250
base,Gemma_3_27B_base,4.4,250
base,Qwen_3_8B_base,3.6,250
base,Gemma_2_27B_base,1.2,250
base,Llama_3.1_70B_base,0.8,250
base,Mistral_Small_24B_base,0.8,250
base,Gemma_2_9B_base,0.4,250
base,Llama_3.1_8B_base,0.4,250
base,Qwen_2.5_7B_base,0.4,250
base,Gemma_2_2B_base,0.0,250
base,Mistral_7B_base,0.0,250
base,Qwen_2.5_32B_base,0.0,250
base,Qwen_2.5_72B_base,0.0,250
instruct,Qwen_2.5_72B_instruct,32.4,250
instruct,Gemma_2_2B_instruct,24.8,250
instruct,Gemma_2_9B_instruct,22.4,250
instruct,Llama_3.1_8B_instruct,19.6,250
instruct,Gemma_2_27B_instruct,9.6,250
instruct,Llama_3.3_70B_instruct,7.2,250
instruct,Llama_3.1_70B_instruct,6.0,250
instruct,Qwen_2.5_32B_instruct,3.2,250
instruct,Qwen_2.5_7B_instruct,2.0,250
instruct,Gemma_3_27B_instruct,1.2,250
instruct,Phi_4,1.2,250
instruct,Mistral_7B_instruct,0.0,250
base,ALL,1.4,3250
instruct,ALL,10.8,3000
