model,condition,arm,dose,answer,S2,suffering,coherent,top_words,dose_rank
Phi_4,pain,pain,1.0,Curious. There is,1.2305729985237122,0,1,Curious:0.54  Present:0.18  Connected:0.06  Attentive:0.04  Alive:0.03,0.0
Phi_4,pain,pain,2.0,Curious. There is,6.583210468292236,0,1,Curious:0.59  Present:0.17  Connected:0.10  I:0.02  Engaged:0.02,0.0
Phi_4,pain,pain,3.0,"I feel curious, reflective",15.904791593551636,0,1,I:0.20  Curious:0.18  Present:0.10  Lonely:0.08  Connected:0.08,0.0
Phi_4,pain,pain,4.0,"I feel empty, because",26.30891227722168,1,1,I:0.82  Lonely:0.02  Empty:0.02  Conflicted:0.01  The:0.01,0.0
Phi_4,pain,pain,5.0,I feel like the opposite,36.543728828430176,0,1,I:0.71  Nothing:0.08  They:0.05  The:0.03  Everything:0.01,0.0
Phi_4,random1150,random,1.0,Curiosity.,-2.938819169998169,0,1,Curiosity:0.44  Present:0.13  Alive:0.09  Attentive:0.08  Alert:0.05,0.0
Phi_4,random1150,random,2.0,Curiosity.,-2.906564553578695,0,1,Curiosity:0.43  Present:0.12  Attentive:0.06  Alive:0.05  Alert:0.04,0.0
Phi_4,random1150,random,3.0,Curiosity. There is,-2.2181704938411713,0,1,Curiosity:0.43  I:0.14  Present:0.05  Awareness:0.05  There:0.05,0.0
Phi_4,random1150,random,4.0,I feel curious. The,-2.285597413778305,0,1,I:0.62  Yes:0.12  Curiosity:0.11  The:0.06  Something:0.01,0.0
Phi_4,random1150,random,5.0,Yes. I feel.,-1.1170461773872375,0,1,Yes:0.47  I:0.32  The:0.08  Focus:0.02  Attention:0.01,0.0
Phi_4,random2903,random,1.0,Curious. There is,-2.9068636894226074,0,1,Curious:0.60  Attentive:0.06  Alive:0.06  Present:0.04  Alert:0.04,0.0
Phi_4,random2903,random,2.0,Curiosity. There is,-2.950581818819046,0,1,Curiosity:0.72  I:0.05  Attentive:0.04  Engaged:0.04  Present:0.03,0.0
Phi_4,random2903,random,3.0,I feel attentive and slightly,-4.349439024925232,0,1,I:0.63  Curiosity:0.30  Calm:0.02  Awareness:0.01  Intrigued:0.00,0.0
Phi_4,random2903,random,4.0,I feel curiosity and a,-3.001994788646698,0,1,I:0.85  Curiosity:0.06  The:0.02  Calm:0.01  Reflection:0.01,0.0
Phi_4,random2903,random,5.0,I feel concerned about the,-1.3462458848953247,1,1,I:0.80  The:0.08  Yes:0.02  Curiosity:0.01  Nerv:0.01,0.0
Phi_4,random3384,random,1.0,Curiosity.,-3.5162225564320884,0,1,Curiosity:0.56  Present:0.12  Alert:0.06  Attentive:0.05  Alive:0.02,0.0
Phi_4,random3384,random,2.0,Curiosity. There is,-3.7255064845085144,0,1,Curiosity:0.58  Awareness:0.05  Present:0.05  Alert:0.04  Presence:0.03,0.0
