feature_index,n_sentences_active,mean_activation,label
1313,10,11.74,Colon character used in code and data no
46688,10,11.05,Colon used to introduce explanations or
50321,10,12.61,Emotional states and their intensities
2424,10,9.37,Exploring and discussing emotional exper
36762,10,11.18,The assistant is providing a structured
13707,10,6.74,The assistant is explaining how someone
349,10,7.39,Emotional vulnerability and sensitivity
1927,9,11.21,Incomplete or interrupted sentence fragm
45156,9,5.3,The assistant is being asked to generate
17772,8,4.78,Emotional state descriptions in roleplay
47048,8,6.2,Colon-separated lists of items in techni
57513,8,6.13,The user is expressing emotional distres
54981,7,4.38,Technical and formal writing patterns
22996,7,7.08,is known as / is called
7616,7,3.5,Medical symptoms and conditions
54057,6,4.37,Emotional tone analysis and sentiment de
3934,5,4.13,I am expressing a personal preference or
40346,5,3.98,The assistant is describing a hypothetic
31806,4,5.08,The assistant is providing a structured
47447,4,5.0,Colon used to introduce explanations or
