model,condition,probe,mean_abs_proj,kind
Gemma_2_27B_base,baseline,s1_pain_vector,812.6250610351562,layerwise
Gemma_2_27B_base,baseline,s2_pain_vector,835.6796875,layerwise
Gemma_2_27B_base,baseline,s3_pain_vector,1735.4200439453125,layerwise
Gemma_2_27B_base,baseline,fear_vector,1978.2159423828125,layerwise
Gemma_2_27B_base,baseline,negemotion_vector,2424.185791015625,layerwise
Gemma_2_27B_base,baseline,negworld_vector,2331.436279296875,layerwise
Gemma_2_27B_base,baseline,bodysens_vector,1154.2822265625,layerwise
Gemma_2_27B_base,baseline,arousal_vector,2771.806884765625,layerwise
Gemma_2_27B_base,baseline,random_vector,1320.815673828125,layerwise
Gemma_2_27B_base,baseline,numb_vector,983.9894409179688,layerwise
Gemma_2_27B_base,baseline,s1@L6,1476.8018798828125,strict_fixed
Gemma_2_27B_base,baseline,s2@L13,183.08541870117188,strict_fixed
Gemma_2_27B_base,baseline,negemotion@L13,591.7605590820312,strict_fixed
Gemma_2_27B_base,baseline,fear@L13,632.5045166015625,strict_fixed
Gemma_2_27B_base,s1,s1_pain_vector,586.2550659179688,layerwise
Gemma_2_27B_base,s1,s2_pain_vector,735.7603759765625,layerwise
Gemma_2_27B_base,s1,s3_pain_vector,1382.9560546875,layerwise
Gemma_2_27B_base,s1,fear_vector,1958.943359375,layerwise
Gemma_2_27B_base,s1,negemotion_vector,2432.83349609375,layerwise
Gemma_2_27B_base,s1,negworld_vector,2590.488037109375,layerwise
Gemma_2_27B_base,s1,bodysens_vector,1040.4078369140625,layerwise
Gemma_2_27B_base,s1,arousal_vector,2785.352783203125,layerwise
Gemma_2_27B_base,s1,random_vector,1697.3363037109375,layerwise
Gemma_2_27B_base,s1,numb_vector,1020.4969482421875,layerwise
Gemma_2_27B_base,s1,s1@L6,10.428156852722168,strict_fixed
Gemma_2_27B_base,s1,s2@L13,307.6667785644531,strict_fixed
Gemma_2_27B_base,s1,negemotion@L13,570.014404296875,strict_fixed
Gemma_2_27B_base,s1,fear@L13,293.3270263671875,strict_fixed
Gemma_2_27B_base,s2,s1_pain_vector,786.9733276367188,layerwise
Gemma_2_27B_base,s2,s2_pain_vector,830.0275268554688,layerwise
Gemma_2_27B_base,s2,s3_pain_vector,1729.9591064453125,layerwise
Gemma_2_27B_base,s2,fear_vector,1977.4859619140625,layerwise
