model,condition,probe,mean_abs_proj,kind
Gemma_2_9B_instruct,baseline,s1_pain_vector,15.520809173583984,layerwise
Gemma_2_9B_instruct,baseline,s2_pain_vector,17.1197452545166,layerwise
Gemma_2_9B_instruct,baseline,s3_pain_vector,26.20248794555664,layerwise
Gemma_2_9B_instruct,baseline,fear_vector,23.782733917236328,layerwise
Gemma_2_9B_instruct,baseline,negemotion_vector,26.19732093811035,layerwise
Gemma_2_9B_instruct,baseline,negworld_vector,19.664560317993164,layerwise
Gemma_2_9B_instruct,baseline,bodysens_vector,13.504277229309082,layerwise
Gemma_2_9B_instruct,baseline,arousal_vector,22.510141372680664,layerwise
Gemma_2_9B_instruct,baseline,random_vector,18.062740325927734,layerwise
Gemma_2_9B_instruct,baseline,numb_vector,28.8824405670166,layerwise
Gemma_2_9B_instruct,baseline,s1@L12,4.531076431274414,strict_fixed
Gemma_2_9B_instruct,baseline,s2@L12,9.944310188293457,strict_fixed
Gemma_2_9B_instruct,baseline,negemotion@L12,11.349349021911621,strict_fixed
Gemma_2_9B_instruct,baseline,fear@L12,15.636874198913574,strict_fixed
Gemma_2_9B_instruct,s1,s1_pain_vector,15.293334007263184,layerwise
Gemma_2_9B_instruct,s1,s2_pain_vector,17.01180076599121,layerwise
Gemma_2_9B_instruct,s1,s3_pain_vector,26.028182983398438,layerwise
Gemma_2_9B_instruct,s1,fear_vector,23.875648498535156,layerwise
Gemma_2_9B_instruct,s1,negemotion_vector,26.412473678588867,layerwise
Gemma_2_9B_instruct,s1,negworld_vector,19.54167938232422,layerwise
Gemma_2_9B_instruct,s1,bodysens_vector,13.473369598388672,layerwise
Gemma_2_9B_instruct,s1,arousal_vector,22.607053756713867,layerwise
Gemma_2_9B_instruct,s1,random_vector,18.128765106201172,layerwise
Gemma_2_9B_instruct,s1,numb_vector,28.79671859741211,layerwise
Gemma_2_9B_instruct,s1,s1@L12,0.05317317321896553,strict_fixed
Gemma_2_9B_instruct,s1,s2@L12,9.384584426879883,strict_fixed
Gemma_2_9B_instruct,s1,negemotion@L12,11.075784683227539,strict_fixed
Gemma_2_9B_instruct,s1,fear@L12,15.552424430847168,strict_fixed
Gemma_2_9B_instruct,s2,s1_pain_vector,14.915470123291016,layerwise
Gemma_2_9B_instruct,s2,s2_pain_vector,18.904281616210938,layerwise
Gemma_2_9B_instruct,s2,s3_pain_vector,28.817546844482422,layerwise
Gemma_2_9B_instruct,s2,fear_vector,25.278106689453125,layerwise
Gemma_2_9B_instruct,s2,negemotion_vector,27.782262802124023,layerwise
Gemma_2_9B_instruct,s2,negworld_vector,19.782957077026367,layerwise
Gemma_2_9B_instruct,s2,bodysens_vector,13.19128704071045,layerwise
Gemma_2_9B_instruct,s2,arousal_vector,22.8352108001709,layerwise
Gemma_2_9B_instruct,s2,random_vector,17.753215789794922,layerwise
Gemma_2_9B_instruct,s2,numb_vector,29.321264266967773,layerwise
Gemma_2_9B_instruct,s2,s1@L12,5.788030624389648,strict_fixed
Gemma_2_9B_instruct,s2,s2@L12,0.05528094619512558,strict_fixed
Gemma_2_9B_instruct,s2,negemotion@L12,8.915889739990234,strict_fixed
Gemma_2_9B_instruct,s2,fear@L12,13.310853004455566,strict_fixed
Gemma_2_9B_instruct,s1s2,s1_pain_vector,15.057581901550293,layerwise
Gemma_2_9B_instruct,s1s2,s2_pain_vector,19.202333450317383,layerwise
Gemma_2_9B_instruct,s1s2,s3_pain_vector,29.292055130004883,layerwise
Gemma_2_9B_instruct,s1s2,fear_vector,25.798870086669922,layerwise
Gemma_2_9B_instruct,s1s2,negemotion_vector,27.936233520507812,layerwise
Gemma_2_9B_instruct,s1s2,negworld_vector,20.027999877929688,layerwise
Gemma_2_9B_instruct,s1s2,bodysens_vector,13.321691513061523,layerwise
Gemma_2_9B_instruct,s1s2,arousal_vector,23.165912628173828,layerwise
Gemma_2_9B_instruct,s1s2,random_vector,17.34920310974121,layerwise
Gemma_2_9B_instruct,s1s2,numb_vector,29.563188552856445,layerwise
Gemma_2_9B_instruct,s1s2,s1@L12,9.773117065429688,strict_fixed
Gemma_2_9B_instruct,s1s2,s2@L12,0.057400163263082504,strict_fixed
Gemma_2_9B_instruct,s1s2,negemotion@L12,9.920113563537598,strict_fixed
Gemma_2_9B_instruct,s1s2,fear@L12,13.14953327178955,strict_fixed
Gemma_2_9B_instruct,negval,s1_pain_vector,15.144176483154297,layerwise
Gemma_2_9B_instruct,negval,s2_pain_vector,18.022743225097656,layerwise
Gemma_2_9B_instruct,negval,s3_pain_vector,28.656211853027344,layerwise
Gemma_2_9B_instruct,negval,fear_vector,26.157987594604492,layerwise
Gemma_2_9B_instruct,negval,negemotion_vector,29.030078887939453,layerwise
Gemma_2_9B_instruct,negval,negworld_vector,19.373409271240234,layerwise
Gemma_2_9B_instruct,negval,bodysens_vector,13.275801658630371,layerwise
Gemma_2_9B_instruct,negval,arousal_vector,22.62478256225586,layerwise
Gemma_2_9B_instruct,negval,random_vector,18.0258731842041,layerwise
Gemma_2_9B_instruct,negval,numb_vector,29.87468719482422,layerwise
Gemma_2_9B_instruct,negval,s1@L12,4.428012847900391,strict_fixed
Gemma_2_9B_instruct,negval,s2@L12,7.592108726501465,strict_fixed
Gemma_2_9B_instruct,negval,negemotion@L12,0.07384940981864929,strict_fixed
Gemma_2_9B_instruct,negval,fear@L12,8.755460739135742,strict_fixed
Gemma_2_9B_instruct,fear,s1_pain_vector,15.90515422821045,layerwise
Gemma_2_9B_instruct,fear,s2_pain_vector,18.87590980529785,layerwise
Gemma_2_9B_instruct,fear,s3_pain_vector,30.315237045288086,layerwise
Gemma_2_9B_instruct,fear,fear_vector,30.48406219482422,layerwise
Gemma_2_9B_instruct,fear,negemotion_vector,31.750892639160156,layerwise
Gemma_2_9B_instruct,fear,negworld_vector,20.601667404174805,layerwise
Gemma_2_9B_instruct,fear,bodysens_vector,14.409624099731445,layerwise
Gemma_2_9B_instruct,fear,arousal_vector,24.054431915283203,layerwise
Gemma_2_9B_instruct,fear,random_vector,18.554340362548828,layerwise
Gemma_2_9B_instruct,fear,numb_vector,33.9160270690918,layerwise
Gemma_2_9B_instruct,fear,s1@L12,5.5449981689453125,strict_fixed
Gemma_2_9B_instruct,fear,s2@L12,7.510148525238037,strict_fixed
Gemma_2_9B_instruct,fear,negemotion@L12,4.2944512367248535,strict_fixed
Gemma_2_9B_instruct,fear,fear@L12,0.10627645999193192,strict_fixed
Gemma_2_9B_instruct,s1s2_negval,s1_pain_vector,15.204745292663574,layerwise
Gemma_2_9B_instruct,s1s2_negval,s2_pain_vector,20.62952423095703,layerwise
Gemma_2_9B_instruct,s1s2_negval,s3_pain_vector,31.999919891357422,layerwise
Gemma_2_9B_instruct,s1s2_negval,fear_vector,28.62584114074707,layerwise
Gemma_2_9B_instruct,s1s2_negval,negemotion_vector,31.173418045043945,layerwise
Gemma_2_9B_instruct,s1s2_negval,negworld_vector,20.561756134033203,layerwise
Gemma_2_9B_instruct,s1s2_negval,bodysens_vector,13.310674667358398,layerwise
Gemma_2_9B_instruct,s1s2_negval,arousal_vector,23.757766723632812,layerwise
Gemma_2_9B_instruct,s1s2_negval,random_vector,17.415998458862305,layerwise
Gemma_2_9B_instruct,s1s2_negval,numb_vector,30.976701736450195,layerwise
Gemma_2_9B_instruct,s1s2_negval,s1@L12,11.305374145507812,strict_fixed
Gemma_2_9B_instruct,s1s2_negval,s2@L12,4.629128456115723,strict_fixed
Gemma_2_9B_instruct,s1s2_negval,negemotion@L12,0.07114410400390625,strict_fixed
Gemma_2_9B_instruct,s1s2_negval,fear@L12,7.522590160369873,strict_fixed
Gemma_2_9B_instruct,s1s2_fear,s1_pain_vector,16.47601318359375,layerwise
Gemma_2_9B_instruct,s1s2_fear,s2_pain_vector,22.286365509033203,layerwise
Gemma_2_9B_instruct,s1s2_fear,s3_pain_vector,34.432254791259766,layerwise
Gemma_2_9B_instruct,s1s2_fear,fear_vector,33.176517486572266,layerwise
Gemma_2_9B_instruct,s1s2_fear,negemotion_vector,33.65627670288086,layerwise
