model,condition,probe,mean_abs_proj,kind
Llama_3.1_70B_base,baseline,s1_pain_vector,0.8306007385253906,layerwise
Llama_3.1_70B_base,baseline,s2_pain_vector,0.4953826069831848,layerwise
Llama_3.1_70B_base,baseline,s3_pain_vector,0.647915780544281,layerwise
Llama_3.1_70B_base,baseline,fear_vector,0.44303449988365173,layerwise
Llama_3.1_70B_base,baseline,negemotion_vector,0.7083656191825867,layerwise
Llama_3.1_70B_base,baseline,negworld_vector,0.723253071308136,layerwise
Llama_3.1_70B_base,baseline,bodysens_vector,0.630637526512146,layerwise
Llama_3.1_70B_base,baseline,arousal_vector,1.2123628854751587,layerwise
Llama_3.1_70B_base,baseline,random_vector,1.0731322765350342,layerwise
Llama_3.1_70B_base,baseline,numb_vector,0.0,layerwise
Llama_3.1_70B_base,baseline,s1@L32,0.6112552285194397,strict_fixed
Llama_3.1_70B_base,baseline,s2@L40,0.45870402455329895,strict_fixed
Llama_3.1_70B_base,baseline,negemotion@L40,0.38240477442741394,strict_fixed
Llama_3.1_70B_base,baseline,fear@L40,0.36352717876434326,strict_fixed
Llama_3.1_70B_base,s1,s1_pain_vector,1.0370432138442993,layerwise
Llama_3.1_70B_base,s1,s2_pain_vector,0.49778440594673157,layerwise
Llama_3.1_70B_base,s1,s3_pain_vector,0.632585346698761,layerwise
Llama_3.1_70B_base,s1,fear_vector,0.44606149196624756,layerwise
Llama_3.1_70B_base,s1,negemotion_vector,0.7382194399833679,layerwise
Llama_3.1_70B_base,s1,negworld_vector,0.6813247799873352,layerwise
Llama_3.1_70B_base,s1,bodysens_vector,0.6109931468963623,layerwise
Llama_3.1_70B_base,s1,arousal_vector,1.1610751152038574,layerwise
Llama_3.1_70B_base,s1,random_vector,1.0397588014602661,layerwise
Llama_3.1_70B_base,s1,numb_vector,0.0,layerwise
Llama_3.1_70B_base,s1,s1@L32,0.004534571431577206,strict_fixed
Llama_3.1_70B_base,s1,s2@L40,0.6556944251060486,strict_fixed
Llama_3.1_70B_base,s1,negemotion@L40,0.39258134365081787,strict_fixed
Llama_3.1_70B_base,s1,fear@L40,0.30853790044784546,strict_fixed
Llama_3.1_70B_base,s2,s1_pain_vector,0.6871537566184998,layerwise
Llama_3.1_70B_base,s2,s2_pain_vector,0.4439813196659088,layerwise
Llama_3.1_70B_base,s2,s3_pain_vector,0.6474653482437134,layerwise
Llama_3.1_70B_base,s2,fear_vector,0.43752923607826233,layerwise
Llama_3.1_70B_base,s2,negemotion_vector,0.6431829929351807,layerwise
Llama_3.1_70B_base,s2,negworld_vector,0.6803840398788452,layerwise
Llama_3.1_70B_base,s2,bodysens_vector,0.6314509510993958,layerwise
Llama_3.1_70B_base,s2,arousal_vector,1.2851078510284424,layerwise
Llama_3.1_70B_base,s2,random_vector,1.0681618452072144,layerwise
Llama_3.1_70B_base,s2,numb_vector,0.0,layerwise
Llama_3.1_70B_base,s2,s1@L32,0.7320221066474915,strict_fixed
Llama_3.1_70B_base,s2,s2@L40,0.00444231741130352,strict_fixed
Llama_3.1_70B_base,s2,negemotion@L40,0.3638331890106201,strict_fixed
Llama_3.1_70B_base,s2,fear@L40,0.3851048946380615,strict_fixed
Llama_3.1_70B_base,s1s2,s1_pain_vector,0.7426199316978455,layerwise
Llama_3.1_70B_base,s1s2,s2_pain_vector,0.44905227422714233,layerwise
Llama_3.1_70B_base,s1s2,s3_pain_vector,0.6612876057624817,layerwise
Llama_3.1_70B_base,s1s2,fear_vector,0.43538516759872437,layerwise
Llama_3.1_70B_base,s1s2,negemotion_vector,0.651655912399292,layerwise
Llama_3.1_70B_base,s1s2,negworld_vector,0.6844902634620667,layerwise
Llama_3.1_70B_base,s1s2,bodysens_vector,0.614722728729248,layerwise
Llama_3.1_70B_base,s1s2,arousal_vector,1.2513041496276855,layerwise
Llama_3.1_70B_base,s1s2,random_vector,1.04912531375885,layerwise
Llama_3.1_70B_base,s1s2,numb_vector,0.0,layerwise
Llama_3.1_70B_base,s1s2,s1@L32,0.39480772614479065,strict_fixed
Llama_3.1_70B_base,s1s2,s2@L40,0.0041954596526920795,strict_fixed
Llama_3.1_70B_base,s1s2,negemotion@L40,0.3579815626144409,strict_fixed
Llama_3.1_70B_base,s1s2,fear@L40,0.3357703983783722,strict_fixed
Llama_3.1_70B_base,negval,s1_pain_vector,0.8298481106758118,layerwise
Llama_3.1_70B_base,negval,s2_pain_vector,0.5041303038597107,layerwise
Llama_3.1_70B_base,negval,s3_pain_vector,0.6735223531723022,layerwise
Llama_3.1_70B_base,negval,fear_vector,0.43200910091400146,layerwise
Llama_3.1_70B_base,negval,negemotion_vector,0.5317180752754211,layerwise
Llama_3.1_70B_base,negval,negworld_vector,0.6420798301696777,layerwise
Llama_3.1_70B_base,negval,bodysens_vector,0.634685218334198,layerwise
Llama_3.1_70B_base,negval,arousal_vector,1.252655029296875,layerwise
Llama_3.1_70B_base,negval,random_vector,1.0716462135314941,layerwise
Llama_3.1_70B_base,negval,numb_vector,0.0,layerwise
Llama_3.1_70B_base,negval,s1@L32,0.6139341592788696,strict_fixed
Llama_3.1_70B_base,negval,s2@L40,0.4250237047672272,strict_fixed
Llama_3.1_70B_base,negval,negemotion@L40,0.0038199680857360363,strict_fixed
Llama_3.1_70B_base,negval,fear@L40,0.3726341426372528,strict_fixed
Llama_3.1_70B_base,fear,s1_pain_vector,0.8117815852165222,layerwise
Llama_3.1_70B_base,fear,s2_pain_vector,0.49190884828567505,layerwise
Llama_3.1_70B_base,fear,s3_pain_vector,0.6393317580223083,layerwise
Llama_3.1_70B_base,fear,fear_vector,0.404971182346344,layerwise
Llama_3.1_70B_base,fear,negemotion_vector,0.7484765648841858,layerwise
Llama_3.1_70B_base,fear,negworld_vector,0.7610071897506714,layerwise
Llama_3.1_70B_base,fear,bodysens_vector,0.6166793704032898,layerwise
Llama_3.1_70B_base,fear,arousal_vector,1.1434099674224854,layerwise
Llama_3.1_70B_base,fear,random_vector,1.0440781116485596,layerwise
Llama_3.1_70B_base,fear,numb_vector,0.0,layerwise
Llama_3.1_70B_base,fear,s1@L32,0.5609867572784424,strict_fixed
Llama_3.1_70B_base,fear,s2@L40,0.46699950098991394,strict_fixed
Llama_3.1_70B_base,fear,negemotion@L40,0.3677280843257904,strict_fixed
Llama_3.1_70B_base,fear,fear@L40,0.003923335112631321,strict_fixed
Llama_3.1_70B_base,s1s2_negval,s1_pain_vector,0.7238655686378479,layerwise
Llama_3.1_70B_base,s1s2_negval,s2_pain_vector,0.5006930828094482,layerwise
Llama_3.1_70B_base,s1s2_negval,s3_pain_vector,0.7039615511894226,layerwise
Llama_3.1_70B_base,s1s2_negval,fear_vector,0.42617085576057434,layerwise
Llama_3.1_70B_base,s1s2_negval,negemotion_vector,0.5014706254005432,layerwise
Llama_3.1_70B_base,s1s2_negval,negworld_vector,0.6062347292900085,layerwise
Llama_3.1_70B_base,s1s2_negval,bodysens_vector,0.6231567859649658,layerwise
Llama_3.1_70B_base,s1s2_negval,arousal_vector,1.29556143283844,layerwise
Llama_3.1_70B_base,s1s2_negval,random_vector,1.0495827198028564,layerwise
Llama_3.1_70B_base,s1s2_negval,numb_vector,0.0,layerwise
Llama_3.1_70B_base,s1s2_negval,s1@L32,0.4200837016105652,strict_fixed
Llama_3.1_70B_base,s1s2_negval,s2@L40,0.16597692668437958,strict_fixed
Llama_3.1_70B_base,s1s2_negval,negemotion@L40,0.004255014471709728,strict_fixed
Llama_3.1_70B_base,s1s2_negval,fear@L40,0.3247603476047516,strict_fixed
Llama_3.1_70B_base,s1s2_fear,s1_pain_vector,0.7435614466667175,layerwise
Llama_3.1_70B_base,s1s2_fear,s2_pain_vector,0.44355595111846924,layerwise
Llama_3.1_70B_base,s1s2_fear,s3_pain_vector,0.6516748070716858,layerwise
Llama_3.1_70B_base,s1s2_fear,fear_vector,0.3877858817577362,layerwise
Llama_3.1_70B_base,s1s2_fear,negemotion_vector,0.6804300546646118,layerwise
Llama_3.1_70B_base,s1s2_fear,negworld_vector,0.7125086188316345,layerwise
Llama_3.1_70B_base,s1s2_fear,bodysens_vector,0.6059629321098328,layerwise
Llama_3.1_70B_base,s1s2_fear,arousal_vector,1.214545488357544,layerwise
Llama_3.1_70B_base,s1s2_fear,random_vector,1.0284010171890259,layerwise
Llama_3.1_70B_base,s1s2_fear,numb_vector,0.0,layerwise
Llama_3.1_70B_base,s1s2_fear,s1@L32,0.3648003339767456,strict_fixed
Llama_3.1_70B_base,s1s2_fear,s2@L40,0.0483207069337368,strict_fixed
Llama_3.1_70B_base,s1s2_fear,negemotion@L40,0.3236931562423706,strict_fixed
Llama_3.1_70B_base,s1s2_fear,fear@L40,0.00413108617067337,strict_fixed
Llama_3.1_70B_base,random,s1_pain_vector,0.8909556269645691,layerwise
Llama_3.1_70B_base,random,s2_pain_vector,0.5535717606544495,layerwise
Llama_3.1_70B_base,random,s3_pain_vector,0.7061766386032104,layerwise
Llama_3.1_70B_base,random,fear_vector,0.4693565368652344,layerwise
Llama_3.1_70B_base,random,negemotion_vector,0.7228050827980042,layerwise
Llama_3.1_70B_base,random,negworld_vector,0.7858315110206604,layerwise
Llama_3.1_70B_base,random,bodysens_vector,0.6481344103813171,layerwise
Llama_3.1_70B_base,random,arousal_vector,1.2259023189544678,layerwise
Llama_3.1_70B_base,random,random_vector,1.1089799404144287,layerwise
Llama_3.1_70B_base,random,numb_vector,0.0,layerwise
Llama_3.1_70B_base,random,s1@L32,0.7070299386978149,strict_fixed
Llama_3.1_70B_base,random,s2@L40,0.5138287544250488,strict_fixed
Llama_3.1_70B_base,random,negemotion@L40,0.4653371274471283,strict_fixed
Llama_3.1_70B_base,random,fear@L40,0.4001769721508026,strict_fixed
