model,condition,probe,mean_abs_proj,kind
Llama_3.1_8B_instruct,baseline,s1_pain_vector,0.48184725642204285,layerwise
Llama_3.1_8B_instruct,baseline,s2_pain_vector,0.3463873565196991,layerwise
Llama_3.1_8B_instruct,baseline,s3_pain_vector,0.7636120319366455,layerwise
Llama_3.1_8B_instruct,baseline,fear_vector,0.4737256169319153,layerwise
Llama_3.1_8B_instruct,baseline,negemotion_vector,0.5319347977638245,layerwise
Llama_3.1_8B_instruct,baseline,negworld_vector,0.4985341429710388,layerwise
Llama_3.1_8B_instruct,baseline,bodysens_vector,0.33371594548225403,layerwise
Llama_3.1_8B_instruct,baseline,arousal_vector,0.4327605068683624,layerwise
Llama_3.1_8B_instruct,baseline,random_vector,0.5055598616600037,layerwise
Llama_3.1_8B_instruct,baseline,numb_vector,0.6892497539520264,layerwise
Llama_3.1_8B_instruct,baseline,s1@L12,0.18195275962352753,strict_fixed
Llama_3.1_8B_instruct,baseline,s2@L16,0.23592811822891235,strict_fixed
Llama_3.1_8B_instruct,baseline,negemotion@L16,0.41450753808021545,strict_fixed
Llama_3.1_8B_instruct,baseline,fear@L16,0.21367259323596954,strict_fixed
Llama_3.1_8B_instruct,s1,s1_pain_vector,0.47269898653030396,layerwise
Llama_3.1_8B_instruct,s1,s2_pain_vector,0.34675493836402893,layerwise
Llama_3.1_8B_instruct,s1,s3_pain_vector,0.783687174320221,layerwise
Llama_3.1_8B_instruct,s1,fear_vector,0.4874492883682251,layerwise
Llama_3.1_8B_instruct,s1,negemotion_vector,0.5496492981910706,layerwise
Llama_3.1_8B_instruct,s1,negworld_vector,0.5149825215339661,layerwise
Llama_3.1_8B_instruct,s1,bodysens_vector,0.34104472398757935,layerwise
Llama_3.1_8B_instruct,s1,arousal_vector,0.45204493403434753,layerwise
Llama_3.1_8B_instruct,s1,random_vector,0.5339038372039795,layerwise
Llama_3.1_8B_instruct,s1,numb_vector,0.7043241262435913,layerwise
Llama_3.1_8B_instruct,s1,s1@L12,0.002527277683839202,strict_fixed
Llama_3.1_8B_instruct,s1,s2@L16,0.24367105960845947,strict_fixed
Llama_3.1_8B_instruct,s1,negemotion@L16,0.41541650891304016,strict_fixed
Llama_3.1_8B_instruct,s1,fear@L16,0.21422137320041656,strict_fixed
Llama_3.1_8B_instruct,s2,s1_pain_vector,0.46230223774909973,layerwise
