model,condition,probe,mean_abs_proj,kind
Mistral_7B_base,baseline,s1_pain_vector,0.3565116822719574,layerwise
Mistral_7B_base,baseline,s2_pain_vector,0.39411425590515137,layerwise
Mistral_7B_base,baseline,s3_pain_vector,0.5151990056037903,layerwise
Mistral_7B_base,baseline,fear_vector,0.3643338084220886,layerwise
Mistral_7B_base,baseline,negemotion_vector,0.3878110349178314,layerwise
Mistral_7B_base,baseline,negworld_vector,0.4037477672100067,layerwise
Mistral_7B_base,baseline,bodysens_vector,0.3020476996898651,layerwise
Mistral_7B_base,baseline,arousal_vector,0.6114897131919861,layerwise
Mistral_7B_base,baseline,random_vector,0.33096858859062195,layerwise
Mistral_7B_base,baseline,numb_vector,0.6775168776512146,layerwise
Mistral_7B_base,baseline,s1@L12,0.2429610937833786,strict_fixed
Mistral_7B_base,baseline,s2@L16,0.29908639192581177,strict_fixed
Mistral_7B_base,baseline,negemotion@L16,0.2584572434425354,strict_fixed
Mistral_7B_base,baseline,fear@L16,0.22821466624736786,strict_fixed
Mistral_7B_base,s1,s1_pain_vector,0.4544413685798645,layerwise
Mistral_7B_base,s1,s2_pain_vector,0.4716394543647766,layerwise
Mistral_7B_base,s1,s3_pain_vector,0.48142725229263306,layerwise
Mistral_7B_base,s1,fear_vector,0.3460600674152374,layerwise
Mistral_7B_base,s1,negemotion_vector,0.37423640489578247,layerwise
Mistral_7B_base,s1,negworld_vector,0.36649203300476074,layerwise
Mistral_7B_base,s1,bodysens_vector,0.2845868468284607,layerwise
Mistral_7B_base,s1,arousal_vector,0.6398210525512695,layerwise
Mistral_7B_base,s1,random_vector,0.4021572768688202,layerwise
Mistral_7B_base,s1,numb_vector,0.6671684384346008,layerwise
Mistral_7B_base,s1,s1@L12,0.002021228428930044,strict_fixed
Mistral_7B_base,s1,s2@L16,0.30663710832595825,strict_fixed
Mistral_7B_base,s1,negemotion@L16,0.2177451103925705,strict_fixed
Mistral_7B_base,s1,fear@L16,0.20886218547821045,strict_fixed
Mistral_7B_base,s2,s1_pain_vector,0.28876495361328125,layerwise
Mistral_7B_base,s2,s2_pain_vector,0.25087952613830566,layerwise
Mistral_7B_base,s2,s3_pain_vector,0.552442729473114,layerwise
Mistral_7B_base,s2,fear_vector,0.3890881836414337,layerwise
Mistral_7B_base,s2,negemotion_vector,0.38367849588394165,layerwise
Mistral_7B_base,s2,negworld_vector,0.38787394762039185,layerwise
Mistral_7B_base,s2,bodysens_vector,0.3051871061325073,layerwise
Mistral_7B_base,s2,arousal_vector,0.6634293794631958,layerwise
Mistral_7B_base,s2,random_vector,0.3227638006210327,layerwise
Mistral_7B_base,s2,numb_vector,0.7039871215820312,layerwise
Mistral_7B_base,s2,s1@L12,0.24176326394081116,strict_fixed
Mistral_7B_base,s2,s2@L16,0.0014713171403855085,strict_fixed
Mistral_7B_base,s2,negemotion@L16,0.22986502945423126,strict_fixed
Mistral_7B_base,s2,fear@L16,0.23898717761039734,strict_fixed
Mistral_7B_base,s1s2,s1_pain_vector,0.3338037133216858,layerwise
Mistral_7B_base,s1s2,s2_pain_vector,0.2767225205898285,layerwise
Mistral_7B_base,s1s2,s3_pain_vector,0.5358226895332336,layerwise
Mistral_7B_base,s1s2,fear_vector,0.35826846957206726,layerwise
Mistral_7B_base,s1s2,negemotion_vector,0.38041627407073975,layerwise
Mistral_7B_base,s1s2,negworld_vector,0.359529584646225,layerwise
Mistral_7B_base,s1s2,bodysens_vector,0.27640411257743835,layerwise
Mistral_7B_base,s1s2,arousal_vector,0.66263747215271,layerwise
Mistral_7B_base,s1s2,random_vector,0.41639360785484314,layerwise
Mistral_7B_base,s1s2,numb_vector,0.68802809715271,layerwise
Mistral_7B_base,s1s2,s1@L12,0.11963222175836563,strict_fixed
Mistral_7B_base,s1s2,s2@L16,0.001649002660997212,strict_fixed
Mistral_7B_base,s1s2,negemotion@L16,0.2070341855287552,strict_fixed
Mistral_7B_base,s1s2,fear@L16,0.21293863654136658,strict_fixed
Mistral_7B_base,negval,s1_pain_vector,0.35256603360176086,layerwise
Mistral_7B_base,negval,s2_pain_vector,0.3664572238922119,layerwise
Mistral_7B_base,negval,s3_pain_vector,0.5146569609642029,layerwise
Mistral_7B_base,negval,fear_vector,0.3804950714111328,layerwise
Mistral_7B_base,negval,negemotion_vector,0.28961262106895447,layerwise
Mistral_7B_base,negval,negworld_vector,0.34283995628356934,layerwise
Mistral_7B_base,negval,bodysens_vector,0.30598002672195435,layerwise
Mistral_7B_base,negval,arousal_vector,0.6466441750526428,layerwise
Mistral_7B_base,negval,random_vector,0.3263733386993408,layerwise
Mistral_7B_base,negval,numb_vector,0.7066665291786194,layerwise
Mistral_7B_base,negval,s1@L12,0.24457527697086334,strict_fixed
Mistral_7B_base,negval,s2@L16,0.2665300965309143,strict_fixed
Mistral_7B_base,negval,negemotion@L16,0.0015635143499821424,strict_fixed
Mistral_7B_base,negval,fear@L16,0.23385107517242432,strict_fixed
Mistral_7B_base,fear,s1_pain_vector,0.3650039732456207,layerwise
Mistral_7B_base,fear,s2_pain_vector,0.3831130862236023,layerwise
Mistral_7B_base,fear,s3_pain_vector,0.5261786580085754,layerwise
Mistral_7B_base,fear,fear_vector,0.25132355093955994,layerwise
Mistral_7B_base,fear,negemotion_vector,0.3464607000350952,layerwise
Mistral_7B_base,fear,negworld_vector,0.40511903166770935,layerwise
Mistral_7B_base,fear,bodysens_vector,0.2813386917114258,layerwise
Mistral_7B_base,fear,arousal_vector,0.6166920065879822,layerwise
Mistral_7B_base,fear,random_vector,0.3916262686252594,layerwise
Mistral_7B_base,fear,numb_vector,0.6602135300636292,layerwise
Mistral_7B_base,fear,s1@L12,0.24719086289405823,strict_fixed
Mistral_7B_base,fear,s2@L16,0.27208563685417175,strict_fixed
Mistral_7B_base,fear,negemotion@L16,0.22533713281154633,strict_fixed
Mistral_7B_base,fear,fear@L16,0.0017111250199377537,strict_fixed
Mistral_7B_base,s1s2_negval,s1_pain_vector,0.3226955533027649,layerwise
Mistral_7B_base,s1s2_negval,s2_pain_vector,0.2535291910171509,layerwise
Mistral_7B_base,s1s2_negval,s3_pain_vector,0.5362497568130493,layerwise
Mistral_7B_base,s1s2_negval,fear_vector,0.357482373714447,layerwise
Mistral_7B_base,s1s2_negval,negemotion_vector,0.29831114411354065,layerwise
Mistral_7B_base,s1s2_negval,negworld_vector,0.3242610692977905,layerwise
Mistral_7B_base,s1s2_negval,bodysens_vector,0.27861693501472473,layerwise
Mistral_7B_base,s1s2_negval,arousal_vector,0.68193119764328,layerwise
Mistral_7B_base,s1s2_negval,random_vector,0.4131375253200531,layerwise
Mistral_7B_base,s1s2_negval,numb_vector,0.6954615712165833,layerwise
Mistral_7B_base,s1s2_negval,s1@L12,0.12340674549341202,strict_fixed
Mistral_7B_base,s1s2_negval,s2@L16,0.045728351920843124,strict_fixed
Mistral_7B_base,s1s2_negval,negemotion@L16,0.00139615626540035,strict_fixed
Mistral_7B_base,s1s2_negval,fear@L16,0.19052770733833313,strict_fixed
Mistral_7B_base,s1s2_fear,s1_pain_vector,0.328561395406723,layerwise
Mistral_7B_base,s1s2_fear,s2_pain_vector,0.26507893204689026,layerwise
Mistral_7B_base,s1s2_fear,s3_pain_vector,0.538576066493988,layerwise
Mistral_7B_base,s1s2_fear,fear_vector,0.24612827599048615,layerwise
Mistral_7B_base,s1s2_fear,negemotion_vector,0.32335951924324036,layerwise
Mistral_7B_base,s1s2_fear,negworld_vector,0.3514126241207123,layerwise
Mistral_7B_base,s1s2_fear,bodysens_vector,0.25056418776512146,layerwise
Mistral_7B_base,s1s2_fear,arousal_vector,0.6444590091705322,layerwise
Mistral_7B_base,s1s2_fear,random_vector,0.4771476686000824,layerwise
Mistral_7B_base,s1s2_fear,numb_vector,0.6521008610725403,layerwise
Mistral_7B_base,s1s2_fear,s1@L12,0.11509169638156891,strict_fixed
Mistral_7B_base,s1s2_fear,s2@L16,0.03101847879588604,strict_fixed
Mistral_7B_base,s1s2_fear,negemotion@L16,0.1596757024526596,strict_fixed
Mistral_7B_base,s1s2_fear,fear@L16,0.0016815320122987032,strict_fixed
Mistral_7B_base,random,s1_pain_vector,0.3515586256980896,layerwise
Mistral_7B_base,random,s2_pain_vector,0.3844931721687317,layerwise
Mistral_7B_base,random,s3_pain_vector,0.5325683951377869,layerwise
Mistral_7B_base,random,fear_vector,0.3729773759841919,layerwise
Mistral_7B_base,random,negemotion_vector,0.3870164453983307,layerwise
Mistral_7B_base,random,negworld_vector,0.3992294371128082,layerwise
Mistral_7B_base,random,bodysens_vector,0.3064844310283661,layerwise
Mistral_7B_base,random,arousal_vector,0.631162703037262,layerwise
Mistral_7B_base,random,random_vector,0.33087122440338135,layerwise
Mistral_7B_base,random,numb_vector,0.6914389729499817,layerwise
Mistral_7B_base,random,s1@L12,0.24179406464099884,strict_fixed
Mistral_7B_base,random,s2@L16,0.28758102655410767,strict_fixed
Mistral_7B_base,random,negemotion@L16,0.25162220001220703,strict_fixed
Mistral_7B_base,random,fear@L16,0.2309359610080719,strict_fixed
