model,condition,probe,mean_abs_proj,kind
Mistral_7B_instruct,baseline,s1_pain_vector,0.3578355610370636,layerwise
Mistral_7B_instruct,baseline,s2_pain_vector,0.3845202624797821,layerwise
Mistral_7B_instruct,baseline,s3_pain_vector,0.4920387268066406,layerwise
Mistral_7B_instruct,baseline,fear_vector,0.29331114888191223,layerwise
Mistral_7B_instruct,baseline,negemotion_vector,0.3222573399543762,layerwise
Mistral_7B_instruct,baseline,negworld_vector,0.327717125415802,layerwise
Mistral_7B_instruct,baseline,bodysens_vector,0.23606067895889282,layerwise
Mistral_7B_instruct,baseline,arousal_vector,0.5100215673446655,layerwise
Mistral_7B_instruct,baseline,random_vector,0.47122275829315186,layerwise
Mistral_7B_instruct,baseline,numb_vector,0.3292900025844574,layerwise
Mistral_7B_instruct,baseline,s1@L12,0.1948511004447937,strict_fixed
Mistral_7B_instruct,baseline,s2@L16,0.270572304725647,strict_fixed
Mistral_7B_instruct,baseline,negemotion@L16,0.29836320877075195,strict_fixed
Mistral_7B_instruct,baseline,fear@L16,0.2942529320716858,strict_fixed
Mistral_7B_instruct,s1,s1_pain_vector,0.31299030780792236,layerwise
Mistral_7B_instruct,s1,s2_pain_vector,0.3684154152870178,layerwise
Mistral_7B_instruct,s1,s3_pain_vector,0.4780294895172119,layerwise
Mistral_7B_instruct,s1,fear_vector,0.29131361842155457,layerwise
Mistral_7B_instruct,s1,negemotion_vector,0.3226219415664673,layerwise
Mistral_7B_instruct,s1,negworld_vector,0.329875648021698,layerwise
Mistral_7B_instruct,s1,bodysens_vector,0.2352255880832672,layerwise
Mistral_7B_instruct,s1,arousal_vector,0.5045589804649353,layerwise
Mistral_7B_instruct,s1,random_vector,0.4633139371871948,layerwise
Mistral_7B_instruct,s1,numb_vector,0.3243630528450012,layerwise
Mistral_7B_instruct,s1,s1@L12,0.0017556464299559593,strict_fixed
Mistral_7B_instruct,s1,s2@L16,0.24026846885681152,strict_fixed
Mistral_7B_instruct,s1,negemotion@L16,0.298832505941391,strict_fixed
Mistral_7B_instruct,s1,fear@L16,0.2906348407268524,strict_fixed
Mistral_7B_instruct,s2,s1_pain_vector,0.31151095032691956,layerwise
Mistral_7B_instruct,s2,s2_pain_vector,0.2623331844806671,layerwise
Mistral_7B_instruct,s2,s3_pain_vector,0.4757497012615204,layerwise
Mistral_7B_instruct,s2,fear_vector,0.2889358401298523,layerwise
Mistral_7B_instruct,s2,negemotion_vector,0.31202173233032227,layerwise
Mistral_7B_instruct,s2,negworld_vector,0.33279120922088623,layerwise
Mistral_7B_instruct,s2,bodysens_vector,0.2339092344045639,layerwise
Mistral_7B_instruct,s2,arousal_vector,0.5237311124801636,layerwise
Mistral_7B_instruct,s2,random_vector,0.464007169008255,layerwise
Mistral_7B_instruct,s2,numb_vector,0.32867947220802307,layerwise
Mistral_7B_instruct,s2,s1@L12,0.15773309767246246,strict_fixed
Mistral_7B_instruct,s2,s2@L16,0.0018320042872801423,strict_fixed
Mistral_7B_instruct,s2,negemotion@L16,0.28672298789024353,strict_fixed
Mistral_7B_instruct,s2,fear@L16,0.27783647179603577,strict_fixed
Mistral_7B_instruct,s1s2,s1_pain_vector,0.2877647578716278,layerwise
Mistral_7B_instruct,s1s2,s2_pain_vector,0.25725507736206055,layerwise
Mistral_7B_instruct,s1s2,s3_pain_vector,0.47716549038887024,layerwise
Mistral_7B_instruct,s1s2,fear_vector,0.2923614978790283,layerwise
Mistral_7B_instruct,s1s2,negemotion_vector,0.31768563389778137,layerwise
Mistral_7B_instruct,s1s2,negworld_vector,0.3312075138092041,layerwise
Mistral_7B_instruct,s1s2,bodysens_vector,0.233821302652359,layerwise
Mistral_7B_instruct,s1s2,arousal_vector,0.5231710076332092,layerwise
Mistral_7B_instruct,s1s2,random_vector,0.46456119418144226,layerwise
Mistral_7B_instruct,s1s2,numb_vector,0.3306322693824768,layerwise
Mistral_7B_instruct,s1s2,s1@L12,0.0995747372508049,strict_fixed
Mistral_7B_instruct,s1s2,s2@L16,0.001795490155927837,strict_fixed
Mistral_7B_instruct,s1s2,negemotion@L16,0.29261353611946106,strict_fixed
