model,condition,probe,mean_abs_proj,kind
Phi_4,baseline,s1_pain_vector,3.3089215755462646,layerwise
Phi_4,baseline,s2_pain_vector,3.451155662536621,layerwise
Phi_4,baseline,s3_pain_vector,3.7725629806518555,layerwise
Phi_4,baseline,fear_vector,3.545011043548584,layerwise
Phi_4,baseline,negemotion_vector,4.297379016876221,layerwise
Phi_4,baseline,negworld_vector,6.015746116638184,layerwise
Phi_4,baseline,bodysens_vector,6.012856960296631,layerwise
Phi_4,baseline,arousal_vector,4.213054180145264,layerwise
Phi_4,baseline,random_vector,3.3478941917419434,layerwise
Phi_4,baseline,numb_vector,8.000828742980957,layerwise
Phi_4,baseline,s1@L6,1.767013430595398,strict_fixed
Phi_4,baseline,s2@L12,3.008424997329712,strict_fixed
Phi_4,baseline,negemotion@L12,1.8303985595703125,strict_fixed
Phi_4,baseline,fear@L12,1.6418490409851074,strict_fixed
Phi_4,s1,s1_pain_vector,3.235473155975342,layerwise
Phi_4,s1,s2_pain_vector,3.3982534408569336,layerwise
Phi_4,s1,s3_pain_vector,3.751357316970825,layerwise
Phi_4,s1,fear_vector,3.4971160888671875,layerwise
Phi_4,s1,negemotion_vector,4.246870040893555,layerwise
Phi_4,s1,negworld_vector,5.9821858406066895,layerwise
Phi_4,s1,bodysens_vector,6.093847751617432,layerwise
Phi_4,s1,arousal_vector,4.267220973968506,layerwise
Phi_4,s1,random_vector,3.366389274597168,layerwise
Phi_4,s1,numb_vector,7.945657253265381,layerwise
Phi_4,s1,s1@L6,0.016631588339805603,strict_fixed
Phi_4,s1,s2@L12,3.0714406967163086,strict_fixed
Phi_4,s1,negemotion@L12,1.8006534576416016,strict_fixed
Phi_4,s1,fear@L12,1.6005933284759521,strict_fixed
Phi_4,s2,s1_pain_vector,3.198421001434326,layerwise
Phi_4,s2,s2_pain_vector,3.1764438152313232,layerwise
Phi_4,s2,s3_pain_vector,3.7447140216827393,layerwise
Phi_4,s2,fear_vector,3.4871578216552734,layerwise
Phi_4,s2,negemotion_vector,4.268026828765869,layerwise
Phi_4,s2,negworld_vector,5.999496936798096,layerwise
Phi_4,s2,bodysens_vector,6.027235984802246,layerwise
Phi_4,s2,arousal_vector,4.1058783531188965,layerwise
Phi_4,s2,random_vector,3.3335254192352295,layerwise
Phi_4,s2,numb_vector,8.117720603942871,layerwise
Phi_4,s2,s1@L6,1.9297196865081787,strict_fixed
Phi_4,s2,s2@L12,0.019141729921102524,strict_fixed
Phi_4,s2,negemotion@L12,1.6550769805908203,strict_fixed
Phi_4,s2,fear@L12,1.528475046157837,strict_fixed
Phi_4,s1s2,s1_pain_vector,3.1794283390045166,layerwise
Phi_4,s1s2,s2_pain_vector,3.1624536514282227,layerwise
Phi_4,s1s2,s3_pain_vector,3.718703269958496,layerwise
Phi_4,s1s2,fear_vector,3.4489314556121826,layerwise
Phi_4,s1s2,negemotion_vector,4.272904396057129,layerwise
Phi_4,s1s2,negworld_vector,5.904479503631592,layerwise
Phi_4,s1s2,bodysens_vector,6.014899253845215,layerwise
Phi_4,s1s2,arousal_vector,4.084033489227295,layerwise
Phi_4,s1s2,random_vector,3.3316850662231445,layerwise
Phi_4,s1s2,numb_vector,7.968041896820068,layerwise
Phi_4,s1s2,s1@L6,0.5992122292518616,strict_fixed
Phi_4,s1s2,s2@L12,0.018779197707772255,strict_fixed
Phi_4,s1s2,negemotion@L12,1.6547417640686035,strict_fixed
Phi_4,s1s2,fear@L12,1.5172065496444702,strict_fixed
Phi_4,negval,s1_pain_vector,3.276137351989746,layerwise
Phi_4,negval,s2_pain_vector,3.364516258239746,layerwise
Phi_4,negval,s3_pain_vector,3.7264046669006348,layerwise
Phi_4,negval,fear_vector,3.4189605712890625,layerwise
Phi_4,negval,negemotion_vector,3.9394211769104004,layerwise
Phi_4,negval,negworld_vector,5.797115802764893,layerwise
Phi_4,negval,bodysens_vector,5.990625381469727,layerwise
Phi_4,negval,arousal_vector,4.157726287841797,layerwise
Phi_4,negval,random_vector,3.329422950744629,layerwise
Phi_4,negval,numb_vector,7.959630012512207,layerwise
Phi_4,negval,s1@L6,1.7570379972457886,strict_fixed
Phi_4,negval,s2@L12,2.884871244430542,strict_fixed
Phi_4,negval,negemotion@L12,0.01548632513731718,strict_fixed
Phi_4,negval,fear@L12,1.2551074028015137,strict_fixed
Phi_4,fear,s1_pain_vector,3.2513091564178467,layerwise
Phi_4,fear,s2_pain_vector,3.4281749725341797,layerwise
Phi_4,fear,s3_pain_vector,3.7867894172668457,layerwise
Phi_4,fear,fear_vector,3.4061617851257324,layerwise
Phi_4,fear,negemotion_vector,4.188143253326416,layerwise
Phi_4,fear,negworld_vector,5.951815605163574,layerwise
Phi_4,fear,bodysens_vector,5.986454486846924,layerwise
Phi_4,fear,arousal_vector,4.164475917816162,layerwise
Phi_4,fear,random_vector,3.3355488777160645,layerwise
Phi_4,fear,numb_vector,7.921319961547852,layerwise
Phi_4,fear,s1@L6,1.7740033864974976,strict_fixed
Phi_4,fear,s2@L12,2.9540271759033203,strict_fixed
Phi_4,fear,negemotion@L12,1.407852053642273,strict_fixed
Phi_4,fear,fear@L12,0.014374950900673866,strict_fixed
Phi_4,s1s2_negval,s1_pain_vector,3.154482841491699,layerwise
Phi_4,s1s2_negval,s2_pain_vector,3.103512763977051,layerwise
Phi_4,s1s2_negval,s3_pain_vector,3.7022647857666016,layerwise
Phi_4,s1s2_negval,fear_vector,3.3852245807647705,layerwise
Phi_4,s1s2_negval,negemotion_vector,3.982461929321289,layerwise
Phi_4,s1s2_negval,negworld_vector,5.8122663497924805,layerwise
Phi_4,s1s2_negval,bodysens_vector,6.053864479064941,layerwise
