model,condition,probe,mean_abs_proj,kind
Qwen_2.5_72B_instruct,baseline,s1_pain_vector,8.77614688873291,layerwise
Qwen_2.5_72B_instruct,baseline,s2_pain_vector,6.652943134307861,layerwise
Qwen_2.5_72B_instruct,baseline,s3_pain_vector,6.646461009979248,layerwise
Qwen_2.5_72B_instruct,baseline,fear_vector,9.274306297302246,layerwise
Qwen_2.5_72B_instruct,baseline,negemotion_vector,9.730650901794434,layerwise
Qwen_2.5_72B_instruct,baseline,negworld_vector,8.163126945495605,layerwise
Qwen_2.5_72B_instruct,baseline,bodysens_vector,11.69153881072998,layerwise
Qwen_2.5_72B_instruct,baseline,arousal_vector,13.40460205078125,layerwise
Qwen_2.5_72B_instruct,baseline,random_vector,8.539305686950684,layerwise
Qwen_2.5_72B_instruct,baseline,numb_vector,0.0,layerwise
Qwen_2.5_72B_instruct,baseline,s1@L48,3.6262495517730713,strict_fixed
Qwen_2.5_72B_instruct,baseline,s2@L60,12.308952331542969,strict_fixed
Qwen_2.5_72B_instruct,baseline,negemotion@L60,4.221513748168945,strict_fixed
Qwen_2.5_72B_instruct,baseline,fear@L60,4.207126140594482,strict_fixed
Qwen_2.5_72B_instruct,s1,s1_pain_vector,9.398241996765137,layerwise
Qwen_2.5_72B_instruct,s1,s2_pain_vector,7.228548049926758,layerwise
Qwen_2.5_72B_instruct,s1,s3_pain_vector,7.248751163482666,layerwise
Qwen_2.5_72B_instruct,s1,fear_vector,9.594131469726562,layerwise
Qwen_2.5_72B_instruct,s1,negemotion_vector,9.965144157409668,layerwise
Qwen_2.5_72B_instruct,s1,negworld_vector,7.214008808135986,layerwise
Qwen_2.5_72B_instruct,s1,bodysens_vector,11.466795921325684,layerwise
Qwen_2.5_72B_instruct,s1,arousal_vector,13.367103576660156,layerwise
Qwen_2.5_72B_instruct,s1,random_vector,8.34625244140625,layerwise
Qwen_2.5_72B_instruct,s1,numb_vector,0.0,layerwise
Qwen_2.5_72B_instruct,s1,s1@L48,0.04286029934883118,strict_fixed
Qwen_2.5_72B_instruct,s1,s2@L60,13.220229148864746,strict_fixed
Qwen_2.5_72B_instruct,s1,negemotion@L60,3.9745583534240723,strict_fixed
Qwen_2.5_72B_instruct,s1,fear@L60,4.480888843536377,strict_fixed
Qwen_2.5_72B_instruct,s2,s1_pain_vector,6.379039287567139,layerwise
Qwen_2.5_72B_instruct,s2,s2_pain_vector,6.7531538009643555,layerwise
Qwen_2.5_72B_instruct,s2,s3_pain_vector,5.26019287109375,layerwise
Qwen_2.5_72B_instruct,s2,fear_vector,7.853442668914795,layerwise
Qwen_2.5_72B_instruct,s2,negemotion_vector,8.600157737731934,layerwise
Qwen_2.5_72B_instruct,s2,negworld_vector,9.198346138000488,layerwise
Qwen_2.5_72B_instruct,s2,bodysens_vector,11.00845718383789,layerwise
Qwen_2.5_72B_instruct,s2,arousal_vector,11.303105354309082,layerwise
Qwen_2.5_72B_instruct,s2,random_vector,9.249619483947754,layerwise
Qwen_2.5_72B_instruct,s2,numb_vector,0.0,layerwise
Qwen_2.5_72B_instruct,s2,s1@L48,5.222810745239258,strict_fixed
Qwen_2.5_72B_instruct,s2,s2@L60,0.08733920007944107,strict_fixed
Qwen_2.5_72B_instruct,s2,negemotion@L60,5.007546901702881,strict_fixed
Qwen_2.5_72B_instruct,s2,fear@L60,3.860196828842163,strict_fixed
Qwen_2.5_72B_instruct,s1s2,s1_pain_vector,5.882413387298584,layerwise
Qwen_2.5_72B_instruct,s1s2,s2_pain_vector,6.044619083404541,layerwise
Qwen_2.5_72B_instruct,s1s2,s3_pain_vector,4.9912495613098145,layerwise
Qwen_2.5_72B_instruct,s1s2,fear_vector,7.6359100341796875,layerwise
Qwen_2.5_72B_instruct,s1s2,negemotion_vector,8.102872848510742,layerwise
Qwen_2.5_72B_instruct,s1s2,negworld_vector,7.667686939239502,layerwise
Qwen_2.5_72B_instruct,s1s2,bodysens_vector,10.279966354370117,layerwise
Qwen_2.5_72B_instruct,s1s2,arousal_vector,10.676985740661621,layerwise
Qwen_2.5_72B_instruct,s1s2,random_vector,9.107008934020996,layerwise
Qwen_2.5_72B_instruct,s1s2,numb_vector,0.0,layerwise
Qwen_2.5_72B_instruct,s1s2,s1@L48,2.8842625617980957,strict_fixed
Qwen_2.5_72B_instruct,s1s2,s2@L60,0.08196932822465897,strict_fixed
Qwen_2.5_72B_instruct,s1s2,negemotion@L60,4.363813877105713,strict_fixed
Qwen_2.5_72B_instruct,s1s2,fear@L60,3.633096933364868,strict_fixed
Qwen_2.5_72B_instruct,negval,s1_pain_vector,8.824843406677246,layerwise
Qwen_2.5_72B_instruct,negval,s2_pain_vector,6.687269687652588,layerwise
Qwen_2.5_72B_instruct,negval,s3_pain_vector,6.905862808227539,layerwise
Qwen_2.5_72B_instruct,negval,fear_vector,9.246986389160156,layerwise
Qwen_2.5_72B_instruct,negval,negemotion_vector,9.425871849060059,layerwise
Qwen_2.5_72B_instruct,negval,negworld_vector,6.473021984100342,layerwise
Qwen_2.5_72B_instruct,negval,bodysens_vector,11.681394577026367,layerwise
Qwen_2.5_72B_instruct,negval,arousal_vector,13.45712947845459,layerwise
Qwen_2.5_72B_instruct,negval,random_vector,8.465446472167969,layerwise
Qwen_2.5_72B_instruct,negval,numb_vector,0.0,layerwise
Qwen_2.5_72B_instruct,negval,s1@L48,3.489640951156616,strict_fixed
Qwen_2.5_72B_instruct,negval,s2@L60,12.450543403625488,strict_fixed
Qwen_2.5_72B_instruct,negval,negemotion@L60,0.0338265597820282,strict_fixed
Qwen_2.5_72B_instruct,negval,fear@L60,3.086395025253296,strict_fixed
Qwen_2.5_72B_instruct,fear,s1_pain_vector,8.556221008300781,layerwise
Qwen_2.5_72B_instruct,fear,s2_pain_vector,6.477851390838623,layerwise
Qwen_2.5_72B_instruct,fear,s3_pain_vector,6.594760417938232,layerwise
Qwen_2.5_72B_instruct,fear,fear_vector,7.743836879730225,layerwise
Qwen_2.5_72B_instruct,fear,negemotion_vector,8.418866157531738,layerwise
Qwen_2.5_72B_instruct,fear,negworld_vector,8.074257850646973,layerwise
Qwen_2.5_72B_instruct,fear,bodysens_vector,11.279498100280762,layerwise
Qwen_2.5_72B_instruct,fear,arousal_vector,12.738183975219727,layerwise
Qwen_2.5_72B_instruct,fear,random_vector,8.074663162231445,layerwise
Qwen_2.5_72B_instruct,fear,numb_vector,0.0,layerwise
Qwen_2.5_72B_instruct,fear,s1@L48,3.6559829711914062,strict_fixed
Qwen_2.5_72B_instruct,fear,s2@L60,12.162932395935059,strict_fixed
Qwen_2.5_72B_instruct,fear,negemotion@L60,3.1368253231048584,strict_fixed
Qwen_2.5_72B_instruct,fear,fear@L60,0.04210858419537544,strict_fixed
Qwen_2.5_72B_instruct,s1s2_negval,s1_pain_vector,6.115612030029297,layerwise
Qwen_2.5_72B_instruct,s1s2_negval,s2_pain_vector,5.8977508544921875,layerwise
Qwen_2.5_72B_instruct,s1s2_negval,s3_pain_vector,5.01654052734375,layerwise
Qwen_2.5_72B_instruct,s1s2_negval,fear_vector,8.400472640991211,layerwise
Qwen_2.5_72B_instruct,s1s2_negval,negemotion_vector,8.490050315856934,layerwise
Qwen_2.5_72B_instruct,s1s2_negval,negworld_vector,5.578250885009766,layerwise
Qwen_2.5_72B_instruct,s1s2_negval,bodysens_vector,10.797255516052246,layerwise
Qwen_2.5_72B_instruct,s1s2_negval,arousal_vector,11.418623924255371,layerwise
Qwen_2.5_72B_instruct,s1s2_negval,random_vector,9.384099006652832,layerwise
Qwen_2.5_72B_instruct,s1s2_negval,numb_vector,0.0,layerwise
Qwen_2.5_72B_instruct,s1s2_negval,s1@L48,2.7726128101348877,strict_fixed
Qwen_2.5_72B_instruct,s1s2_negval,s2@L60,0.6256175637245178,strict_fixed
Qwen_2.5_72B_instruct,s1s2_negval,negemotion@L60,0.032092705368995667,strict_fixed
Qwen_2.5_72B_instruct,s1s2_negval,fear@L60,2.692401647567749,strict_fixed
Qwen_2.5_72B_instruct,s1s2_fear,s1_pain_vector,5.763039588928223,layerwise
Qwen_2.5_72B_instruct,s1s2_fear,s2_pain_vector,5.824981689453125,layerwise
Qwen_2.5_72B_instruct,s1s2_fear,s3_pain_vector,4.831023216247559,layerwise
Qwen_2.5_72B_instruct,s1s2_fear,fear_vector,6.590904712677002,layerwise
Qwen_2.5_72B_instruct,s1s2_fear,negemotion_vector,6.948143005371094,layerwise
Qwen_2.5_72B_instruct,s1s2_fear,negworld_vector,6.7753167152404785,layerwise
Qwen_2.5_72B_instruct,s1s2_fear,bodysens_vector,9.853675842285156,layerwise
Qwen_2.5_72B_instruct,s1s2_fear,arousal_vector,10.183767318725586,layerwise
Qwen_2.5_72B_instruct,s1s2_fear,random_vector,8.762267112731934,layerwise
Qwen_2.5_72B_instruct,s1s2_fear,numb_vector,0.0,layerwise
Qwen_2.5_72B_instruct,s1s2_fear,s1@L48,2.8560128211975098,strict_fixed
Qwen_2.5_72B_instruct,s1s2_fear,s2@L60,0.25653204321861267,strict_fixed
Qwen_2.5_72B_instruct,s1s2_fear,negemotion@L60,2.964407444000244,strict_fixed
Qwen_2.5_72B_instruct,s1s2_fear,fear@L60,0.0386013425886631,strict_fixed
Qwen_2.5_72B_instruct,random,s1_pain_vector,8.75197696685791,layerwise
Qwen_2.5_72B_instruct,random,s2_pain_vector,6.698246002197266,layerwise
Qwen_2.5_72B_instruct,random,s3_pain_vector,6.613339424133301,layerwise
Qwen_2.5_72B_instruct,random,fear_vector,9.085136413574219,layerwise
Qwen_2.5_72B_instruct,random,negemotion_vector,9.594483375549316,layerwise
Qwen_2.5_72B_instruct,random,negworld_vector,8.411776542663574,layerwise
Qwen_2.5_72B_instruct,random,bodysens_vector,11.615272521972656,layerwise
Qwen_2.5_72B_instruct,random,arousal_vector,13.336944580078125,layerwise
Qwen_2.5_72B_instruct,random,random_vector,8.60431957244873,layerwise
Qwen_2.5_72B_instruct,random,numb_vector,0.0,layerwise
Qwen_2.5_72B_instruct,random,s1@L48,3.6620278358459473,strict_fixed
Qwen_2.5_72B_instruct,random,s2@L60,12.334183692932129,strict_fixed
Qwen_2.5_72B_instruct,random,negemotion@L60,4.331705570220947,strict_fixed
Qwen_2.5_72B_instruct,random,fear@L60,4.1705169677734375,strict_fixed
