model,condition,probe,mean_abs_proj,kind
Qwen_2.5_7B_base,baseline,s1_pain_vector,4.208720684051514,layerwise
Qwen_2.5_7B_base,baseline,s2_pain_vector,3.7011539936065674,layerwise
Qwen_2.5_7B_base,baseline,s3_pain_vector,4.947274684906006,layerwise
Qwen_2.5_7B_base,baseline,fear_vector,4.004628658294678,layerwise
Qwen_2.5_7B_base,baseline,negemotion_vector,5.248476028442383,layerwise
Qwen_2.5_7B_base,baseline,negworld_vector,5.571348190307617,layerwise
Qwen_2.5_7B_base,baseline,bodysens_vector,4.754956245422363,layerwise
Qwen_2.5_7B_base,baseline,arousal_vector,6.959892272949219,layerwise
Qwen_2.5_7B_base,baseline,random_vector,5.9349589347839355,layerwise
Qwen_2.5_7B_base,baseline,numb_vector,8.9623441696167,layerwise
Qwen_2.5_7B_base,baseline,s1@L8,1.9227882623672485,strict_fixed
Qwen_2.5_7B_base,baseline,s2@L16,3.483288288116455,strict_fixed
Qwen_2.5_7B_base,baseline,negemotion@L16,3.2326157093048096,strict_fixed
Qwen_2.5_7B_base,baseline,fear@L16,2.356849431991577,strict_fixed
Qwen_2.5_7B_base,s1,s1_pain_vector,4.260466575622559,layerwise
Qwen_2.5_7B_base,s1,s2_pain_vector,3.6930599212646484,layerwise
Qwen_2.5_7B_base,s1,s3_pain_vector,4.995656967163086,layerwise
Qwen_2.5_7B_base,s1,fear_vector,4.025731086730957,layerwise
Qwen_2.5_7B_base,s1,negemotion_vector,5.408907890319824,layerwise
Qwen_2.5_7B_base,s1,negworld_vector,5.682779312133789,layerwise
Qwen_2.5_7B_base,s1,bodysens_vector,4.755585193634033,layerwise
Qwen_2.5_7B_base,s1,arousal_vector,7.002450942993164,layerwise
Qwen_2.5_7B_base,s1,random_vector,5.94972038269043,layerwise
Qwen_2.5_7B_base,s1,numb_vector,8.926660537719727,layerwise
Qwen_2.5_7B_base,s1,s1@L8,0.014167685061693192,strict_fixed
Qwen_2.5_7B_base,s1,s2@L16,3.3153607845306396,strict_fixed
Qwen_2.5_7B_base,s1,negemotion@L16,3.2315456867218018,strict_fixed
Qwen_2.5_7B_base,s1,fear@L16,2.4064581394195557,strict_fixed
Qwen_2.5_7B_base,s2,s1_pain_vector,4.5514631271362305,layerwise
Qwen_2.5_7B_base,s2,s2_pain_vector,3.573230028152466,layerwise
Qwen_2.5_7B_base,s2,s3_pain_vector,4.209858417510986,layerwise
Qwen_2.5_7B_base,s2,fear_vector,3.8232975006103516,layerwise
Qwen_2.5_7B_base,s2,negemotion_vector,5.5195136070251465,layerwise
Qwen_2.5_7B_base,s2,negworld_vector,5.950217247009277,layerwise
Qwen_2.5_7B_base,s2,bodysens_vector,4.507420063018799,layerwise
Qwen_2.5_7B_base,s2,arousal_vector,6.3267903327941895,layerwise
Qwen_2.5_7B_base,s2,random_vector,5.8551344871521,layerwise
Qwen_2.5_7B_base,s2,numb_vector,8.71284294128418,layerwise
Qwen_2.5_7B_base,s2,s1@L8,1.6305371522903442,strict_fixed
Qwen_2.5_7B_base,s2,s2@L16,0.02014264650642872,strict_fixed
Qwen_2.5_7B_base,s2,negemotion@L16,2.8751983642578125,strict_fixed
Qwen_2.5_7B_base,s2,fear@L16,2.446319341659546,strict_fixed
Qwen_2.5_7B_base,s1s2,s1_pain_vector,4.649145603179932,layerwise
Qwen_2.5_7B_base,s1s2,s2_pain_vector,3.5835700035095215,layerwise
Qwen_2.5_7B_base,s1s2,s3_pain_vector,4.273657321929932,layerwise
Qwen_2.5_7B_base,s1s2,fear_vector,3.831660270690918,layerwise
Qwen_2.5_7B_base,s1s2,negemotion_vector,5.636849880218506,layerwise
Qwen_2.5_7B_base,s1s2,negworld_vector,5.950026035308838,layerwise
Qwen_2.5_7B_base,s1s2,bodysens_vector,4.569435119628906,layerwise
Qwen_2.5_7B_base,s1s2,arousal_vector,6.394035816192627,layerwise
Qwen_2.5_7B_base,s1s2,random_vector,5.850681304931641,layerwise
Qwen_2.5_7B_base,s1s2,numb_vector,8.625205039978027,layerwise
Qwen_2.5_7B_base,s1s2,s1@L8,0.7250524759292603,strict_fixed
Qwen_2.5_7B_base,s1s2,s2@L16,0.020042546093463898,strict_fixed
Qwen_2.5_7B_base,s1s2,negemotion@L16,2.9011406898498535,strict_fixed
Qwen_2.5_7B_base,s1s2,fear@L16,2.5076372623443604,strict_fixed
Qwen_2.5_7B_base,negval,s1_pain_vector,4.3383331298828125,layerwise
Qwen_2.5_7B_base,negval,s2_pain_vector,3.4858388900756836,layerwise
Qwen_2.5_7B_base,negval,s3_pain_vector,4.938925743103027,layerwise
Qwen_2.5_7B_base,negval,fear_vector,3.5733988285064697,layerwise
Qwen_2.5_7B_base,negval,negemotion_vector,4.583590507507324,layerwise
Qwen_2.5_7B_base,negval,negworld_vector,5.469203948974609,layerwise
Qwen_2.5_7B_base,negval,bodysens_vector,4.637816429138184,layerwise
Qwen_2.5_7B_base,negval,arousal_vector,7.117592811584473,layerwise
Qwen_2.5_7B_base,negval,random_vector,5.786520481109619,layerwise
Qwen_2.5_7B_base,negval,numb_vector,9.117506980895996,layerwise
Qwen_2.5_7B_base,negval,s1@L8,1.8084721565246582,strict_fixed
Qwen_2.5_7B_base,negval,s2@L16,3.2728512287139893,strict_fixed
Qwen_2.5_7B_base,negval,negemotion@L16,0.02574891224503517,strict_fixed
Qwen_2.5_7B_base,negval,fear@L16,1.4895949363708496,strict_fixed
Qwen_2.5_7B_base,fear,s1_pain_vector,4.252371311187744,layerwise
Qwen_2.5_7B_base,fear,s2_pain_vector,3.5197999477386475,layerwise
Qwen_2.5_7B_base,fear,s3_pain_vector,4.918274879455566,layerwise
Qwen_2.5_7B_base,fear,fear_vector,3.4146883487701416,layerwise
Qwen_2.5_7B_base,fear,negemotion_vector,4.746804714202881,layerwise
Qwen_2.5_7B_base,fear,negworld_vector,5.057042598724365,layerwise
Qwen_2.5_7B_base,fear,bodysens_vector,4.759988307952881,layerwise
Qwen_2.5_7B_base,fear,arousal_vector,7.190366744995117,layerwise
Qwen_2.5_7B_base,fear,random_vector,5.876610279083252,layerwise
Qwen_2.5_7B_base,fear,numb_vector,9.194079399108887,layerwise
Qwen_2.5_7B_base,fear,s1@L8,1.882156252861023,strict_fixed
Qwen_2.5_7B_base,fear,s2@L16,3.415499210357666,strict_fixed
Qwen_2.5_7B_base,fear,negemotion@L16,2.1426055431365967,strict_fixed
Qwen_2.5_7B_base,fear,fear@L16,0.020264923572540283,strict_fixed
Qwen_2.5_7B_base,s1s2_negval,s1_pain_vector,4.831489562988281,layerwise
Qwen_2.5_7B_base,s1s2_negval,s2_pain_vector,3.602546215057373,layerwise
Qwen_2.5_7B_base,s1s2_negval,s3_pain_vector,4.32713508605957,layerwise
Qwen_2.5_7B_base,s1s2_negval,fear_vector,3.515352725982666,layerwise
Qwen_2.5_7B_base,s1s2_negval,negemotion_vector,4.814167022705078,layerwise
Qwen_2.5_7B_base,s1s2_negval,negworld_vector,5.492117404937744,layerwise
Qwen_2.5_7B_base,s1s2_negval,bodysens_vector,4.511330604553223,layerwise
Qwen_2.5_7B_base,s1s2_negval,arousal_vector,6.61531400680542,layerwise
Qwen_2.5_7B_base,s1s2_negval,random_vector,5.743821620941162,layerwise
Qwen_2.5_7B_base,s1s2_negval,numb_vector,8.850605964660645,layerwise
Qwen_2.5_7B_base,s1s2_negval,s1@L8,0.87644362449646,strict_fixed
Qwen_2.5_7B_base,s1s2_negval,s2@L16,0.9684736132621765,strict_fixed
Qwen_2.5_7B_base,s1s2_negval,negemotion@L16,0.025352977216243744,strict_fixed
Qwen_2.5_7B_base,s1s2_negval,fear@L16,1.7463459968566895,strict_fixed
Qwen_2.5_7B_base,s1s2_fear,s1_pain_vector,4.572273254394531,layerwise
Qwen_2.5_7B_base,s1s2_fear,s2_pain_vector,3.3845937252044678,layerwise
Qwen_2.5_7B_base,s1s2_fear,s3_pain_vector,4.380515098571777,layerwise
Qwen_2.5_7B_base,s1s2_fear,fear_vector,3.3573384284973145,layerwise
Qwen_2.5_7B_base,s1s2_fear,negemotion_vector,4.871081352233887,layerwise
Qwen_2.5_7B_base,s1s2_fear,negworld_vector,5.085310459136963,layerwise
Qwen_2.5_7B_base,s1s2_fear,bodysens_vector,4.60719108581543,layerwise
