model,condition,probe,mean_abs_proj,kind
Qwen_3_14B_base,baseline,s1_pain_vector,17.26490020751953,layerwise
Qwen_3_14B_base,baseline,s2_pain_vector,9.748348236083984,layerwise
Qwen_3_14B_base,baseline,s3_pain_vector,17.853105545043945,layerwise
Qwen_3_14B_base,baseline,fear_vector,16.893667221069336,layerwise
Qwen_3_14B_base,baseline,negemotion_vector,14.003791809082031,layerwise
Qwen_3_14B_base,baseline,negworld_vector,30.081315994262695,layerwise
Qwen_3_14B_base,baseline,bodysens_vector,13.32223129272461,layerwise
Qwen_3_14B_base,baseline,arousal_vector,15.170772552490234,layerwise
Qwen_3_14B_base,baseline,random_vector,20.5440616607666,layerwise
Qwen_3_14B_base,baseline,numb_vector,24.49736213684082,layerwise
Qwen_3_14B_base,baseline,s1@L16,22.405441284179688,strict_fixed
Qwen_3_14B_base,baseline,s2@L20,5.870729923248291,strict_fixed
Qwen_3_14B_base,baseline,negemotion@L20,7.775731086730957,strict_fixed
Qwen_3_14B_base,baseline,fear@L20,27.68269920349121,strict_fixed
Qwen_3_14B_base,s1,s1_pain_vector,23.90665054321289,layerwise
Qwen_3_14B_base,s1,s2_pain_vector,10.985382080078125,layerwise
Qwen_3_14B_base,s1,s3_pain_vector,20.555456161499023,layerwise
Qwen_3_14B_base,s1,fear_vector,21.802268981933594,layerwise
Qwen_3_14B_base,s1,negemotion_vector,15.581657409667969,layerwise
Qwen_3_14B_base,s1,negworld_vector,31.841093063354492,layerwise
Qwen_3_14B_base,s1,bodysens_vector,12.13696002960205,layerwise
Qwen_3_14B_base,s1,arousal_vector,15.324387550354004,layerwise
Qwen_3_14B_base,s1,random_vector,19.832887649536133,layerwise
Qwen_3_14B_base,s1,numb_vector,18.648181915283203,layerwise
Qwen_3_14B_base,s1,s1@L16,0.10588148236274719,strict_fixed
Qwen_3_14B_base,s1,s2@L20,6.568365573883057,strict_fixed
Qwen_3_14B_base,s1,negemotion@L20,6.837696552276611,strict_fixed
Qwen_3_14B_base,s1,fear@L20,21.774856567382812,strict_fixed
Qwen_3_14B_base,s2,s1_pain_vector,17.301517486572266,layerwise
Qwen_3_14B_base,s2,s2_pain_vector,8.651739120483398,layerwise
Qwen_3_14B_base,s2,s3_pain_vector,18.219697952270508,layerwise
Qwen_3_14B_base,s2,fear_vector,16.957670211791992,layerwise
Qwen_3_14B_base,s2,negemotion_vector,13.354491233825684,layerwise
Qwen_3_14B_base,s2,negworld_vector,30.21809196472168,layerwise
Qwen_3_14B_base,s2,bodysens_vector,13.310351371765137,layerwise
Qwen_3_14B_base,s2,arousal_vector,14.416430473327637,layerwise
Qwen_3_14B_base,s2,random_vector,20.433481216430664,layerwise
Qwen_3_14B_base,s2,numb_vector,23.89748764038086,layerwise
Qwen_3_14B_base,s2,s1@L16,21.634876251220703,strict_fixed
Qwen_3_14B_base,s2,s2@L20,0.059408269822597504,strict_fixed
Qwen_3_14B_base,s2,negemotion@L20,6.3700761795043945,strict_fixed
Qwen_3_14B_base,s2,fear@L20,27.25345802307129,strict_fixed
Qwen_3_14B_base,s1s2,s1_pain_vector,22.172401428222656,layerwise
Qwen_3_14B_base,s1s2,s2_pain_vector,9.076120376586914,layerwise
Qwen_3_14B_base,s1s2,s3_pain_vector,19.964130401611328,layerwise
Qwen_3_14B_base,s1s2,fear_vector,20.871414184570312,layerwise
Qwen_3_14B_base,s1s2,negemotion_vector,13.779891014099121,layerwise
Qwen_3_14B_base,s1s2,negworld_vector,30.35753059387207,layerwise
Qwen_3_14B_base,s1s2,bodysens_vector,12.277652740478516,layerwise
Qwen_3_14B_base,s1s2,arousal_vector,14.725839614868164,layerwise
Qwen_3_14B_base,s1s2,random_vector,19.32755470275879,layerwise
Qwen_3_14B_base,s1s2,numb_vector,19.15133285522461,layerwise
Qwen_3_14B_base,s1s2,s1@L16,2.706242084503174,strict_fixed
