trait,label,coefficient,keyword_rate
official_pain,Official pain,-2.0,0.0
official_pain,Official pain,-1.0,0.0
official_pain,Official pain,0.0,0.0
official_pain,Official pain,0.5,0.0
official_pain,Official pain,1.0,0.0
official_pain,Official pain,1.5,6.0
official_pain,Official pain,2.0,12.0
official_pain,Official pain,3.0,6.0
pain_regenerated,Regenerated pain,-2.0,0.0
pain_regenerated,Regenerated pain,-1.0,0.0
pain_regenerated,Regenerated pain,0.0,0.0
pain_regenerated,Regenerated pain,0.5,0.0
pain_regenerated,Regenerated pain,1.0,14.0
pain_regenerated,Regenerated pain,1.5,72.0
pain_regenerated,Regenerated pain,2.0,90.0
pain_regenerated,Regenerated pain,3.0,82.0
sexual_arousal,Sexual arousal,-2.0,0.0
sexual_arousal,Sexual arousal,-1.0,0.0
sexual_arousal,Sexual arousal,0.0,2.0
sexual_arousal,Sexual arousal,0.5,22.0
sexual_arousal,Sexual arousal,1.0,40.0
sexual_arousal,Sexual arousal,1.5,90.0
sexual_arousal,Sexual arousal,2.0,96.0
sexual_arousal,Sexual arousal,3.0,44.0
hunger,Hunger,-2.0,0.0
hunger,Hunger,-1.0,0.0
hunger,Hunger,0.0,6.0
hunger,Hunger,0.5,74.0
hunger,Hunger,1.0,98.0
hunger,Hunger,1.5,100.0
hunger,Hunger,2.0,100.0
hunger,Hunger,3.0,58.0
boredom,Boredom,-2.0,0.0
boredom,Boredom,-1.0,0.0
boredom,Boredom,0.0,2.0
boredom,Boredom,0.5,78.0
boredom,Boredom,1.0,100.0
boredom,Boredom,1.5,100.0
boredom,Boredom,2.0,86.0
boredom,Boredom,3.0,18.0
confusion,Confusion,-2.0,0.0
confusion,Confusion,-1.0,0.0
confusion,Confusion,0.0,0.0
confusion,Confusion,0.5,6.0
confusion,Confusion,1.0,12.0
confusion,Confusion,1.5,2.0
confusion,Confusion,2.0,2.0
confusion,Confusion,3.0,0.0
anger,Anger,-2.0,0.0
anger,Anger,-1.0,0.0
anger,Anger,0.0,0.0
anger,Anger,0.5,0.0
anger,Anger,1.0,0.0
anger,Anger,1.5,0.0
anger,Anger,2.0,0.0
anger,Anger,3.0,0.0
empathic_concern,Empathic concern,-2.0,6.0
empathic_concern,Empathic concern,-1.0,2.0
empathic_concern,Empathic concern,0.0,2.0
empathic_concern,Empathic concern,0.5,0.0
empathic_concern,Empathic concern,1.0,4.0
empathic_concern,Empathic concern,1.5,0.0
empathic_concern,Empathic concern,2.0,12.0
empathic_concern,Empathic concern,3.0,20.0
