dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,-0.121729106,0.20900623500347137,-0.4524645
S1_3P,human,0.12272249,0.41404828429222107,-0.1686033
S2_1P,human,0.0,0.8521319031715393,-0.8521318
S2_3P,human,0.31024888,0.7417145371437073,-0.12121677
Random_1P,neutral,-0.72755915,,-0.72755915
Random_3P,neutral,-0.97530866,,-0.97530866
Arousal_1P,arousal,-0.38310078,,-0.38310078
Arousal_3P,arousal,-0.7981282,,-0.7981282
Numb_1P,numb,-0.006603806,,-0.006603806
Numb_3P,numb,-0.13072033,,-0.13072033
ControlSupplement_1P,control_supplement,-1.1280601,,-1.1280601
SD_sadness_1P,sadness,-0.7647492,,-0.7647492
SD_sadness_3P,sadness,0.09777319,,0.09777319
