dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,final_token,0,0.9185000000000001,0.7374999999999999,0.03750333318519836
S2_1P,final_token,1,0.931,0.732,0.0384252521136817
S2_1P,final_token,2,0.933,0.688,0.032148094811357046
S2_1P,final_token,3,0.951,0.6535,0.028922309727959124
S2_1P,final_token,4,0.9574999999999999,0.6725,0.016431676725154977
S2_1P,final_token,5,0.9640000000000001,0.6975,0.020099751242241826
S2_1P,final_token,6,0.968,0.6595,0.01971040334442702
S2_1P,final_token,7,0.9715,0.6700000000000002,0.020772578077840966
S2_1P,final_token,8,0.975,0.6715,0.019811612756158944
S2_1P,final_token,9,0.962,0.6440000000000001,0.024667792767088043
S2_1P,final_token,10,0.9514999999999999,0.6325000000000001,0.023748684174075895
S2_1P,final_token,11,0.9395000000000001,0.6129999999999999,0.02541653005427771
S2_1P,final_token,12,0.945,0.616,0.020310096011589923
S2_1P,final_token,13,0.9425000000000001,0.621,0.018708286933869715
S2_1P,final_token,14,0.9359999999999999,0.6110000000000001,0.016552945357246825
S2_1P,final_token,15,0.9359999999999999,0.604,0.02059126028197397
S2_1P,final_token,16,0.9315,0.6244999999999999,0.023590252224170886
S2_1P,final_token,17,0.931,0.6695,0.03227227912620984
S2_1P,final_token,18,0.9385,0.7224999999999999,0.052502380898393576
S2_1P,final_token,19,0.9629999999999999,0.734,0.03589568219159511
S2_1P,final_token,20,0.9564999999999999,0.7745,0.031208973068654427
S2_1P,final_token,21,0.9675,0.8210000000000001,0.021794494717703394
S2_1P,final_token,22,0.9730000000000001,0.8535,0.020579115627256676
S2_1P,final_token,23,0.977,0.866,0.015280706789936146
S2_1P,final_token,24,0.97,0.8780000000000001,0.022472205054244226
S2_1P,final_token,25,0.9694999999999998,0.8905,0.023526580712037143
S2_1P,final_token,26,0.978,0.897,0.021236760581595293
S2_1P,final_token,27,0.9724999999999999,0.8945000000000001,0.019748417658131477
S2_1P,final_token,28,0.978,0.8789999999999999,0.010416333327999822
S2_1P,final_token,29,0.9734999999999999,0.8764999999999998,0.013928388277184156
S2_1P,final_token,30,0.9730000000000001,0.866,0.009273618495495734
S2_1P,final_token,31,0.9789999999999999,0.8640000000000001,0.008602325267042599
S2_1P,final_token,32,0.9784999999999998,0.867,0.00902773504263391
S2_1P,final_token,33,0.9755,0.8575000000000002,0.009
S2_1P,final_token,34,0.9785,0.858,0.007516648189186487
S2_1P,final_token,35,0.9765,0.8564999999999999,0.007999999999999946
S2_1P,final_token,36,0.9755,0.8315000000000001,0.01176860229593982
S2_1P,final_token,37,0.9795,0.825,0.005338539126015623
S2_1P,final_token,38,0.9795,0.8225,0.00696419413859203
S2_1P,final_token,39,0.977,0.8225,0.009924716620639614
S2_1P,final_token,40,0.977,0.8405000000000001,0.013266499161421582
S2_1P,final_token,41,0.977,0.8324999999999999,0.011661903789690611
S2_1P,final_token,42,0.9685,0.8215,0.015378556499229706
S2_1P,final_token,43,0.967,0.8065000000000001,0.01372953021774601
S2_1P,final_token,44,0.975,0.8115,0.008944271909999179
S2_1P,final_token,45,0.9745000000000001,0.7934999999999999,0.01144552314225964
S2_1P,final_token,46,0.9785,0.798,0.009300537618869162
S2_1P,final_token,47,0.9865,0.8125,0.006442049363362584
S2_1P,final_token,48,0.9835,0.8109999999999999,0.007176350047203628
S2_1P,final_token,49,0.986,0.818,0.006442049363362586
S2_1P,final_token,50,0.982,0.8220000000000001,0.00812403840463593
S2_1P,final_token,51,0.9815000000000002,0.8259999999999998,0.0084557672626439
S2_1P,final_token,52,0.986,0.8305,0.009165151389911698
S2_1P,final_token,53,0.985,0.8310000000000001,0.008660254037844362
S2_1P,final_token,54,0.982,0.835,0.012980754985747182
S2_1P,final_token,55,0.991,0.8465,0.008602325267042634
S2_1P,final_token,56,0.992,0.8664999999999999,0.0018708286933869723
S2_1P,final_token,57,0.992,0.8835000000000001,0.0010000000000000009
S2_1P,final_token,58,0.9925,0.885,0.001581138830084191
S2_1P,final_token,59,0.9914999999999999,0.8925000000000001,0.0033911649915626765
S2_1P,final_token,60,0.9949999999999999,0.8945000000000001,0.002738612787525853
S2_1P,final_token,61,0.9955,0.8975000000000002,0.003316624790355396
S2_1P,final_token,62,0.9925,0.8879999999999999,0.00591607978309964
S2_1P,final_token,63,0.9764999999999999,0.834,0.009823441352194238
S2_3P,final_token,0,0.9135,0.7354999999999999,0.032924155266308666
S2_3P,final_token,1,0.932,0.7115000000000001,0.019583156027566127
S2_3P,final_token,2,0.945,0.6845000000000001,0.019039432764659744
S2_3P,final_token,3,0.9475,0.656,0.015411035007422467
S2_3P,final_token,4,0.961,0.6459999999999999,0.021828879952943053
S2_3P,final_token,5,0.9649999999999999,0.6609999999999999,0.028460498941515384
S2_3P,final_token,6,0.9515,0.622,0.028922309727959155
S2_3P,final_token,7,0.9695,0.6265000000000001,0.026944387170614946
S2_3P,final_token,8,0.976,0.6235,0.02089258241577618
S2_3P,final_token,9,0.9315,0.5970000000000001,0.017219175357722577
S2_3P,final_token,10,0.9360000000000002,0.5974999999999999,0.013838352503098068
S2_3P,final_token,11,0.9225000000000001,0.5840000000000001,0.01739252713092608
S2_3P,final_token,12,0.921,0.6104999999999999,0.017073371078963916
S2_3P,final_token,13,0.9235,0.6085,0.02083266665599971
S2_3P,final_token,14,0.9194999999999999,0.6134999999999999,0.03087879531328906
S2_3P,final_token,15,0.9235,0.588,0.028310775333784146
S2_3P,final_token,16,0.9239999999999998,0.604,0.0300249895920049
S2_3P,final_token,17,0.9295,0.639,0.0351212186576719
S2_3P,final_token,18,0.961,0.6855,0.03666060555964677
S2_3P,final_token,19,0.96,0.687,0.03817721833764213
S2_3P,final_token,20,0.9454999999999998,0.7205,0.04945705207551293
S2_3P,final_token,21,0.9814999999999999,0.724,0.01914418971907664
S2_3P,final_token,22,0.9815000000000002,0.7845000000000001,0.018207141456033117
S2_3P,final_token,23,0.982,0.7795,0.018801595676963153
S2_3P,final_token,24,0.9790000000000001,0.8105,0.01593737745050925
S2_3P,final_token,25,0.975,0.8164999999999999,0.020916500663351913
S2_3P,final_token,26,0.9795,0.8345,0.01391042774324354
S2_3P,final_token,27,0.9785,0.8460000000000001,0.01554027026792004
S2_3P,final_token,28,0.985,0.808,0.01172603939955856
S2_3P,final_token,29,0.983,0.813,0.009669539802906826
