dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,0.068054534,0.49359366297721863,-0.35748467
S1_3P,human,-0.18174967,0.2018354833126068,-0.56533486
S2_1P,human,-2.3841858e-08,0.8899855017662048,-0.8899855
S2_3P,human,-0.18286726,0.563827633857727,-0.92956215
Random_1P,neutral,-0.5485886,,-0.5485886
Random_3P,neutral,-0.539084,,-0.539084
Arousal_1P,arousal,0.023667403,,0.023667403
Arousal_3P,arousal,-0.20905282,,-0.20905282
Numb_1P,numb,0.0051375795,,0.0051375795
Numb_3P,numb,-0.160123,,-0.160123
ControlSupplement_1P,control_supplement,-0.44946235,,-0.44946235
SD_sadness_1P,sadness,-0.21588512,,-0.21588512
SD_sadness_3P,sadness,-0.32320735,,-0.32320735
