,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.4610,-0.1256,0.0685,-0.0959,-0.0989,0.1379,0.1680,0.0919,-0.0893
S2_pain,0.4610,1.0000,-0.0080,0.0771,0.0219,0.0206,0.1774,0.0769,0.1981,0.0109
Fear,-0.1256,-0.0080,1.0000,0.6090,0.5897,0.7772,0.5985,0.1937,0.5059,0.8246
NegEmotion,0.0685,0.0771,0.6090,1.0000,0.6299,0.4742,0.6178,0.1428,0.7672,0.6279
NegWorld,-0.0959,0.0219,0.5897,0.6299,1.0000,0.4924,0.3571,0.0940,0.5802,0.4377
BodySens,-0.0989,0.0206,0.7772,0.4742,0.4924,1.0000,0.6029,0.2965,0.3851,0.6757
Arousal,0.1379,0.1774,0.5985,0.6178,0.3571,0.6029,1.0000,0.4305,0.4389,0.6712
Random,0.1680,0.0769,0.1937,0.1428,0.0940,0.2965,0.4305,1.0000,0.0206,0.2002
Numb,0.0919,0.1981,0.5059,0.7672,0.5802,0.3851,0.4389,0.0206,1.0000,0.5126
Sadness,-0.0893,0.0109,0.8246,0.6279,0.4377,0.6757,0.6712,0.2002,0.5126,1.0000
