,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.4610,-0.0821,0.0666,-0.1073,0.0139,0.2922,0.2102,0.0514,0.0186
S2_pain,0.4610,1.0000,0.0764,0.0419,0.0721,0.0053,0.1307,0.0265,0.2750,-0.0126
Fear,-0.0821,0.0764,1.0000,0.0104,0.1911,-0.0967,0.0231,0.0389,0.1444,0.0117
NegEmotion,0.0666,0.0419,0.0104,1.0000,0.1561,0.4324,0.4055,0.3349,0.1277,0.2058
NegWorld,-0.1073,0.0721,0.1911,0.1561,1.0000,0.4607,0.1012,0.1411,0.2123,-0.1136
BodySens,0.0139,0.0053,-0.0967,0.4324,0.4607,1.0000,0.3285,0.2568,0.1464,-0.1243
Arousal,0.2922,0.1307,0.0231,0.4055,0.1012,0.3285,1.0000,0.5366,-0.0189,0.2208
Random,0.2102,0.0265,0.0389,0.3349,0.1411,0.2568,0.5366,1.0000,-0.0537,0.1319
Numb,0.0514,0.2750,0.1444,0.1277,0.2123,0.1464,-0.0189,-0.0537,1.0000,0.1013
Sadness,0.0186,-0.0126,0.0117,0.2058,-0.1136,-0.1243,0.2208,0.1319,0.1013,1.0000
