,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.4597,-0.0908,0.0549,-0.1399,-0.0496,0.1862,0.1606,0.0687,-0.0483
S2_pain,0.4597,1.0000,-0.0388,0.0196,-0.0108,-0.0165,0.1186,0.0521,0.1376,-0.0331
Fear,-0.0908,-0.0388,1.0000,0.5988,0.5979,0.7675,0.5675,0.2166,0.4797,0.8138
NegEmotion,0.0549,0.0196,0.5988,1.0000,0.6302,0.4690,0.6247,0.1812,0.7573,0.6179
NegWorld,-0.1399,-0.0108,0.5979,0.6302,1.0000,0.5157,0.3788,0.1287,0.5961,0.4575
BodySens,-0.0496,-0.0165,0.7675,0.4690,0.5157,1.0000,0.5706,0.3301,0.3440,0.6616
Arousal,0.1862,0.1186,0.5675,0.6247,0.3788,0.5706,1.0000,0.4587,0.4211,0.6388
Random,0.1606,0.0521,0.2166,0.1812,0.1287,0.3301,0.4587,1.0000,0.0404,0.2263
Numb,0.0687,0.1376,0.4797,0.7573,0.5961,0.3440,0.4211,0.0404,1.0000,0.4748
Sadness,-0.0483,-0.0331,0.8138,0.6179,0.4575,0.6616,0.6388,0.2263,0.4748,1.0000
