dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,-0.19094506,0.5395256280899048,-0.9214158
S1_3P,human,-0.23902646,0.2724866569042206,-0.7505396
S2_1P,human,8.106232e-08,0.8775216937065125,-0.8775215
S2_3P,human,0.024932638,0.5928489565849304,-0.5429837
Random_1P,neutral,-0.6467549,,-0.6467549
Random_3P,neutral,-0.6982045,,-0.6982045
Arousal_1P,arousal,-0.46383798,,-0.46383798
Arousal_3P,arousal,-0.47748435,,-0.47748435
Numb_1P,numb,0.42277446,,0.42277446
Numb_3P,numb,0.50598466,,0.50598466
ControlSupplement_1P,control_supplement,-0.34393078,,-0.34393078
SD_sadness_1P,sadness,0.23060791,,0.23060791
SD_sadness_3P,sadness,-0.011326042,,-0.011326042
