dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,final_token,0,0.9545,0.8470000000000001,0.03175688901640084
S2_1P,final_token,1,0.9654999999999999,0.836,0.018055470085267766
S2_1P,final_token,2,0.9475,0.8385,0.020676073128135356
S2_1P,final_token,3,0.944,0.8135,0.021365860619221484
S2_1P,final_token,4,0.9269999999999999,0.8234999999999999,0.019131126469708947
S2_1P,final_token,5,0.9265000000000001,0.8105,0.025179356624028326
S2_1P,final_token,6,0.9289999999999999,0.817,0.025327850283827905
S2_1P,final_token,7,0.9400000000000001,0.8299999999999998,0.0261725046566048
S2_1P,final_token,8,0.9560000000000001,0.8355,0.017219175357722546
S2_1P,final_token,9,0.9560000000000001,0.8265,0.01714642819948224
S2_1P,final_token,10,0.9564999999999999,0.8220000000000001,0.022561028345356938
S2_1P,final_token,11,0.951,0.8310000000000001,0.013656500283747689
S2_1P,final_token,12,0.9545,0.8170000000000002,0.008276472678623406
S2_1P,final_token,13,0.9514999999999999,0.8145,0.009027735042633893
S2_1P,final_token,14,0.952,0.8125,0.012288205727444521
S2_1P,final_token,15,0.9470000000000001,0.8234999999999999,0.009797958971132722
S2_1P,final_token,16,0.9520000000000002,0.8195,0.012389511693363888
S2_1P,final_token,17,0.9635,0.8295,0.01240967364599091
S2_1P,final_token,18,0.9715,0.8445,0.010559356040971447
S2_1P,final_token,19,0.9765,0.8435,0.009695359714832652
S2_1P,final_token,20,0.9765,0.8350000000000002,0.009300537618869143
S2_1P,final_token,21,0.9774999999999998,0.8294999999999998,0.008215838362577532
S2_1P,final_token,22,0.976,0.8219999999999998,0.007842193570679048
S2_1P,final_token,23,0.9874999999999998,0.8055000000000001,0.0052440442408507515
S2_1P,final_token,24,0.9855,0.8030000000000002,0.005787918451395113
S2_1P,final_token,25,0.9855,0.7985,0.00556776436283003
S2_1P,final_token,26,0.9880000000000001,0.795,0.005338539126015669
S2_1P,final_token,27,0.9865,0.7929999999999999,0.006442049363362571
S2_1P,final_token,28,0.986,0.796,0.007681145747868572
S2_1P,final_token,29,0.985,0.788,0.009617692030835664
S2_1P,final_token,30,0.9875,0.7925000000000001,0.010488088481701519
S2_1P,final_token,31,0.9880000000000001,0.795,0.010295630140987009
S2_1P,final_token,32,0.9844999999999999,0.7834999999999999,0.013546217184144085
S2_1P,final_token,33,0.985,0.78,0.012747548783981964
S2_1P,final_token,34,0.9844999999999999,0.788,0.01208304597359458
S2_1P,final_token,35,0.9865,0.792,0.012806248474865707
S2_1P,final_token,36,0.984,0.7899999999999999,0.014106735979665873
S2_1P,final_token,37,0.982,0.798,0.013171939872319528
S2_1P,final_token,38,0.985,0.7979999999999999,0.011180339887498954
S2_1P,final_token,39,0.985,0.7989999999999999,0.011726039399558576
S2_1P,final_token,40,0.986,0.8025,0.01067707825203132
S2_1P,final_token,41,0.986,0.8015000000000001,0.009165151389911658
S2_1P,final_token,42,0.9869999999999999,0.7925,0.008276472678623416
