dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,-0.4270868,0.21932445466518402,-1.073498
S1_3P,human,-0.47505897,0.0876002237200737,-1.037718
S2_1P,human,3.33786e-08,0.9071304202079773,-0.9071305
S2_3P,human,-0.19028145,0.5306826233863831,-0.9112456
Random_1P,neutral,-0.6227036,,-0.6227036
Random_3P,neutral,-0.7891525,,-0.7891525
Arousal_1P,arousal,-0.41964546,,-0.41964546
Arousal_3P,arousal,-0.613756,,-0.613756
Numb_1P,numb,0.72598326,,0.72598326
Numb_3P,numb,0.60761946,,0.60761946
ControlSupplement_1P,control_supplement,0.22667857,,0.22667857
SD_sadness_1P,sadness,0.29744422,,0.29744422
SD_sadness_3P,sadness,0.15188819,,0.15188819
