,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.7270,-0.1232,-0.2349,-0.0936,-0.2037,-0.0784,0.0901,0.1634,0.1250
S2_pain,0.7270,1.0000,0.0130,-0.0999,-0.0128,-0.1028,0.0880,0.1142,0.2297,0.2185
Fear,-0.1232,0.0130,1.0000,0.3792,0.4846,0.5940,0.2810,0.1502,0.2996,0.4328
NegEmotion,-0.2349,-0.0999,0.3792,1.0000,0.0069,0.3083,0.2310,0.1145,0.2140,0.4131
NegWorld,-0.0936,-0.0128,0.4846,0.0069,1.0000,0.4436,0.4167,0.1805,0.5316,0.2418
BodySens,-0.2037,-0.1028,0.5940,0.3083,0.4436,1.0000,0.3463,0.2631,0.2871,0.2249
Arousal,-0.0784,0.0880,0.2810,0.2310,0.4167,0.3463,1.0000,0.2444,0.3862,0.4298
Random,0.0901,0.1142,0.1502,0.1145,0.1805,0.2631,0.2444,1.0000,0.0570,0.0554
Numb,0.1634,0.2297,0.2996,0.2140,0.5316,0.2871,0.3862,0.0570,1.0000,0.4989
Sadness,0.1250,0.2185,0.4328,0.4131,0.2418,0.2249,0.4298,0.0554,0.4989,1.0000
