,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.7270,-0.0955,-0.2859,-0.2384,-0.1933,-0.0728,0.0806,0.2424,0.2794
S2_pain,0.7270,1.0000,0.0326,-0.1925,-0.1000,-0.1245,0.1004,0.0963,0.2797,0.3071
Fear,-0.0955,0.0326,1.0000,0.3380,0.4940,0.4200,0.0278,0.4016,-0.1507,0.0341
NegEmotion,-0.2859,-0.1925,0.3380,1.0000,0.8689,0.5346,0.3464,0.3255,0.3065,0.2384
NegWorld,-0.2384,-0.1000,0.4940,0.8689,1.0000,0.4828,0.3570,0.3660,0.2594,0.2616
BodySens,-0.1933,-0.1245,0.4200,0.5346,0.4828,1.0000,0.2976,0.2422,0.1842,0.0791
Arousal,-0.0728,0.1004,0.0278,0.3464,0.3570,0.2976,1.0000,0.1901,0.3627,0.3482
Random,0.0806,0.0963,0.4016,0.3255,0.3660,0.2422,0.1901,1.0000,0.0568,0.1239
Numb,0.2424,0.2797,-0.1507,0.3065,0.2594,0.1842,0.3627,0.0568,1.0000,0.4056
Sadness,0.2794,0.3071,0.0341,0.2384,0.2616,0.0791,0.3482,0.1239,0.4056,1.0000
