,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.7148,-0.1012,-0.1955,-0.1636,-0.1221,-0.1076,0.0621,0.1384,0.1405
S2_pain,0.7148,1.0000,-0.0561,-0.0679,-0.0966,-0.0406,0.0742,0.0631,0.2417,0.2348
Fear,-0.1012,-0.0561,1.0000,0.3612,0.4871,0.5904,0.2647,0.2157,0.2502,0.4011
NegEmotion,-0.1955,-0.0679,0.3612,1.0000,0.0033,0.3035,0.2321,0.1539,0.2264,0.4212
NegWorld,-0.1636,-0.0966,0.4871,0.0033,1.0000,0.4227,0.4201,0.2265,0.5031,0.2217
BodySens,-0.1221,-0.0406,0.5904,0.3035,0.4227,1.0000,0.3738,0.3201,0.2532,0.2246
Arousal,-0.1076,0.0742,0.2647,0.2321,0.4201,0.3738,1.0000,0.2387,0.3786,0.4052
Random,0.0621,0.0631,0.2157,0.1539,0.2265,0.3201,0.2387,1.0000,0.1347,0.1306
Numb,0.1384,0.2417,0.2502,0.2264,0.5031,0.2532,0.3786,0.1347,1.0000,0.4503
Sadness,0.1405,0.2348,0.4011,0.4212,0.2217,0.2246,0.4052,0.1306,0.4503,1.0000
