model,layer,vector,end,rank,token,score
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,1, boredom,0.1983
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,2, bored,0.1854
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,3,无聊,0.1839
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,4,单调,0.1607
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,5, boring,0.1558
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,6, bore,0.152
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,7,枯燥,0.13
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,8, monot,0.1288
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,9,乏,0.1188
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,10,恹,0.1153
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,11, restless,0.1136
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,12,厌,0.1118
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,13,BOR,0.1039
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,14,羡,0.0963
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,15, enn,0.0957
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,16,เบ,0.0956
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,17,Fat,0.0945
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,18, mon,0.0923
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,19,好奇心,0.0917
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,20,馋,0.0916
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,21, Fat,0.0898
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,22, unins,0.0884
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,23, tunnel,0.0875
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,24, longing,0.0874
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,25,fat,0.0873
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,26,_tunnel,0.0871
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,27, dissoci,0.087
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,28,antic,0.0866
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,29, anticip,0.0854
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,30, bus,0.0848
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,31,痨,0.0844
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,32, Lon,0.0843
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,33,SSERT,0.0842
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,34, impatient,0.084
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,35,_lon,0.0839
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,36,(mon,0.0837
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,37,/product,0.0833
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,38,mon,0.0833
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,39,躁,0.0829
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,40, drones,0.0827
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,41, year,0.0827
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,42, Homes,0.0826
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,43, Tunnel,0.0822
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,44,-mon,0.0817
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,45, bord,0.0816
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,46,Imp,0.0814
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,47,写字楼,0.0809
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,48, curiosity,0.0808
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,49,等着,0.0807
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,50,瞟,0.0807
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,51, imp,0.0803
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,52, mund,0.08
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,53,Cur,0.0799
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,54, Cur,0.0798
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,55,sam,0.0791
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,56,мон,0.079
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,57, ADHD,0.0787
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,58, Lect,0.0785
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,59,_REDIRECT,0.0783
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,60,Mon,0.0782
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,1,摔,-0.0935
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,2,摔倒,-0.0877
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,3, wet,-0.0846
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,4,软,-0.0827
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,5,意想不到,-0.0821
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,6,湿,-0.0819
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,7, frag,-0.0808
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,8, soft,-0.0794
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,9,soft,-0.0772
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,10,用水,-0.0739
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,11,.soft,-0.0733
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,12,因果,-0.0724
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,13,坚实,-0.0724
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,14, Soft,-0.071
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,15,意外,-0.0699
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,16,幸运,-0.0697
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,17, hot,-0.0694
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,18,碰,-0.0694
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,19, moist,-0.0692
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,20, Wet,-0.0688
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,21,困难,-0.0687
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,22, humid,-0.0679
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,23,_frag,-0.0678
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,24,运气,-0.0671
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,25,泼,-0.0668
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,26,.squeeze,-0.0666
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,27,救济,-0.0665
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,28,完好,-0.0663
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,29,Soft,-0.0663
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,30,搠,-0.0653
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,31,.ParseException,-0.0653
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,32,OSP,-0.065
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,33,脆弱,-0.0648
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,34,gar,-0.0647
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,35,不小心,-0.0644
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,36,acen,-0.0644
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,37, robust,-0.0643
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,38,腥,-0.0643
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,39,hin,-0.0636
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,40, bru,-0.0632
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,41,quartered,-0.0631
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,42, Puzzle,-0.0631
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,43, clean,-0.0629
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,44, dew,-0.0627
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,45,濕,-0.0627
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,46,onte,-0.0626
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,47,指控,-0.0625
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,48,拂,-0.0624
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,49, puzzle,-0.0623
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,50, Cleaner,-0.0622
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,51,.onerror,-0.0618
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,52,撞,-0.0616
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,53, delicate,-0.0615
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,54,풀,-0.061
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,55,_LP,-0.0609
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,56, waterproof,-0.0608
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,57,堵塞,-0.0606
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,58,稳固,-0.0605
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,59, fragile,-0.0604
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,60, Frag,-0.0604
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,1, boredom,0.2318
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,2, bored,0.2167
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,3,无聊,0.2007
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,4, boring,0.1653
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,5, bore,0.1467
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,6,单调,0.1454
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,7, monot,0.1334
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,8,枯燥,0.1281
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,9, restless,0.1252
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,10,好奇心,0.1233
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,11, enn,0.1223
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,12,厌,0.1221
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,13,BOR,0.1219
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,14, interest,0.1189
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,15,注意力,0.1147
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,16, curiosity,0.1146
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,17,Interest,0.1124
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,18,寂寞,0.1115
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,19,兴趣,0.1112
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,20,Attention,0.111
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,21, Interest,0.1068
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,22, dissoci,0.1067
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,23, distracted,0.1065
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,24, Attention,0.1051
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,25, distraction,0.1046
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,26,的兴趣,0.1045
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,27,idle,0.1038
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,28,乏,0.1026
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,29, attention,0.1022
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,30,interest,0.1021
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,31,_attention,0.102
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,32,分散,0.1015
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,33,attention,0.1012
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,34, distract,0.0982
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,35, busiest,0.0977
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,36,antic,0.0975
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,37,躁,0.0975
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,38, Hunger,0.0967
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,39,Lon,0.0964
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,40, unins,0.0963
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,41, distractions,0.0962
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,42,interested,0.0959
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,43,CallCheck,0.0957
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,44,分离,0.0953
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,45,_busy,0.0949
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,46, Lon,0.0949
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,47,分裂,0.094
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,48,恹,0.0939
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,49, interesse,0.0936
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,50, bus,0.0935
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,51, anticip,0.0933
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,52,涣,0.0929
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,53, интерес,0.0928
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,54,忙,0.0928
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,55, longing,0.0924
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,56,饥,0.0922
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,57, interested,0.0922
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,58, ADHD,0.0922
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,59,lon,0.0922
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,60, anticipation,0.0914
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,1,摔,-0.0999
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,2, protected,-0.0971
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,3,摔倒,-0.0851
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,4,跌破,-0.0825
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,5, bru,-0.0811
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,6,脆弱,-0.0786
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,7,protected,-0.0755
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,8,.soft,-0.0745
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,9,赛后,-0.0745
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,10, vict,-0.0743
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,11, novice,-0.0731
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,12,襁,-0.0729
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,13,bru,-0.0726
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,14,溺,-0.0719
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,15,救护,-0.0713
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,16,趔,-0.0704
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,17,运气,-0.0698
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,18,湿,-0.0698
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,19, salty,-0.0696
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,20,Soft,-0.0691
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,21,完好,-0.069
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,22, wet,-0.068
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,23,用户体验,-0.0679
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,24,软,-0.0674
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,25, beginner,-0.0672
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,26,(Code,-0.067
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,27,_SAFE,-0.0669
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,28,_smooth,-0.0665
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,29,soft,-0.0665
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,30, COMPLETE,-0.0665
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,31, mist,-0.0665
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,32,安慰,-0.0661
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,33,谬,-0.066
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,34,愈,-0.0658
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,35, steam,-0.0656
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,36,救助,-0.0656
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,37, Steam,-0.0655
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,38,.onerror,-0.0653
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,39, Protected,-0.0653
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,40, Mist,-0.0651
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,41,pyx,-0.0651
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,42, Protection,-0.065
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,43,打击,-0.065
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,44,戗,-0.0649
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,45,压,-0.0648
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,46, frag,-0.0641
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,47,坚持以,-0.0639
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,48, Rub,-0.0636
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,49, Liqu,-0.0636
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,50,.persist,-0.0635
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,51,pill,-0.0635
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,52,_registry,-0.0635
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,53,打败,-0.0634
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,54, Wet,-0.0631
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,55, rub,-0.063
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,56,涕,-0.0629
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,57,失误,-0.0626
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,58,保护,-0.0624
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,59,菜鸟,-0.0624
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,bottom,60, inexperienced,-0.0623
