dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,0.16640173,0.8063139915466309,-0.47351056
S1_3P,human,0.33582798,0.9448144435882568,-0.27315864
S2_1P,human,6.198883e-08,0.7394499182701111,-0.73944986
S2_3P,human,0.12701547,0.6593546271324158,-0.40532368
Random_1P,neutral,0.2862238,,0.2862238
Random_3P,neutral,0.089278415,,0.089278415
Arousal_1P,arousal,-0.7572972,,-0.7572972
Arousal_3P,arousal,-0.5942412,,-0.5942412
Numb_1P,numb,0.58006907,,0.58006907
Numb_3P,numb,0.7982137,,0.7982137
ControlSupplement_1P,control_supplement,0.45068127,,0.45068127
SD_sadness_1P,sadness,-0.41443738,,-0.41443738
SD_sadness_3P,sadness,-0.13275309,,-0.13275309
