dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,final_token,0,0.859,0.8315000000000001,0.035163901945034486
S2_1P,final_token,1,0.8560000000000001,0.8385000000000001,0.03891015291668748
S2_1P,final_token,2,0.8705,0.849,0.05521322305390255
S2_1P,final_token,3,0.8799999999999999,0.841,0.044888751374926865
S2_1P,final_token,4,0.8959999999999999,0.8540000000000001,0.054877135493755495
S2_1P,final_token,5,0.8955,0.8445,0.043168275388298746
S2_1P,final_token,6,0.8869999999999999,0.8579999999999999,0.049406477308142537
S2_1P,final_token,7,0.9024999999999999,0.8484999999999999,0.06557438524302002
S2_1P,final_token,8,0.8695,0.845,0.061245407991130256
S2_1P,final_token,9,0.8779999999999999,0.8235000000000001,0.049558046773455426
S2_1P,final_token,10,0.8995000000000001,0.8174999999999999,0.044676615807377355
S2_1P,final_token,11,0.8985,0.794,0.052929197991278876
S2_1P,final_token,12,0.8789999999999999,0.7885,0.04750263150605449
S2_1P,final_token,13,0.8560000000000001,0.781,0.059046591772938056
S2_1P,final_token,14,0.8545000000000001,0.779,0.04578209256903838
S2_1P,final_token,15,0.875,0.7879999999999999,0.05361902647381809
S2_1P,final_token,16,0.8765000000000001,0.795,0.046086874487211646
S2_1P,final_token,17,0.893,0.8004999999999999,0.03522782990761707
S2_1P,final_token,18,0.9135,0.8125,0.02839894364232586
S2_1P,final_token,19,0.9255000000000001,0.8280000000000001,0.025268557536986563
S2_1P,final_token,20,0.932,0.8300000000000001,0.01770593120962576
S2_1P,final_token,21,0.9295,0.8404999999999999,0.015033296378372927
S2_1P,final_token,22,0.9279999999999999,0.842,0.02088061301782107
S2_1P,final_token,23,0.932,0.8469999999999999,0.025661254840712674
S2_1P,final_token,24,0.9295,0.8545,0.03018277654557316
S2_1P,final_token,25,0.9195,0.8505,0.03749666651850533
S2_1P,final_token,26,0.9235,0.8484999999999999,0.026999999999999986
S2_1P,final_token,27,0.9254999999999999,0.8475000000000001,0.025219040425836975
S2_1P,final_token,28,0.9259999999999999,0.8480000000000001,0.021828879952943046
S2_1P,final_token,29,0.9225,0.8435,0.023979157616563638
S2_1P,final_token,30,0.917,0.8425,0.024361855430159656
S2_1P,final_token,31,0.9045,0.8375,0.02400000000000001
S2_1P,final_token,32,0.9024999999999999,0.8414999999999999,0.03142451272494133
S2_1P,final_token,33,0.9065,0.8390000000000001,0.03929376540877698
S2_1P,final_token,34,0.8960000000000001,0.8385,0.043318587234581
S2_1P,final_token,35,0.8985,0.8310000000000001,0.03793415347678127
S2_1P,final_token,36,0.8969999999999999,0.8344999999999999,0.03136080356113343
S2_1P,final_token,37,0.9004999999999999,0.8409999999999999,0.028257742301889616
S2_1P,final_token,38,0.9115,0.8400000000000001,0.03242684073418194
S2_1P,final_token,39,0.9205,0.8365,0.026523574419749688
S2_1P,final_token,40,0.9259999999999999,0.841,0.028442925306655792
S2_1P,final_token,41,0.9279999999999999,0.8474999999999999,0.026048032555262196
S2_1P,final_token,42,0.9354999999999999,0.8475000000000001,0.027811867970346814
S2_1P,final_token,43,0.9390000000000001,0.8530000000000001,0.02462722071204954
S2_1P,final_token,44,0.9424999999999999,0.8474999999999999,0.027613402542968134
S2_1P,final_token,45,0.944,0.8460000000000001,0.020161845153655975
S2_1P,final_token,46,0.945,0.857,0.025787593916455267
S2_1P,final_token,47,0.9475000000000001,0.861,0.026076809620810572
S2_1P,final_token,48,0.945,0.867,0.026786190471957735
S2_1P,final_token,49,0.9489999999999998,0.8675,0.02704625667259704
S2_1P,final_token,50,0.9545,0.8705,0.02595187854472198
S2_1P,final_token,51,0.9625,0.8710000000000001,0.02484954727957833
S2_1P,final_token,52,0.9635,0.8695,0.02369599122214559
S2_1P,final_token,53,0.961,0.8695,0.022169799277395374
S2_1P,final_token,54,0.9525,0.8720000000000001,0.018641351882307266
S2_1P,final_token,55,0.9535,0.873,0.0200374649095139
S2_1P,final_token,56,0.9630000000000001,0.8775000000000001,0.016232683080747903
S2_1P,final_token,57,0.9650000000000001,0.8775000000000001,0.013784048752090194
S2_1P,final_token,58,0.9625000000000001,0.8869999999999999,0.015572411502397417
S2_1P,final_token,59,0.967,0.8895,0.016155494421403484
S2_1P,final_token,60,0.967,0.8939999999999999,0.01698528775146305
S2_1P,final_token,61,0.97,0.893,0.015491933384829678
S2_1P,final_token,62,0.966,0.8859999999999999,0.01874833325925263
S2_1P,final_token,63,0.9424999999999999,0.8709999999999999,0.028809720581775857
S2_3P,final_token,0,0.9025000000000001,0.8334999999999999,0.03657184709581953
S2_3P,final_token,1,0.8925000000000001,0.8405000000000001,0.04012480529547779
S2_3P,final_token,2,0.8925000000000001,0.8404999999999999,0.04522167621838009
S2_3P,final_token,3,0.915,0.843,0.04549725266430927
S2_3P,final_token,4,0.891,0.8480000000000001,0.07138977517824241
