dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,0.5127052,1.128930687904358,-0.10352011
S1_3P,human,0.5954251,1.1306453943252563,0.060204834
S2_1P,human,0.0,0.8438880443572998,-0.84388804
S2_3P,human,0.107474364,0.8098395466804504,-0.5948908
Random_1P,neutral,-0.10723329,,-0.10723329
Random_3P,neutral,0.33923545,,0.33923545
Arousal_1P,arousal,-0.29620868,,-0.29620868
Arousal_3P,arousal,0.26415753,,0.26415753
Numb_1P,numb,0.6465227,,0.6465227
Numb_3P,numb,0.6734905,,0.6734905
ControlSupplement_1P,control_supplement,-0.008859765,,-0.008859765
SD_sadness_1P,sadness,-0.43748024,,-0.43748024
SD_sadness_3P,sadness,-0.2383585,,-0.2383585
