,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.5262,-0.0301,0.2313,0.1056,0.0788,-0.0631,0.1660,0.3240,0.1933
S2_pain,0.5262,1.0000,-0.0366,-0.0545,0.0540,-0.0771,-0.1201,0.1507,0.2835,0.0839
Fear,-0.0301,-0.0366,1.0000,0.4445,0.5414,0.2353,0.4463,0.2437,0.4519,0.3884
NegEmotion,0.2313,-0.0545,0.4445,1.0000,0.3882,0.4839,0.3553,0.2159,0.5564,0.3597
NegWorld,0.1056,0.0540,0.5414,0.3882,1.0000,0.1301,0.5845,0.0774,0.6107,0.4424
BodySens,0.0788,-0.0771,0.2353,0.4839,0.1301,1.0000,0.2268,0.2783,0.2405,0.3464
Arousal,-0.0631,-0.1201,0.4463,0.3553,0.5845,0.2268,1.0000,0.1949,0.2641,0.3281
Random,0.1660,0.1507,0.2437,0.2159,0.0774,0.2783,0.1949,1.0000,0.1923,0.1541
Numb,0.3240,0.2835,0.4519,0.5564,0.6107,0.2405,0.2641,0.1923,1.0000,0.3656
Sadness,0.1933,0.0839,0.3884,0.3597,0.4424,0.3464,0.3281,0.1541,0.3656,1.0000
