,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.5262,-0.0804,0.1343,0.0215,-0.0323,-0.1229,0.1453,0.2702,0.1781
S2_pain,0.5262,1.0000,0.1780,0.1029,0.1282,0.0735,-0.0358,0.1797,0.4391,0.2003
Fear,-0.0804,0.1780,1.0000,0.2330,0.4769,0.6659,0.4349,0.2615,0.2765,0.2554
NegEmotion,0.1343,0.1029,0.2330,1.0000,0.5246,0.2092,0.4229,0.2346,0.3905,0.1602
NegWorld,0.0215,0.1282,0.4769,0.5246,1.0000,0.7873,0.4442,0.3510,0.4759,0.2918
BodySens,-0.0323,0.0735,0.6659,0.2092,0.7873,1.0000,0.4030,0.2372,0.3170,0.3316
Arousal,-0.1229,-0.0358,0.4349,0.4229,0.4442,0.4030,1.0000,0.3458,0.1234,0.1261
Random,0.1453,0.1797,0.2615,0.2346,0.3510,0.2372,0.3458,1.0000,0.2699,0.1555
Numb,0.2702,0.4391,0.2765,0.3905,0.4759,0.3170,0.1234,0.2699,1.0000,0.2509
Sadness,0.1781,0.2003,0.2554,0.1602,0.2918,0.3316,0.1261,0.1555,0.2509,1.0000
