,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.4619,0.0319,0.2320,0.1219,0.0724,-0.0431,0.1721,0.3364,0.1926
S2_pain,0.4619,1.0000,-0.0213,-0.0720,0.0375,-0.1045,-0.1286,0.1963,0.2711,0.0514
Fear,0.0319,-0.0213,1.0000,0.4677,0.5287,0.2560,0.4316,0.2464,0.4685,0.3714
NegEmotion,0.2320,-0.0720,0.4677,1.0000,0.3962,0.4811,0.3656,0.2647,0.5510,0.3673
NegWorld,0.1219,0.0375,0.5287,0.3962,1.0000,0.1322,0.5597,0.1158,0.6284,0.3896
BodySens,0.0724,-0.1045,0.2560,0.4811,0.1322,1.0000,0.2549,0.3295,0.2242,0.3526
Arousal,-0.0431,-0.1286,0.4316,0.3656,0.5597,0.2549,1.0000,0.2025,0.2795,0.3007
Random,0.1721,0.1963,0.2464,0.2647,0.1158,0.3295,0.2025,1.0000,0.2563,0.1833
Numb,0.3364,0.2711,0.4685,0.5510,0.6284,0.2242,0.2795,0.2563,1.0000,0.3526
Sadness,0.1926,0.0514,0.3714,0.3673,0.3896,0.3526,0.3007,0.1833,0.3526,1.0000
