model,layer,vector,end,rank,token,score
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,1,迷失,0.1217
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,2,混淆,0.1023
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,3,捍,0.0952
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,4,误导,0.0928
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,5,糊涂,0.0928
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,6, amb,0.0892
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,7,造假,0.0871
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,8,二者,0.0847
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,9, confusing,0.0824
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,10,amb,0.0811
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,11,扪,0.08
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,12,麾,0.0797
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,13, orphan,0.0784
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,14,趔,0.0784
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,15,惑,0.0783
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,16,abel,0.0783
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,17,孤儿,0.0776
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,18,_orientation,0.077
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,19,情商,0.0769
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,20,谬,0.0763
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,21,Thrown,0.0762
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,22,喁,0.0762
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,23,迷,0.076
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,24,导航,0.0752
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,25,笑话,0.075
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,26,噎,0.0745
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,27,ToolStrip,0.0744
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,28,歧,0.0744
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,29, confused,0.074
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,30,eer,0.0729
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,31, confusion,0.0728
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,32,丢失,0.0726
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,33,一只手,0.0724
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,34,.override,0.0721
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,35,Amb,0.0719
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,36,不理,0.0719
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,37,昧,0.0716
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,38, lost,0.0712
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,39,_Abstract,0.0706
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,40,IGNORE,0.0701
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,41,召回,0.0701
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,42,搛,0.0701
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,43,心底,0.0698
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,44,良心,0.0696
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,45,_ORIENTATION,0.0694
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,46,捯,0.0692
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,47,ichever,0.069
