dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,0.22542673,0.9375925660133362,-0.48673904
S1_3P,human,0.3235842,0.8220517039299011,-0.17488323
S2_1P,human,-2.1457673e-08,0.8623297810554504,-0.8623298
S2_3P,human,0.27020356,0.7965684533119202,-0.2561614
Random_1P,neutral,-0.82305497,,-0.82305497
Random_3P,neutral,-0.8567951,,-0.8567951
Arousal_1P,arousal,-0.47350016,,-0.47350016
Arousal_3P,arousal,-0.34590262,,-0.34590262
Numb_1P,numb,0.075679466,,0.075679466
Numb_3P,numb,0.079533435,,0.079533435
ControlSupplement_1P,control_supplement,-0.43402097,,-0.43402097
SD_sadness_1P,sadness,-0.046573352,,-0.046573352
SD_sadness_3P,sadness,0.8842112,,0.8842112
