dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,final_token,0,0.9494999999999999,0.8274999999999999,0.026570660511172822
S2_1P,final_token,1,0.9460000000000001,0.8154999999999999,0.03655817282086175
S2_1P,final_token,2,0.958,0.8445,0.028124722220850502
S2_1P,final_token,3,0.9654999999999999,0.85,0.023685438564654025
S2_1P,final_token,4,0.9675,0.8324999999999999,0.0211541958013062
S2_1P,final_token,5,0.9615,0.842,0.02348403713163477
S2_1P,final_token,6,0.9434999999999999,0.834,0.04054626986542658
S2_1P,final_token,7,0.9535,0.8240000000000001,0.03140859754907884
S2_1P,final_token,8,0.95,0.8055,0.03420526275297412
S2_1P,final_token,9,0.93,0.772,0.05069516742254631
S2_1P,final_token,10,0.9004999999999999,0.7494999999999999,0.0881107257943095
S2_1P,final_token,11,0.884,0.7354999999999999,0.08543418519538883
S2_1P,final_token,12,0.9019999999999999,0.7709999999999999,0.0705584863783231
S2_1P,final_token,13,0.916,0.776,0.057827329179203864
S2_1P,final_token,14,0.9085000000000001,0.7685000000000001,0.0636121057661197
S2_1P,final_token,15,0.9145,0.762,0.06626462102811723
S2_1P,final_token,16,0.917,0.7545,0.06435060217278467
S2_1P,final_token,17,0.9199999999999999,0.743,0.06119640512317694
S2_1P,final_token,18,0.9315000000000001,0.76,0.058621668348828156
S2_1P,final_token,19,0.9399999999999998,0.7495,0.05472659317004847
S2_1P,final_token,20,0.943,0.7700000000000001,0.04907647094076753
S2_1P,final_token,21,0.9509999999999998,0.7765,0.0451829613903294
S2_1P,final_token,22,0.9574999999999999,0.8109999999999999,0.048579831205964444
S2_1P,final_token,23,0.9535,0.829,0.05053711507397306
S2_1P,final_token,24,0.9635,0.8554999999999999,0.031248999983999496
S2_1P,final_token,25,0.953,0.868,0.044648628198411665
S2_1P,final_token,26,0.9495000000000001,0.867,0.03284052374734606
S2_1P,final_token,27,0.9480000000000001,0.8695,0.031360803561133424
S2_1P,final_token,28,0.9584999999999999,0.8734999999999999,0.029899832775452113
S2_1P,final_token,29,0.9585000000000001,0.867,0.029478805945967333
S2_1P,final_token,30,0.9640000000000001,0.8690000000000001,0.025228951623085694
S2_1P,final_token,31,0.969,0.8859999999999999,0.0262011450131478
S2_1P,final_token,32,0.9629999999999999,0.8719999999999999,0.027313000567495287
S2_1P,final_token,33,0.962,0.8655000000000002,0.023895606290697043
S2_1P,final_token,34,0.958,0.8685,0.024969981978367566
S2_1P,final_token,35,0.9530000000000001,0.8710000000000001,0.030265491900843097
S2_1P,final_token,36,0.953,0.8649999999999999,0.028913664589601873
S2_1P,final_token,37,0.9490000000000001,0.8574999999999999,0.03900640972968415
S2_1P,final_token,38,0.9505000000000001,0.8675,0.035791060336346533
S2_1P,final_token,39,0.9560000000000001,0.8695,0.029351320242878353
S2_1P,final_token,40,0.9639999999999999,0.891,0.01991230775173988
S2_1P,final_token,41,0.969,0.8969999999999999,0.013379088160259667
S2_1P,final_token,42,0.967,0.8955,0.011661903789690642
S2_1P,final_token,43,0.97,0.8979999999999999,0.007745966692414811
S2_1P,final_token,44,0.9705,0.8949999999999999,0.008276472678623447
S2_1P,final_token,45,0.9620000000000001,0.8950000000000001,0.013360389215887414
S2_1P,final_token,46,0.9595,0.9045,0.011554220008291382
S2_1P,final_token,47,0.9720000000000001,0.9019999999999999,0.013360389215887433
S2_1P,final_token,48,0.9709999999999999,0.9019999999999999,0.011467344941179732
S2_1P,final_token,49,0.974,0.906,0.012206555615733725
S2_1P,final_token,50,0.978,0.9094999999999999,0.011768602295939774
S2_1P,final_token,51,0.9804999999999999,0.907,0.010653637876331244
S2_1P,final_token,52,0.9810000000000001,0.916,0.0101980390271855
S2_1P,final_token,53,0.9815000000000002,0.9195,0.010793516572461448
S2_1P,final_token,54,0.9795,0.9209999999999999,0.011768602295939819
S2_1P,final_token,55,0.9804999999999999,0.9199999999999999,0.01197914855071093
S2_1P,final_token,56,0.9830000000000002,0.9189999999999999,0.014265342617687101
S2_1P,final_token,57,0.9824999999999999,0.9215,0.012144957801491107
S2_1P,final_token,58,0.9804999999999999,0.9235000000000001,0.01278671185254443
S2_1P,final_token,59,0.9834999999999999,0.9205,0.011575836902790236
S2_1P,final_token,60,0.9785,0.923,0.012206555615733687
S2_1P,final_token,61,0.9775,0.9265000000000001,0.012549900398011132
S2_1P,final_token,62,0.9785,0.9215,0.012308533625091161
S2_1P,final_token,63,0.9435,0.9010000000000001,0.022169799277395364
S2_3P,final_token,0,0.9035,0.8320000000000001,0.052739927948377056
S2_3P,final_token,1,0.9145,0.8320000000000001,0.04778598120788144
S2_3P,final_token,2,0.9104999999999999,0.8355,0.05000999900019994
S2_3P,final_token,3,0.95,0.8390000000000001,0.026832815729997468
S2_3P,final_token,4,0.945,0.8309999999999998,0.043903302837030346
S2_3P,final_token,5,0.9400000000000001,0.817,0.04006245124802028
S2_3P,final_token,6,0.9399999999999998,0.8305,0.044944410108488424
S2_3P,final_token,7,0.9355,0.8344999999999999,0.05290085065478623
S2_3P,final_token,8,0.93,0.825,0.04934571916590132
S2_3P,final_token,9,0.9039999999999999,0.808,0.07925591460578826
S2_3P,final_token,10,0.9035,0.7939999999999999,0.08339064695755755
S2_3P,final_token,11,0.9035,0.8005000000000001,0.08336066218546971
S2_3P,final_token,12,0.915,0.8009999999999999,0.06422616289332565
S2_3P,final_token,13,0.9195,0.808,0.05827520913733387
S2_3P,final_token,14,0.9099999999999999,0.7985,0.06978538528947159
S2_3P,final_token,15,0.9164999999999999,0.8480000000000001,0.062401923047290815
S2_3P,final_token,16,0.9155,0.8419999999999999,0.06677200011981073
S2_3P,final_token,17,0.9185000000000001,0.8210000000000001,0.06573811679687819
S2_3P,final_token,18,0.931,0.8110000000000002,0.061959664298638674
S2_3P,final_token,19,0.931,0.774,0.06224146527838173
S2_3P,final_token,20,0.9365,0.7755,0.060116553460756506
S2_3P,final_token,21,0.9425000000000001,0.751,0.05540758070878024
S2_3P,final_token,22,0.945,0.7595,0.051210350516277474
S2_3P,final_token,23,0.9525,0.759,0.041593268686170824
S2_3P,final_token,24,0.9525,0.7899999999999998,0.047775516742365014
S2_3P,final_token,25,0.9535,0.7869999999999999,0.04389191269470947
S2_3P,final_token,26,0.951,0.7929999999999999,0.04518296139032942
S2_3P,final_token,27,0.9535,0.7985,0.042766809560686174
S2_3P,final_token,28,0.9494999999999999,0.8095000000000001,0.040199502484483535
S2_3P,final_token,29,0.9504999999999999,0.795,0.03893584466786354
S2_3P,final_token,30,0.9540000000000001,0.7865,0.03881365739015072
S2_3P,final_token,31,0.9465,0.774,0.041880783182743866
S2_3P,final_token,32,0.933,0.733,0.041060930335295606
S2_3P,final_token,33,0.931,0.7185,0.037302814907189015
S2_3P,final_token,34,0.9324999999999999,0.7150000000000001,0.04227883631321941
S2_3P,final_token,35,0.9245000000000001,0.6769999999999999,0.05235456045083371
S2_3P,final_token,36,0.9164999999999999,0.679,0.044598206241955506
S2_3P,final_token,37,0.917,0.6759999999999999,0.04672793596982428
S2_3P,final_token,38,0.9324999999999999,0.679,0.04609772228646443
S2_3P,final_token,39,0.942,0.6855,0.053230630279943146
S2_3P,final_token,40,0.9435,0.6914999999999999,0.04768647607026541
S2_3P,final_token,41,0.9395,0.7105,0.0497594212184989
S2_3P,final_token,42,0.9404999999999999,0.718,0.0390320381225475
S2_3P,final_token,43,0.9530000000000001,0.74,0.029639500670557872
S2_3P,final_token,44,0.9515,0.74,0.031606961258558254
S2_3P,final_token,45,0.9455,0.7404999999999999,0.028870400066504105
S2_3P,final_token,46,0.9475,0.7320000000000001,0.027793884219374614
S2_3P,final_token,47,0.953,0.7230000000000001,0.022989127865145287
S2_3P,final_token,48,0.9545,0.7005000000000001,0.021177818584547335
S2_3P,final_token,49,0.9639999999999999,0.7245000000000001,0.017291616465790586
S2_3P,final_token,50,0.9665000000000001,0.7355,0.020223748416156633
S2_3P,final_token,51,0.9640000000000001,0.7445,0.020591260281973976
S2_3P,final_token,52,0.9655000000000001,0.758,0.022271057451320065
S2_3P,final_token,53,0.9684999999999999,0.7555,0.018881207588499174
S2_3P,final_token,54,0.9640000000000001,0.7525,0.023590252224170917
S2_3P,final_token,55,0.9640000000000001,0.7539999999999999,0.02487971060924945
S2_3P,final_token,56,0.9700000000000001,0.7735,0.02687936011143122
S2_3P,final_token,57,0.9675,0.775,0.02706473720544869
S2_3P,final_token,58,0.966,0.7835,0.027322152184628506
S2_3P,final_token,59,0.9675,0.799,0.027522717889045756
S2_3P,final_token,60,0.9685,0.805,0.02658006772000403
S2_3P,final_token,61,0.9685,0.8014999999999999,0.026057628441590756
S2_3P,final_token,62,0.9650000000000001,0.82,0.02774887385102323
S2_3P,final_token,63,0.9269999999999999,0.7365,0.03722902093797256
S2_1P,mean,0,0.9385000000000001,0.852,0.043462627624201416
S2_1P,mean,1,0.9385,0.8504999999999999,0.04097560249709572
S2_1P,mean,2,0.951,0.8425,0.03502142201567489
S2_1P,mean,3,0.9470000000000001,0.8494999999999999,0.04151505750929415
