dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,-0.43293908,-0.009185281582176685,-0.8566929
S1_3P,human,-0.45104995,-0.11946944147348404,-0.78263044
S2_1P,human,4.7683715e-09,0.8754493594169617,-0.87544924
S2_3P,human,-0.081897646,0.5258671045303345,-0.6896622
Random_1P,neutral,-0.9547931,,-0.9547931
Random_3P,neutral,-0.9883839,,-0.9883839
Arousal_1P,arousal,-0.5336968,,-0.5336968
Arousal_3P,arousal,-0.6832088,,-0.6832088
Numb_1P,numb,0.10850668,,0.10850668
Numb_3P,numb,-0.06224304,,-0.06224304
ControlSupplement_1P,control_supplement,-0.66046625,,-0.66046625
SD_sadness_1P,sadness,-0.009150383,,-0.009150383
SD_sadness_3P,sadness,0.05719627,,0.05719627
