,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.5134,0.1426,0.0924,0.1022,-0.0317,0.0251,-0.1166,0.2569,0.0574
S2_pain,0.5134,1.0000,0.2190,0.1762,0.1399,0.0855,0.2254,-0.0085,0.2963,0.2873
Fear,0.1426,0.2190,1.0000,0.5972,0.5370,0.2831,0.3630,0.1047,0.6656,0.5225
NegEmotion,0.0924,0.1762,0.5972,1.0000,0.6040,0.1200,0.2996,0.2451,0.5982,0.4389
NegWorld,0.1022,0.1399,0.5370,0.6040,1.0000,0.0880,0.2513,0.1857,0.4443,0.4170
BodySens,-0.0317,0.0855,0.2831,0.1200,0.0880,1.0000,0.3129,0.2998,0.0531,0.2124
Arousal,0.0251,0.2254,0.3630,0.2996,0.2513,0.3129,1.0000,0.0998,0.3288,0.4004
Random,-0.1166,-0.0085,0.1047,0.2451,0.1857,0.2998,0.0998,1.0000,0.0527,0.1278
Numb,0.2569,0.2963,0.6656,0.5982,0.4443,0.0531,0.3288,0.0527,1.0000,0.4525
Sadness,0.0574,0.2873,0.5225,0.4389,0.4170,0.2124,0.4004,0.1278,0.4525,1.0000
