,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.5134,-0.0441,-0.0234,-0.1075,0.0304,-0.0848,-0.0654,0.1762,-0.0027
S2_pain,0.5134,1.0000,0.0323,0.0102,0.0817,0.1746,0.2104,0.0179,0.1577,0.2039
Fear,-0.0441,0.0323,1.0000,0.5362,0.6879,0.7391,0.3580,0.3673,0.2397,0.3488
NegEmotion,-0.0234,0.0102,0.5362,1.0000,0.3852,0.8297,0.4468,0.3116,0.2539,0.2609
NegWorld,-0.1075,0.0817,0.6879,0.3852,1.0000,0.5686,0.4111,0.2977,0.1993,0.4250
BodySens,0.0304,0.1746,0.7391,0.8297,0.5686,1.0000,0.5010,0.3272,0.2819,0.3429
Arousal,-0.0848,0.2104,0.3580,0.4468,0.4111,0.5010,1.0000,0.1937,0.2614,0.3549
Random,-0.0654,0.0179,0.3673,0.3116,0.2977,0.3272,0.1937,1.0000,0.0515,0.1364
Numb,0.1762,0.1577,0.2397,0.2539,0.1993,0.2819,0.2614,0.0515,1.0000,0.2354
Sadness,-0.0027,0.2039,0.3488,0.2609,0.4250,0.3429,0.3549,0.1364,0.2354,1.0000
