,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.5284,0.1383,0.1394,0.0898,0.0422,0.0509,-0.0578,0.2817,0.1004
S2_pain,0.5284,1.0000,0.1504,0.1145,0.1132,0.0287,0.1661,-0.0133,0.2608,0.2411
Fear,0.1383,0.1504,1.0000,0.6173,0.5654,0.2848,0.3709,0.1316,0.6599,0.5208
NegEmotion,0.1394,0.1145,0.6173,1.0000,0.5751,0.1675,0.2921,0.2790,0.6037,0.4641
NegWorld,0.0898,0.1132,0.5654,0.5751,1.0000,0.1555,0.2455,0.2452,0.4326,0.4109
BodySens,0.0422,0.0287,0.2848,0.1675,0.1555,1.0000,0.3334,0.2851,0.0768,0.2256
Arousal,0.0509,0.1661,0.3709,0.2921,0.2455,0.3334,1.0000,0.1098,0.3284,0.3933
Random,-0.0578,-0.0133,0.1316,0.2790,0.2452,0.2851,0.1098,1.0000,0.0859,0.1555
Numb,0.2817,0.2608,0.6599,0.6037,0.4326,0.0768,0.3284,0.0859,1.0000,0.4387
Sadness,0.1004,0.2411,0.5208,0.4641,0.4109,0.2256,0.3933,0.1555,0.4387,1.0000
