dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,0.08215907,0.8347187638282776,-0.6704007
S1_3P,human,-0.19575652,0.2998630404472351,-0.69137603
S2_1P,human,-4.4107438e-08,0.8707819581031799,-0.87078196
S2_3P,human,-0.18316697,0.33415523171424866,-0.7004891
Random_1P,neutral,-0.7725325,,-0.7725325
Random_3P,neutral,-0.62931013,,-0.62931013
Arousal_1P,arousal,-0.9377849,,-0.9377849
Arousal_3P,arousal,-0.7296074,,-0.7296074
Numb_1P,numb,-0.38539302,,-0.38539302
Numb_3P,numb,0.018624263,,0.018624263
ControlSupplement_1P,control_supplement,-0.59904283,,-0.59904283
SD_sadness_1P,sadness,-0.9618356,,-0.9618356
SD_sadness_3P,sadness,-1.0059611,,-1.0059611
