dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,final_token,0,0.8685,0.669,0.07244998274671982
S2_1P,final_token,1,0.8764999999999998,0.6565000000000001,0.06437390775772435
S2_1P,final_token,2,0.873,0.634,0.05816786054171149
S2_1P,final_token,3,0.876,0.6245,0.05321184078755409
S2_1P,final_token,4,0.852,0.5820000000000001,0.06799632343002081
S2_1P,final_token,5,0.8435,0.566,0.06794483056127229
S2_1P,final_token,6,0.8355,0.601,0.06013318551349161
S2_1P,final_token,7,0.8365,0.6165,0.06139218191268328
S2_1P,final_token,8,0.8275,0.63,0.08215838362577492
S2_1P,final_token,9,0.8505,0.6355,0.05383771911959125
S2_1P,final_token,10,0.8435,0.6195,0.048646685395821135
S2_1P,final_token,11,0.8265,0.6024999999999999,0.05127377497317708
S2_1P,final_token,12,0.8255000000000001,0.568,0.03954111783953511
S2_1P,final_token,13,0.8285,0.558,0.04130980513146971
S2_1P,final_token,14,0.8310000000000001,0.5655,0.038164119274522804
S2_1P,final_token,15,0.8550000000000001,0.5790000000000001,0.036810324638611926
S2_1P,final_token,16,0.8755,0.5825,0.03661966684720106
S2_1P,final_token,17,0.89,0.5570000000000002,0.014577379737113264
S2_1P,final_token,18,0.8960000000000001,0.5584999999999999,0.027595289453093235
S2_1P,final_token,19,0.9015000000000001,0.568,0.034336569426778776
S2_1P,final_token,20,0.885,0.577,0.05412947441089744
S2_1P,final_token,21,0.877,0.5635,0.05586591089385364
S2_1P,final_token,22,0.8870000000000001,0.5955,0.07608219239743293
S2_1P,final_token,23,0.9095000000000001,0.6184999999999999,0.058296655135607924
S2_1P,final_token,24,0.8955,0.641,0.044000000000000025
S2_1P,final_token,25,0.9065,0.6395000000000001,0.04070012284993745
S2_1P,final_token,26,0.8945000000000001,0.6345000000000001,0.04007492981902778
S2_1P,final_token,27,0.897,0.628,0.04287773314903669
S2_1P,final_token,28,0.9045,0.6275000000000001,0.039949968710876374
S2_1P,final_token,29,0.8995000000000001,0.6164999999999999,0.04100000000000001
S2_1P,final_token,30,0.9,0.6195,0.04104875150354757
S2_1P,final_token,31,0.9040000000000001,0.631,0.041940433951021566
S2_1P,final_token,32,0.9,0.6529999999999999,0.039717754216470974
S2_1P,final_token,33,0.898,0.651,0.03501428280002325
S2_1P,final_token,34,0.8954999999999999,0.6425,0.041545156155681974
S2_1P,final_token,35,0.8905,0.639,0.04299418565341132
S2_1P,final_token,36,0.891,0.634,0.04256171989006081
S2_1P,final_token,37,0.881,0.6255,0.05178320190949956
S2_1P,final_token,38,0.881,0.596,0.04905609034564413
S2_1P,final_token,39,0.8879999999999999,0.5805,0.04828043081829325
S2_1P,final_token,40,0.8995000000000001,0.5705,0.03867815921162746
S2_1P,final_token,41,0.8995,0.5635,0.0371954298267946
S2_1P,final_token,42,0.8945000000000001,0.5585,0.04537069538810267
S2_1P,final_token,43,0.9039999999999999,0.567,0.04374928570845474
S2_1P,final_token,44,0.9215,0.5835,0.03829490827773326
S2_1P,final_token,45,0.9244999999999999,0.5740000000000001,0.033926390907374766
S2_1P,final_token,46,0.924,0.579,0.030886890422961014
S2_1P,final_token,47,0.9325000000000001,0.5984999999999999,0.02318404623873926
S2_1P,final_token,48,0.929,0.5915000000000001,0.021365860619221452
S2_1P,final_token,49,0.952,0.6375000000000001,0.025317977802344335
S2_1P,final_token,50,0.9559999999999998,0.6685,0.0260096136072799
S2_1P,final_token,51,0.9545,0.6839999999999999,0.03203123475609392
S2_1P,final_token,52,0.953,0.7070000000000001,0.04193447269252356
S2_1P,final_token,53,0.9525,0.7015,0.03917907604831947
S2_1P,final_token,54,0.9520000000000002,0.6950000000000001,0.03906404996924924
S2_1P,final_token,55,0.9545,0.7035,0.039064049969249254
S2_1P,final_token,56,0.9635,0.7325,0.03579804463933746
S2_1P,final_token,57,0.9595,0.74,0.03998124560340756
S2_1P,final_token,58,0.9630000000000001,0.737,0.03685783498796417
S2_1P,final_token,59,0.9675,0.731,0.03274904578762563
S2_1P,final_token,60,0.9709999999999999,0.7285,0.0308463936303743
S2_1P,final_token,61,0.974,0.7434999999999999,0.031168894751017393
S2_1P,final_token,62,0.9785,0.748,0.02517935662402837
S2_1P,final_token,63,0.9574999999999999,0.7315,0.02121320343559638
S2_3P,final_token,0,0.892,0.6824999999999999,0.0595692873887207
S2_3P,final_token,1,0.8915000000000001,0.6405000000000001,0.05149271793176198
S2_3P,final_token,2,0.889,0.644,0.06038625671458698
S2_3P,final_token,3,0.867,0.6195,0.07406753674856482
S2_3P,final_token,4,0.8675,0.5925,0.04698403984333407
S2_3P,final_token,5,0.8584999999999999,0.5765,0.06349409421355658
S2_3P,final_token,6,0.8175000000000001,0.5930000000000001,0.049168079075758105
S2_3P,final_token,7,0.828,0.6165,0.05519057890618649
S2_3P,final_token,8,0.8035,0.6224999999999999,0.05046285762816053
S2_3P,final_token,9,0.8105,0.623,0.040230585379782885
S2_3P,final_token,10,0.8255000000000001,0.6140000000000001,0.0527825728815866
S2_3P,final_token,11,0.8210000000000001,0.6,0.04442971978304606
S2_3P,final_token,12,0.8015000000000001,0.5815,0.03919821424503925
S2_3P,final_token,13,0.8055000000000001,0.582,0.03381567683782183
S2_3P,final_token,14,0.8045,0.5865,0.036173194495371847
S2_3P,final_token,15,0.8300000000000001,0.5810000000000001,0.04257346591481602
S2_3P,final_token,16,0.8420000000000002,0.583,0.055753923628745615
S2_3P,final_token,17,0.857,0.5664999999999999,0.052426138518872414
S2_3P,final_token,18,0.8540000000000001,0.5705,0.049512624652708524
S2_3P,final_token,19,0.8545,0.5810000000000001,0.052330679338223766
S2_3P,final_token,20,0.867,0.5785000000000001,0.048435524153249344
S2_3P,final_token,21,0.874,0.58,0.05038849074937646
S2_3P,final_token,22,0.891,0.5845,0.05016472864473603
S2_3P,final_token,23,0.868,0.59,0.0640585669524382
S2_3P,final_token,24,0.8785000000000001,0.6025,0.040360872141221124
S2_3P,final_token,25,0.8789999999999999,0.608,0.044204072210600694
S2_3P,final_token,26,0.8719999999999999,0.604,0.048512884886388705
S2_3P,final_token,27,0.8634999999999999,0.6035,0.04250294107470683
S2_3P,final_token,28,0.8785000000000001,0.6125,0.0505618433208284
S2_3P,final_token,29,0.8775000000000001,0.609,0.05497726802961384
S2_3P,final_token,30,0.8885,0.613,0.06055163086160439
S2_3P,final_token,31,0.889,0.6104999999999998,0.0626418390534633
S2_3P,final_token,32,0.8850000000000001,0.6144999999999999,0.06648308055437867
S2_3P,final_token,33,0.8885,0.6224999999999999,0.07638062581571324
S2_3P,final_token,34,0.8795,0.6195,0.056
S2_3P,final_token,35,0.8925000000000001,0.609,0.05326818938165627
S2_3P,final_token,36,0.898,0.617,0.05944325024761009
S2_3P,final_token,37,0.9014999999999999,0.616,0.048672374094551864
S2_3P,final_token,38,0.8925000000000001,0.6100000000000001,0.05630275304103699
S2_3P,final_token,39,0.8875,0.607,0.056302753041037025
S2_3P,final_token,40,0.8850000000000001,0.6060000000000001,0.05596874127582286
S2_3P,final_token,41,0.8885,0.6060000000000001,0.059152345684681036
S2_3P,final_token,42,0.8809999999999999,0.5974999999999999,0.05710954386089946
S2_3P,final_token,43,0.8719999999999999,0.5940000000000001,0.06159139550294342
S2_3P,final_token,44,0.883,0.6074999999999999,0.05360503707675243
S2_3P,final_token,45,0.8719999999999999,0.6075,0.05282991576748914
S2_3P,final_token,46,0.877,0.6165,0.04960846701924985
S2_3P,final_token,47,0.8724999999999999,0.6295,0.05643580423808988
S2_3P,final_token,48,0.8714999999999999,0.6199999999999999,0.05553377350765925
S2_3P,final_token,49,0.8945000000000001,0.639,0.03825571852677713
S2_3P,final_token,50,0.914,0.6645,0.028486839066488235
S2_3P,final_token,51,0.9265000000000001,0.665,0.027640549922170528
S2_3P,final_token,52,0.9315,0.6835,0.022616365755797282
S2_3P,final_token,53,0.9339999999999999,0.6775,0.02571964229922339
S2_3P,final_token,54,0.9315,0.6695,0.02353720459187964
S2_3P,final_token,55,0.9414999999999999,0.6845,0.02348403713163478
S2_3P,final_token,56,0.953,0.7025,0.026334388164527413
S2_3P,final_token,57,0.9545,0.7070000000000001,0.022438805672316892
S2_3P,final_token,58,0.9635,0.7144999999999999,0.022226110770892853
S2_3P,final_token,59,0.9695,0.716,0.01926136028425818
S2_3P,final_token,60,0.9710000000000001,0.7170000000000001,0.02040833163195852
S2_3P,final_token,61,0.9754999999999999,0.733,0.021412613105363847
S2_3P,final_token,62,0.975,0.724,0.020976176963403034
S2_3P,final_token,63,0.9225,0.7074999999999999,0.04609772228646445
S2_1P,mean,0,0.9029999999999999,0.623,0.05534889339453859
S2_1P,mean,1,0.8985,0.6335,0.06303967004989795
S2_1P,mean,2,0.9035,0.628,0.060530983801686235
S2_1P,mean,3,0.9075000000000001,0.6255,0.05805170109479995
S2_1P,mean,4,0.7185,0.589,0.027138533490223837
S2_1P,mean,5,0.735,0.587,0.03731621631409054
S2_1P,mean,6,0.7535000000000001,0.5765,0.04176122603564217
S2_1P,mean,7,0.7615000000000001,0.5875,0.029983328701129856
S2_1P,mean,8,0.7595,0.568,0.037729298959826976
S2_1P,mean,9,0.7835,0.5705,0.0279105714739057
S2_1P,mean,10,0.8055,0.5549999999999999,0.028346075566116694
S2_1P,mean,11,0.8275,0.55,0.03380088756231112
S2_1P,mean,12,0.8535,0.5585000000000001,0.03199999999999999
S2_1P,mean,13,0.885,0.5609999999999999,0.023237900077244463
S2_1P,mean,14,0.8955,0.5719999999999998,0.021529050141610988
S2_1P,mean,15,0.9195,0.5795,0.021118712081942857
S2_1P,mean,16,0.9280000000000002,0.5860000000000001,0.017846568297574732
S2_1P,mean,17,0.9339999999999999,0.5915,0.01779044687465722
S2_1P,mean,18,0.9425000000000001,0.6140000000000001,0.021679483388678793
S2_1P,mean,19,0.9405000000000001,0.6114999999999999,0.016155494421403533
S2_1P,mean,20,0.9369999999999999,0.6135,0.013820274961085304
S2_1P,mean,21,0.9355,0.611,0.012489995996796843
S2_1P,mean,22,0.9369999999999999,0.611,0.015033296378372894
S2_1P,mean,23,0.9404999999999999,0.6194999999999999,0.022271057451320086
S2_1P,mean,24,0.9389999999999998,0.6225,0.01991230775173985
S2_1P,mean,25,0.9414999999999999,0.6255,0.018275666882497037
S2_1P,mean,26,0.943,0.629,0.016385969608173956
S2_1P,mean,27,0.9425000000000001,0.6335,0.01643167672515499
S2_1P,mean,28,0.9359999999999999,0.636,0.007842193570679114
S2_1P,mean,29,0.9349999999999999,0.642,0.008215838362577485
S2_1P,mean,30,0.9324999999999999,0.649,0.008944271909999192
