dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,-0.082468584,0.49545228481292725,-0.6603895
S1_3P,human,-0.48587707,-0.051257818937301636,-0.92049634
S2_1P,human,-7.4505806e-08,0.8446106910705566,-0.8446108
S2_3P,human,-0.529122,0.12637190520763397,-1.1846159
Random_1P,neutral,-0.9700909,,-0.9700909
Random_3P,neutral,-1.125334,,-1.125334
Arousal_1P,arousal,-0.5660619,,-0.5660619
Arousal_3P,arousal,-0.9424574,,-0.9424574
Numb_1P,numb,0.22811033,,0.22811033
Numb_3P,numb,-0.043784823,,-0.043784823
ControlSupplement_1P,control_supplement,-0.3715191,,-0.3715191
SD_sadness_1P,sadness,-0.13686699,,-0.13686699
SD_sadness_3P,sadness,-0.59689265,,-0.59689265
