,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.5495,-0.0492,0.1919,0.1152,-0.0508,0.0925,-0.0618,0.1492,0.2727
S2_pain,0.5495,1.0000,0.0655,0.0683,0.1313,0.0436,0.0222,0.0637,0.1181,0.0011
Fear,-0.0492,0.0655,1.0000,0.5049,0.5976,0.5860,0.2825,0.1052,0.7466,0.4309
NegEmotion,0.1919,0.0683,0.5049,1.0000,0.4703,0.3344,0.3949,-0.0239,0.7325,0.4244
NegWorld,0.1152,0.1313,0.5976,0.4703,1.0000,0.6252,0.3572,0.2069,0.6171,0.4220
BodySens,-0.0508,0.0436,0.5860,0.3344,0.6252,1.0000,0.3000,0.2282,0.4975,0.2965
Arousal,0.0925,0.0222,0.2825,0.3949,0.3572,0.3000,1.0000,0.0682,0.3303,0.3820
Random,-0.0618,0.0637,0.1052,-0.0239,0.2069,0.2282,0.0682,1.0000,0.0570,-0.0414
Numb,0.1492,0.1181,0.7466,0.7325,0.6171,0.4975,0.3303,0.0570,1.0000,0.5325
Sadness,0.2727,0.0011,0.4309,0.4244,0.4220,0.2965,0.3820,-0.0414,0.5325,1.0000
