,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.5495,-0.1217,-0.1251,0.0975,-0.0581,-0.0128,0.0096,0.0832,0.1901
S2_pain,0.5495,1.0000,0.0275,0.1416,0.1719,0.0632,-0.0133,0.0720,0.2020,-0.0335
Fear,-0.1217,0.0275,1.0000,0.8256,0.3841,0.7848,0.3025,0.2780,0.3360,0.0826
NegEmotion,-0.1251,0.1416,0.8256,1.0000,0.5259,0.8794,0.2508,0.3410,0.4492,0.0401
NegWorld,0.0975,0.1719,0.3841,0.5259,1.0000,0.3293,0.2285,0.2992,0.3354,0.1941
BodySens,-0.0581,0.0632,0.7848,0.8794,0.3293,1.0000,0.2509,0.3042,0.4166,0.1047
Arousal,-0.0128,-0.0133,0.3025,0.2508,0.2285,0.2509,1.0000,0.1718,0.0954,0.2386
Random,0.0096,0.0720,0.2780,0.3410,0.2992,0.3042,0.1718,1.0000,0.2114,0.0670
Numb,0.0832,0.2020,0.3360,0.4492,0.3354,0.4166,0.0954,0.2114,1.0000,0.2850
Sadness,0.1901,-0.0335,0.0826,0.0401,0.1941,0.1047,0.2386,0.0670,0.2850,1.0000
