,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.5986,-0.0656,-0.0192,0.1526,-0.0008,-0.0343,0.0537,0.0892,0.1315
S2_pain,0.5986,1.0000,0.0694,0.0595,0.1037,0.0446,0.0110,0.0331,0.1179,0.0334
Fear,-0.0656,0.0694,1.0000,0.4834,0.5801,0.5662,0.2767,0.1833,0.7333,0.4400
NegEmotion,-0.0192,0.0595,0.4834,1.0000,0.4481,0.3230,0.3774,0.0581,0.7233,0.3896
NegWorld,0.1526,0.1037,0.5801,0.4481,1.0000,0.6260,0.3296,0.2796,0.5960,0.4122
BodySens,-0.0008,0.0446,0.5662,0.3230,0.6260,1.0000,0.3169,0.2615,0.4855,0.3362
Arousal,-0.0343,0.0110,0.2767,0.3774,0.3296,0.3169,1.0000,0.1002,0.3128,0.3350
Random,0.0537,0.0331,0.1833,0.0581,0.2796,0.2615,0.1002,1.0000,0.1527,0.0804
Numb,0.0892,0.1179,0.7333,0.7233,0.5960,0.4855,0.3128,0.1527,1.0000,0.5223
Sadness,0.1315,0.0334,0.4400,0.3896,0.4122,0.3362,0.3350,0.0804,0.5223,1.0000
