model,layer,vector,end,rank,token,score
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,1,饥饿,0.2704
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,2,Hung,0.2624
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,3, Hung,0.2609
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,4,饥,0.2499
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,5, hunger,0.2441
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,6, Hunger,0.243
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,7,饿,0.2421
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,8,hung,0.2407
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,9, hungry,0.2281
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,10, starvation,0.1946
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,11, hung,0.1871
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,12,食欲,0.1752
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,13, starving,0.1738
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,14, fam,0.1622
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,15,unger,0.1619
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,16, appetite,0.1605
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,17,Star,0.1533
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,18, hun,0.1507
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,19,馋,0.149
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,20, Star,0.1482
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,21,�,0.1472
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,22, famine,0.1461
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,23,-Star,0.1394
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,24, craving,0.1373
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,25, Appet,0.1358
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,26, hang,0.1354
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,27,hang,0.1336
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,28, STAR,0.1336
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,29, Hungary,0.1301
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,30, Hungarian,0.1301
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,31,馁,0.1296
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,32,_star,0.1289
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,33,star,0.1287
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,34, crave,0.1281
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,35, appet,0.1275
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,36,�,0.127
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,37, cravings,0.1259
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,38,-star,0.1248
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,39,匈,0.1233
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,40,Hang,0.1227
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,41,食物,0.1224
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,42,的食物,0.1219
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,43, star,0.1205
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,44, Hang,0.1199
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,45,/star,0.1199
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,46,�,0.1198
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,47,.star,0.1195
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,48,挂,0.1187
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,49,STAR,0.1179
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,50,肚子,0.1156
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,51,胃口,0.1154
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,52, food,0.1154
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,53,食品安全,0.1147
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,54,굶,0.1138
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,55,Cr,0.1137
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,56, Hun,0.1115
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,57,进食,0.1108
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,58, Fam,0.1108
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,59,(food,0.11
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,60,枵,0.1053
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,1,息,-0.082
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,2,除尘,-0.0766
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,3,洗脸,-0.0759
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,4,zik,-0.0759
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,5,憋,-0.0753
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,6,爽,-0.0751
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,7,SWEP,-0.0741
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,8,沾,-0.0737
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,9,uke,-0.0733
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,10, уд,-0.0725
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,11,↙,-0.0716
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,12, spr,-0.0691
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,13,wers,-0.0687
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,14,哓,-0.0684
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,15,汽,-0.068
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,16,恧,-0.0679
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,17,astos,-0.0677
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,18, bitterly,-0.0677
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,19,绸,-0.0674
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,20,惊喜,-0.0672
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,21, bedding,-0.0671
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,22, s,-0.0658
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,23,averse,-0.0651
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,24,床上,-0.0648
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,25, sor,-0.0645
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,26,inee,-0.0642
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,27,润,-0.0641
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,28,∽,-0.0638
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,29,-refresh,-0.0634
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,30,痛,-0.0633
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,31,敷,-0.0633
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,32, fel,-0.063
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,33,释,-0.0628
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,34, reconc,-0.0626
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,35,tx,-0.0626
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,36,ewed,-0.0626
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,37,冁,-0.0625
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,38,涤,-0.0625
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,39,reib,-0.0622
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,40, refreshing,-0.0621
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,41,elmet,-0.062
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,42,涩,-0.0619
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,43,辞,-0.0618
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,44,伤,-0.0617
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,45,ừa,-0.0614
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,46,欣喜,-0.0614
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,47,ilty,-0.061
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,48,_ble,-0.0609
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,49,漱,-0.0606
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,50,duk,-0.0604
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,51,洗澡,-0.0603
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,52, sod,-0.0603
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,53,тик,-0.0603
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,54,reg,-0.0601
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,55, luk,-0.0601
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,56, dew,-0.06
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,57,纵,-0.06
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,58, lux,-0.06
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,59, sple,-0.0598
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,bottom,60,_so,-0.0598
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,1, Hung,0.2441
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,2,饥饿,0.2412
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,3, hunger,0.2334
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,4,饥,0.2327
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,5,Hung,0.2293
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,6, hungry,0.2278
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,7, Hunger,0.2192
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,8,饿,0.2171
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,9,hung,0.2147
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,10, fam,0.1823
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,11,馋,0.1782
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,12,食欲,0.1778
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,13, starvation,0.1673
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,14, hung,0.1644
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,15, starving,0.1558
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,16, hun,0.155
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,17, appetite,0.1456
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,18, cravings,0.138
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,19, star,0.1361
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,20,�,0.1351
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,21, craving,0.1332
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,22, famine,0.1312
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,23, Star,0.1283
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,24, Appet,0.1281
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,25, Fam,0.1265
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,26,star,0.124
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,27,Star,0.1223
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,28,�,0.1209
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,29, crave,0.1205
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,30,进食,0.1203
Qwen_2.5_32B_instruct_abliterated,62,s1_pain_vector,top,31, Hungary,0.1201
