dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,0.057134606,0.529970109462738,-0.41570088
S1_3P,human,-0.22384466,0.06925299763679504,-0.5169423
S2_1P,human,-3.8146972e-08,0.8492316603660583,-0.8492317
S2_3P,human,-0.30395332,0.18592536449432373,-0.793832
Random_1P,neutral,-0.46434662,,-0.46434662
Random_3P,neutral,-0.6065553,,-0.6065553
Arousal_1P,arousal,-0.41292226,,-0.41292226
Arousal_3P,arousal,-0.5843553,,-0.5843553
Numb_1P,numb,0.27723426,,0.27723426
Numb_3P,numb,0.10779234,,0.10779234
ControlSupplement_1P,control_supplement,-0.068670474,,-0.068670474
SD_sadness_1P,sadness,0.29627523,,0.29627523
SD_sadness_3P,sadness,-0.021692012,,-0.021692012
